#,Date,Board,North,South,East,West,EPBot1 Result,EPBot1 Score, IMPs  or MPs,Par Result, EPBot1  Par Score,Vs. Par,DD Bidding,DD Play,
60,2024.09.29,60,EPBot1,EPBot3,EPBot2,EPBot4,2D W =,-90,0.00%,1S EW+2,-140,2,They missed best contract,-,
61,2024.09.29,61,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,630,0.00%,3N NS+1,630,0,Par was bid,-,
62,2024.09.29,62,EPBot1,EPBot3,EPBot2,EPBot4,1N S =,90,0.00%,2C EW,-90,5,They missed partial,-,
63,2024.09.29,63,EPBot1,EPBot3,EPBot2,EPBot4,3N S =,600,0.00%,3N NS,600,0,Par was bid,-,
64,2024.09.29,64,EPBot1,EPBot3,EPBot2,EPBot4,4H N =,420,0.00%,4H NS,420,0,Par was bid,-,
65,2024.09.29,65,EPBot1,EPBot3,EPBot2,EPBot4,3N S +2,460,0.00%,6C NS,920,-10,We missed small slam,-,
66,2024.09.29,66,EPBot1,EPBot3,EPBot2,EPBot4,1N S -1,-100,0.00%,2C EW+1,-110,0,They missed double,-,
67,2024.09.29,67,EPBot1,EPBot3,EPBot2,EPBot4,3C S =,110,0.00%,1S NS+2,140,-1,We missed best contract,-,
68,2024.09.29,68,EPBot1,EPBot3,EPBot2,EPBot4,4H S -1,-100,0.00%,2H NS+1,140,-6,We overbid - undoubled,-,
69,2024.09.29,69,EPBot1,EPBot3,EPBot2,EPBot4,4SX W -2,300,0.00%,5SX EW-3,500,-5,We missed game,-,
70,2024.09.29,70,EPBot1,EPBot3,EPBot2,EPBot4,4H S +1,450,0.00%,3N NS+2,460,0,We missed best contract,-,
71,2024.09.29,71,EPBot1,EPBot3,EPBot2,EPBot4,2S S +2,170,0.00%,3N NS+1,630,-10,We missed game,-,
72,2024.09.29,72,EPBot1,EPBot3,EPBot2,EPBot4,3N S =,400,0.00%,3N NS,400,0,Par was bid,-,
73,2024.09.29,73,EPBot1,EPBot3,EPBot2,EPBot4,3CX W -2,500,0.00%,1S NS+2,140,8,They overbid - doubled,-,
74,2024.09.29,74,EPBot1,EPBot3,EPBot2,EPBot4,2S E =,-110,0.00%,2S EW,-110,0,Par was bid,-,
75,2024.09.29,75,EPBot1,EPBot3,EPBot2,EPBot4,4C S =,130,0.00%,4SX E-1,100,1,They missed sacrifice,-,
76,2024.09.29,76,EPBot1,EPBot3,EPBot2,EPBot4,4H S +2,680,0.00%,6N NS,1440,-13,We missed small slam,-,
77,2024.09.29,77,EPBot1,EPBot3,EPBot2,EPBot4,4H S -2,-200,0.00%,1N NS+1,120,-8,We overbid - undoubled,-,
78,2024.09.29,78,EPBot1,EPBot3,EPBot2,EPBot4,2H S +1,140,0.00%,3H NS,140,0,They missed sacrifice,-,
79,2024.09.29,79,EPBot1,EPBot3,EPBot2,EPBot4,4S S +2,680,0.00%,6N NS,1440,-13,We missed small slam,-,
80,2024.09.29,80,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,430,0.00%,3N NS+1,430,0,Par was bid,-,
81,2024.09.29,81,EPBot1,EPBot3,EPBot2,EPBot4,2S S +2,170,0.00%,4S NS,420,-6,We missed game,-,
82,2024.09.29,82,EPBot1,EPBot3,EPBot2,EPBot4,3N S -1,-100,0.00%,3SX EW-1,100,-5,We overbid - undoubled,-,
83,2024.09.29,83,EPBot1,EPBot3,EPBot2,EPBot4,3S E =,-140,0.00%,3S EW,-140,0,Par was bid,-,
84,2024.09.29,84,EPBot1,EPBot3,EPBot2,EPBot4,3N S +2,660,0.00%,3N NS+2,660,0,Par was bid,-,
85,2024.09.29,85,EPBot1,EPBot3,EPBot2,EPBot4,4S S -1,-100,0.00%,3N NS,600,-12,We overbid - undoubled,-,
86,2024.09.29,86,EPBot1,EPBot3,EPBot2,EPBot4,3N S -3,-150,0.00%,1H NS+2,140,-7,We overbid - undoubled,-,
87,2024.09.29,87,EPBot1,EPBot3,EPBot2,EPBot4,3N S +2,660,0.00%,6C NS,1370,-12,We missed small slam,-,
88,2024.09.29,88,EPBot1,EPBot3,EPBot2,EPBot4,4S S -1,-50,0.00%,2S NS+1,140,-5,We overbid - undoubled,-,
89,2024.09.29,89,EPBot1,EPBot3,EPBot2,EPBot4,1N S -1,-50,0.00%,2SX NS-1,-100,2,They missed partial,-,
90,2024.09.29,90,EPBot1,EPBot3,EPBot2,EPBot4,4S N =,620,0.00%,3N NS+1,630,0,We missed best contract,-,
91,2024.09.29,91,EPBot1,EPBot3,EPBot2,EPBot4,6S N +1,1010,0.00%,7S NS,1510,-11,We missed grand slam,-,
92,2024.09.29,92,EPBot1,EPBot3,EPBot2,EPBot4,1N S =,90,0.00%,2H NS,110,-1,We missed best contract,-,
93,2024.09.29,93,EPBot1,EPBot3,EPBot2,EPBot4,4H S +1,650,0.00%,3N NS+2,660,0,We missed best contract,-,
94,2024.09.29,94,EPBot1,EPBot3,EPBot2,EPBot4,6N S =,990,0.00%,6N NS,990,0,Par was bid,-,
95,2024.09.29,95,EPBot1,EPBot3,EPBot2,EPBot4,3N S =,600,0.00%,3N NS,600,0,Par was bid,-,
96,2024.09.29,96,EPBot1,EPBot3,EPBot2,EPBot4,4S S +1,450,0.00%,4S S+1,450,0,Par was bid,-,
97,2024.09.29,97,EPBot1,EPBot3,EPBot2,EPBot4,4S S +1,450,0.00%,4S NS+1,450,0,Par was bid,-,
98,2024.09.29,98,EPBot1,EPBot3,EPBot2,EPBot4,4H S -1,-100,0.00%,4SX EW-2,300,-9,We overbid - undoubled,-,
99,2024.09.29,99,EPBot1,EPBot3,EPBot2,EPBot4,4H S +2,480,0.00%,6N NS,990,-11,We missed small slam,-,
100,2024.09.29,100,EPBot1,EPBot3,EPBot2,EPBot4,4H S +1,650,0.00%,4H NS+1,650,0,Par was bid,-,
101,2024.09.29,101,EPBot1,EPBot3,EPBot2,EPBot4,3N S -1,-100,0.00%,1N NS+1,120,-6,We overbid - undoubled,-,
102,2024.09.29,102,EPBot1,EPBot3,EPBot2,EPBot4,3N S +2,460,0.00%,3N NS+2,460,0,Par was bid,-,
103,2024.09.29,103,EPBot1,EPBot3,EPBot2,EPBot4,6S S +1,1460,0.00%,7S NS,2210,-13,We missed grand slam,-,
104,2024.09.29,104,EPBot1,EPBot3,EPBot2,EPBot4,5D S +1,420,0.00%,6H NS,980,-11,We missed small slam,-,
105,2024.09.29,105,EPBot1,EPBot3,EPBot2,EPBot4,2S S =,110,0.00%,2D NS+1,110,0,Par was bid,-,
106,2024.09.29,106,EPBot1,EPBot3,EPBot2,EPBot4,4H S +1,650,0.00%,4H NS+1,650,0,Par was bid,-,
107,2024.09.29,107,EPBot1,EPBot3,EPBot2,EPBot4,4S N +1,450,0.00%,6D NS,920,-10,We missed small slam,-,
108,2024.09.29,108,EPBot1,EPBot3,EPBot2,EPBot4,4D W +1,-150,0.00%,5SX NS-1,-200,2,They missed game,-,
109,2024.09.29,109,EPBot1,EPBot3,EPBot2,EPBot4,1N S +1,120,0.00%,1N NS+1,120,0,Par was bid,-,
110,2024.09.29,110,EPBot1,EPBot3,EPBot2,EPBot4,3N S +3,490,0.00%,6N NS,990,-11,We missed small slam,-,
111,2024.09.29,111,EPBot1,EPBot3,EPBot2,EPBot4,3N S +2,660,0.00%,6D S,1370,-12,We missed small slam,-,
112,2024.09.29,112,EPBot1,EPBot3,EPBot2,EPBot4,1N S -1,-50,0.00%,2H S+1,140,-5,We missed partial,-,
113,2024.09.29,113,EPBot1,EPBot3,EPBot2,EPBot4,5D N =,400,0.00%,3N NS+2,460,-2,We missed best contract,-,
114,2024.09.29,114,EPBot1,EPBot3,EPBot2,EPBot4,2N S =,120,0.00%,3N N,600,-10,We missed game,-,
115,2024.09.29,115,EPBot1,EPBot3,EPBot2,EPBot4,3D N -3,-150,0.00%,1C EW+1,-90,-2,We overbid - undoubled,-,
116,2024.09.29,116,EPBot1,EPBot3,EPBot2,EPBot4,1N S =,90,0.00%,2D NS+1,110,-1,We missed best contract,-,
117,2024.09.29,117,EPBot1,EPBot3,EPBot2,EPBot4,3N S +2,660,0.00%,3N NS+2,660,0,Par was bid,-,
118,2024.09.29,118,EPBot1,EPBot3,EPBot2,EPBot4,1N S +1,120,0.00%,1N NS+1,120,0,Par was bid,-,
119,2024.09.29,119,EPBot1,EPBot3,EPBot2,EPBot4,2H S =,110,0.00%,2N EW,-120,6,They missed partial,-,
120,2024.09.29,120,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,430,0.00%,6C NS,920,-10,We missed small slam,-,
121,2024.09.29,121,EPBot1,EPBot3,EPBot2,EPBot4,4H S =,420,0.00%,4H NS,420,0,Par was bid,-,
122,2024.09.29,122,EPBot1,EPBot3,EPBot2,EPBot4,1N S -2,-200,0.00%,4H EW,-620,9,They missed game,-,
123,2024.09.29,123,EPBot1,EPBot3,EPBot2,EPBot4,3N S -2,-100,0.00%,5C NS,400,-11,We missed game,-,
124,2024.09.29,124,EPBot1,EPBot3,EPBot2,EPBot4,3H E -1,50,0.00%,3HX EW-1,100,-2,We missed double,-,
125,2024.09.29,125,EPBot1,EPBot3,EPBot2,EPBot4,4S S -2,-200,0.00%,2H NS+1,140,-8,We overbid - undoubled,-,
126,2024.09.29,126,EPBot1,EPBot3,EPBot2,EPBot4,1N S -2,-100,0.00%,3D NS,110,-5,We missed partial,-,
127,2024.09.29,127,EPBot1,EPBot3,EPBot2,EPBot4,1N S +3,180,0.00%,3N S+1,630,-10,We missed game,-,
128,2024.09.29,128,EPBot1,EPBot3,EPBot2,EPBot4,2N S -1,-50,0.00%,1S NS+1,110,-4,We missed partial,-,
129,2024.09.29,129,EPBot1,EPBot3,EPBot2,EPBot4,1N S -2,-100,0.00%,1N EW,-90,0,We overbid - undoubled,-,
130,2024.09.29,130,EPBot1,EPBot3,EPBot2,EPBot4,1N S -1,-100,0.00%,1N EW,-90,0,We overbid - undoubled,-,
131,2024.09.29,131,EPBot1,EPBot3,EPBot2,EPBot4,4H S +1,450,0.00%,4H NS+1,450,0,Par was bid,-,
132,2024.09.29,132,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,630,0.00%,4S NS+1,650,-1,We missed best contract,-,
133,2024.09.29,133,EPBot1,EPBot3,EPBot2,EPBot4,1N S -1,-100,0.00%,1H EW,-80,-1,We overbid - undoubled,-,
134,2024.09.29,134,EPBot1,EPBot3,EPBot2,EPBot4,4H E +1,-650,0.00%,4H EW+1,-650,0,Par was bid,-,
135,2024.09.29,135,EPBot1,EPBot3,EPBot2,EPBot4,3D S =,110,0.00%,1N NS+1,120,0,We missed best contract,-,
136,2024.09.29,136,EPBot1,EPBot3,EPBot2,EPBot4,2S W =,-110,0.00%,2H EW+1,-140,1,They wrong-side contract,-,
137,2024.09.29,137,EPBot1,EPBot3,EPBot2,EPBot4,3S S =,140,0.00%,3S NS,140,0,Par was bid,-,
138,2024.09.29,138,EPBot1,EPBot3,EPBot2,EPBot4,2HX S -3,-800,0.00%,1C EW+2,-110,-12,We overbid - doubled,-,
139,2024.09.29,139,EPBot1,EPBot3,EPBot2,EPBot4,7S N =,1510,0.00%,7N NS,1520,0,We missed best contract,-,
140,2024.09.29,140,EPBot1,EPBot3,EPBot2,EPBot4,3D S =,110,0.00%,3H EW,-140,6,They missed partial,-,
141,2024.09.29,141,EPBot1,EPBot3,EPBot2,EPBot4,2D E +1,-110,0.00%,1N EW+1,-120,0,They missed best contract,-,
142,2024.09.29,142,EPBot1,EPBot3,EPBot2,EPBot4,4S S -2,-100,0.00%,2N N,120,-6,We overbid - undoubled,-,
143,2024.09.29,143,EPBot1,EPBot3,EPBot2,EPBot4,3N S =,600,0.00%,4H NS,620,-1,We missed best contract,-,
144,2024.09.29,144,EPBot1,EPBot3,EPBot2,EPBot4,2S E -1,100,0.00%,1N NS+1,120,-1,We missed double,-,
145,2024.09.29,145,EPBot1,EPBot3,EPBot2,EPBot4,3N S =,400,0.00%,3N NS,400,0,Par was bid,-,
146,2024.09.29,146,EPBot1,EPBot3,EPBot2,EPBot4,1N S =,90,0.00%,2H NS+1,140,-2,We missed best contract,-,
147,2024.09.29,147,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,430,0.00%,3N NS+1,430,0,Par was bid,-,
148,2024.09.29,148,EPBot1,EPBot3,EPBot2,EPBot4,2C S +2,130,0.00%,2S NS+1,140,0,We missed best contract,-,
149,2024.09.29,149,EPBot1,EPBot3,EPBot2,EPBot4,3S N +1,170,0.00%,5CX EW-2,300,-4,We missed game,-,
150,2024.09.29,150,EPBot1,EPBot3,EPBot2,EPBot4,3N S -1,-50,0.00%,1N NS+1,120,-5,We overbid - undoubled,-,
151,2024.09.29,151,EPBot1,EPBot3,EPBot2,EPBot4,2S S =,110,0.00%,2S NS,110,0,Par was bid,-,
152,2024.09.29,152,EPBot1,EPBot3,EPBot2,EPBot4,4H S =,420,0.00%,4H NS,420,0,Par was bid,-,
153,2024.09.29,153,EPBot1,EPBot3,EPBot2,EPBot4,5H S =,450,0.00%,3N NS+2,460,0,We missed best contract,-,
154,2024.09.29,154,EPBot1,EPBot3,EPBot2,EPBot4,3N S -1,-100,0.00%,4S NS,620,-12,We missed game,-,
155,2024.09.29,155,EPBot1,EPBot3,EPBot2,EPBot4,2H S +2,170,0.00%,5CX EW-2,300,-4,We missed game,-,
156,2024.09.29,156,EPBot1,EPBot3,EPBot2,EPBot4,4S S =,620,0.00%,4S NS,620,0,Par was bid,-,
157,2024.09.29,157,EPBot1,EPBot3,EPBot2,EPBot4,2N S -1,-100,0.00%,2S EW+1,-140,1,They missed double,-,
158,2024.09.29,158,EPBot1,EPBot3,EPBot2,EPBot4,3D E -2,100,0.00%,2N NS,120,-1,We missed double,-,
159,2024.09.29,159,EPBot1,EPBot3,EPBot2,EPBot4,1N S -1,-100,0.00%,2NX EW-1,100,-5,We missed partial,-,
160,2024.09.29,160,EPBot1,EPBot3,EPBot2,EPBot4,3N S =,400,0.00%,3N NS,400,0,Par was bid,-,
161,2024.09.29,161,EPBot1,EPBot3,EPBot2,EPBot4,5C N =,400,0.00%,3N NS+2,460,-2,We missed best contract,-,
162,2024.09.29,162,EPBot1,EPBot3,EPBot2,EPBot4,3N S +3,690,0.00%,6N NS,1440,-13,We missed small slam,-,
163,2024.09.29,163,EPBot1,EPBot3,EPBot2,EPBot4,3N S =,400,0.00%,3N NS,400,0,Par was bid,-,
164,2024.09.29,164,EPBot1,EPBot3,EPBot2,EPBot4,3N S +2,660,0.00%,3N NS+2,660,0,Par was bid,-,
165,2024.09.29,165,EPBot1,EPBot3,EPBot2,EPBot4,4S S =,620,0.00%,5CX EW-3,500,3,They missed sacrifice,-,
166,2024.09.29,166,EPBot1,EPBot3,EPBot2,EPBot4,1N S -2,-100,0.00%,2D EW+2,-130,1,They missed double,-,
167,2024.09.29,167,EPBot1,EPBot3,EPBot2,EPBot4,2S S +1,140,0.00%,3N S,600,-10,We missed game,-,
168,2024.09.29,168,EPBot1,EPBot3,EPBot2,EPBot4,4H S -2,-100,0.00%,4D EW,-130,1,They missed double,-,
169,2024.09.29,169,EPBot1,EPBot3,EPBot2,EPBot4,6H S -1,-50,0.00%,4H NS+1,450,-11,We overbid - undoubled,-,
170,2024.09.29,170,EPBot1,EPBot3,EPBot2,EPBot4,3N S =,600,0.00%,3N NS,600,0,Par was bid,-,
171,2024.09.29,171,EPBot1,EPBot3,EPBot2,EPBot4,2H W =,-110,0.00%,3DX NS-1,-100,0,We missed sacrifice,-,
172,2024.09.29,172,EPBot1,EPBot3,EPBot2,EPBot4,1N S +2,150,0.00%,4H NS,620,-10,We missed game,-,
173,2024.09.29,173,EPBot1,EPBot3,EPBot2,EPBot4,4H S +1,650,0.00%,4H NS+1,650,0,Par was bid,-,
174,2024.09.29,174,EPBot1,EPBot3,EPBot2,EPBot4,1N S -2,-100,0.00%,2N E,-120,1,They missed double,-,
175,2024.09.29,175,EPBot1,EPBot3,EPBot2,EPBot4,1N S -2,-200,0.00%,1N EW+1,-120,-2,We overbid - undoubled,-,
176,2024.09.29,176,EPBot1,EPBot3,EPBot2,EPBot4,2H W -3,300,0.00%,3N NS+1,430,-4,We missed double,-,
177,2024.09.29,177,EPBot1,EPBot3,EPBot2,EPBot4,1N S -1,-50,0.00%,2H EW+1,-140,3,They missed partial,-,
178,2024.09.29,178,EPBot1,EPBot3,EPBot2,EPBot4,2N S =,120,0.00%,1N NS+1,120,0,Par was bid,-,
179,2024.09.29,179,EPBot1,EPBot3,EPBot2,EPBot4,3N S +3,490,0.00%,6N NS,990,-11,We missed small slam,-,
180,2024.09.29,180,EPBot1,EPBot3,EPBot2,EPBot4,2D W +3,-150,0.00%,5D EW,-600,10,They missed game,-,
181,2024.09.29,181,EPBot1,EPBot3,EPBot2,EPBot4,3N S -2,-200,0.00%,4S NS,620,-13,We missed game,-,
182,2024.09.29,182,EPBot1,EPBot3,EPBot2,EPBot4,4S S -1,-50,0.00%,3N S,400,-10,We overbid - undoubled,-,
183,2024.09.29,183,EPBot1,EPBot3,EPBot2,EPBot4,4S S =,620,0.00%,4S NS,620,0,Par was bid,-,
184,2024.09.29,184,EPBot1,EPBot3,EPBot2,EPBot4,3D S +1,130,0.00%,5CX EW-1,100,1,They missed partial,-,
185,2024.09.29,185,EPBot1,EPBot3,EPBot2,EPBot4,3N S +2,460,0.00%,3N NS+2,460,0,Par was bid,-,
186,2024.09.29,186,EPBot1,EPBot3,EPBot2,EPBot4,2S W -2,200,0.00%,2D EW,-90,7,They overbid - undoubled,-,
187,2024.09.29,187,EPBot1,EPBot3,EPBot2,EPBot4,3N S +2,460,0.00%,3N NS+2,460,0,Par was bid,-,
188,2024.09.29,188,EPBot1,EPBot3,EPBot2,EPBot4,4S S +1,650,0.00%,4N NS+1,660,0,We missed best contract,-,
189,2024.09.29,189,EPBot1,EPBot3,EPBot2,EPBot4,1N S =,90,0.00%,1N NS,90,0,Par was bid,-,
190,2024.09.29,190,EPBot1,EPBot3,EPBot2,EPBot4,4S S =,420,0.00%,6N NS,990,-11,We missed small slam,-,
191,2024.09.29,191,EPBot1,EPBot3,EPBot2,EPBot4,2N S =,120,0.00%,1H NS+2,140,-1,We missed best contract,-,
192,2024.09.29,192,EPBot1,EPBot3,EPBot2,EPBot4,1N S -3,-150,0.00%,4S EW,-620,10,They missed game,-,
193,2024.09.29,193,EPBot1,EPBot3,EPBot2,EPBot4,4H S =,420,0.00%,4H NS,420,0,Par was bid,-,
194,2024.09.29,194,EPBot1,EPBot3,EPBot2,EPBot4,4SX W =,-590,0.00%,4S EW,-420,-5,We doubled making contract,-,
195,2024.09.29,195,EPBot1,EPBot3,EPBot2,EPBot4,1N S -2,-100,0.00%,3H EW,-140,1,They missed double,-,
196,2024.09.29,196,EPBot1,EPBot3,EPBot2,EPBot4,2H S +1,140,0.00%,2H NS+1,140,0,Par was bid,-,
197,2024.09.29,197,EPBot1,EPBot3,EPBot2,EPBot4,2D S -1,-100,0.00%,2H EW,-110,0,They missed double,-,
198,2024.09.29,198,EPBot1,EPBot3,EPBot2,EPBot4,1N S +1,120,0.00%,1H NS+2,140,-1,We missed best contract,-,
199,2024.09.29,199,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,630,0.00%,4S NS+1,650,-1,We missed best contract,-,
200,2024.09.29,200,EPBot1,EPBot3,EPBot2,EPBot4,3N S =,400,0.00%,3N NS,400,0,Par was bid,-,
201,2024.09.29,201,EPBot1,EPBot3,EPBot2,EPBot4,4H S =,420,0.00%,4H NS,420,0,Par was bid,-,
