../bba/Slam_After_Major_Fit.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
1     S  6H-S                    KT2.AQJ7.KT32.43 J53.9.976.KJT876 AQ8.T8652.AQ54.A 9764.K43.J8.Q952 | 1H-P-2N=1=-P-3C=2=-P-3H-P-4N-P-5D=3=-P-5S-P-6D=4=-P-6H | Jacoby 2NT | Shortness  !C | A=1/5 or 4/5 | !H queen and !D king
48    S  4H-N                    AJ7.KQJ93.Q2.KJ6 95.6.AKJ94.Q9875 KQT63.AT7.53.AT4 842.8542.T876.32 | 1S-P-2H-2N=1=-4H | Unusual 2NT
49    S  4H-S                    AKJT.KT75.AQ5.87 864..J982.AQT432 732.AQ863.KT.KJ6 Q95.J942.7643.95 | 1H-P-2N=1=-P-4H | Jacoby 2NT
50    S  6H-S                    K654.AQ9.KQ5.KJ6 JT2.72.J876.Q854 AQ73.KT853.A93.3 98.J64.T42.AT972 | 1H-P-2C-P-2N-P-3H-P-3S-P-3N-P-4N-P-5D=1=-P-5S-P-6C=2=-P-6H | A=1/5 or 4/5 | !H queen and !C king
51    S  6H-S                    K.AT73.J3.AK9652 Q982.4.Q7654.J87 JT63.KQ952.AK.Q3 A754.J86.T982.T4 | 1H-P-2N=1=-P-3N-P-4C-P-4H-P-4N-P-5S=2=-P-6H | Jacoby 2NT | A=2/5 or 5/5, Q(H)=1
52    S  6S-S                    J82.T4.A642.AQ84 7.K962.T973.9653 AQ653.AQJ7.K8.K2 KT94.853.QJ5.JT7 | 1S-P-1N=1=-P-3H-P-3S-P-4C-P-4D-P-4S-P-4N-P-5S=2=-P-6S | Forcing 1NT | A=2/5 or 5/5, Q(S)=1
53    S  6H-S                    AKJ62.K86.J8.QT3 Q95.95.432.K9765 T3.AQJT4.AK9.AJ2 874.732.QT765.84 | 1H-P-1S-P-2N-P-3H-P-3N-P-4N-P-5C=1=-P-5D-P-6D=2=-P-6H | A=0/5 or 3/5 | !H queen and !D king
54    S  6S-S                    KJT3.K8.JT75.AJ6 Q5.Q9643.4.K9875 A9842.A5.AQ93.Q3 76.JT72.K862.T42 | 1S-P-2N=1=-P-3S-P-4C-P-4D-P-5S-P-6S | Jacoby 2NT
55    S  6S-S                    A84.A.QJ8.KJ6543 T3.JT7432.K32.T9 KQJ76.KQ8.A9.A72 952.965.T7654.Q8 | 1S-P-2C-P-3N-P-6S
56    S  4S-S                    K83.AKQ4.J95.K96 7.9875.AQ764.QJ2 AQ542.JT6.K8.AT8 JT96.32.T32.7543 | 1S-P-2C-P-2N-P-3S-P-3N-P-4C-P-4D-P-4S
57    S  5S-S                    Q76.AQ85.AQ92.Q5 .J973.KT63.KJT87 AJT542.K.J7.A942 K983.T642.854.63 | 1S-P-2D-P-2S-P-3S-P-4C-P-4D-P-4N-P-5S=1= | A=2/5 or 5/5, Q(S)=1
58    S  6S-S                    KT7.KJT.97.AKQJ2 J6.8762.532.T653 AQ985.AQ5.AJ64.7 432.943.KQT8.984 | 1S-P-2C-P-3D-P-3S-P-4N-P-5H=1=-P-5N=2=-P-6H=3=-P-6S | A=2/5 or 5/5, Q(S)=0 | King ask by 5NT | K=2
59    S  6H-S                    J85.Q963.AJ3.AJ3 K72.8.874.QT8642 964.AKJ74.KQ95.K AQT3.T52.T62.975 | 1H-P-2N=1=-P-3C=2=-P-3H-P-4C-P-4H-P-4N-P-5S=3=-P-6H | Jacoby 2NT | Shortness  !C | A=2/5 or 5/5, Q(H)=1
60    S  6S-S                    A83.AK.K7652.J72 4.965432.Q98.AQT KQJT62.QJ.AJT.84 975.T87.43.K9653 | 1S-P-2D-P-3S-P-4N-P-5S=1=-P-6S | A=2/5 or 5/5, Q(S)=1
61    S  4H-S                    Q97.AQ9.AJ732.K7 JT854.4.K95.QJT5 AK3.KJT65.QT4.84 62.8732.86.A9632 | 1H-P-2D-P-2N-P-3H-P-3S-P-4C-P-4H
62    S  6H-S                    AK432.KJ9.AQJ.T3 JT765.5.T842.AQ4 .AQT7432.K3.K865 Q98.86.9765.J972 | 1H-P-1S-P-4H-P-4N-P-5D=1=-P-6H | A=1/5 or 4/5
63    S  5N-S                    AJT.964.AKJ2.A96 532.532.983.KT87 K64.AQJT8.Q.QJ52 Q987.K7.T7654.43 | 1H-P-2D-P-2N-P-3H-P-3N-P-4N-P-5D=1=-P-5S-P-5N=2= | A=1/5 or 4/5 | !H queen no !C king no !D king
64    S  3N-S                    KJ853.932.QJ6.KQ 7.A86.9872.AJ952 AT.KQJT7.AK4.643 Q9642.54.T53.T87 | 1N-P-2H-P-2S-P-3N
65    S  7S-S                    A87.AKQ84.T96.A2 T43.J73.87.KJ985 KQJ96.96.AKQJ.64 52.T52.5432.QT73 | 1S-P-2H-P-3D-P-3S-P-3N-P-4C-P-4D-P-4N-P-5S=1=-P-5N=2=-P-6D=3=-P-7S | A=2/5 or 5/5, Q(S)=1 | King ask by 5NT | K=1
66    S  4H-S                    KQT65.AJ7.QT5.A6 943.K9.J962.J543 A7.QT643.AK43.Q9 J82.852.87.KT872 | 1H-P-1S-P-2D-P-3C=1=-P-3N-P-4H | Fourth suit game force
67    S  3N-N                    AK92.K64.K87.A84 T83.AJ.Q9652.Q95 J5.Q9532.AJ.KJT7 Q764.T87.T43.632 | 1H-P-2C-P-3C-P-3N
68    S  7S-S                    Q87.J.AKJ875.AK9 J65.Q632.4.J7543 AKT943.AK74.Q3.Q 2.T985.T962.T862 | 1S-P-2D-P-2H-P-2S-P-4N-P-5S=1=-P-5N=2=-P-6H=3=-P-7S | A=2/5 or 5/5, Q(S)=1 | King ask by 5NT | K=2
69    S  6S-S                    KT62.AQ42.QT42.A 8.K973.976.K9763 AQ943.T.AK8.J842 J75.J865.J53.QT5 | 1S-P-4C=1=-P-4H-P-4N-P-5S=2=-P-6S | Splinter | A=2/5 or 5/5, Q(S)=1
70    S  7H-S                    KJ6.A72.J964.AK2 42.963.83.T98743 AQT5.KQT54.AK2.J 9873.J8.QT75.Q65 | 1H-P-2D-P-2S-P-3H-P-4N-P-5H=1=-P-5N=2=-P-6H=3=-P-7H | A=2/5 or 5/5, Q(H)=0 | King ask by 5NT | K=2
71    S  7S-S                    AKJ4.AQ43.KT986. 752.K6.QJ75.7642 Q9863.T92.A.AKQJ T.J875.432.T9853 | 1S-P-2N=1=-P-3D=2=-P-3S-P-4C-P-4H-P-4N-P-5C=3=-P-5N=4=-P-6D=5=-P-7S | Jacoby 2NT | Shortness  !D | A=0/5 or 3/5 | King ask by 5NT | K=1
72    S  7S-S                    AQ76.AQJ.K642.64 3.532.J93.KJ9753 KJ985.KT98.A7.AQ T42.764.QT85.T82 | 1S-P-2N=1=-P-3S-P-3N-P-4N-P-5S=2=-P-5N=3=-P-6D=4=-P-7S | Jacoby 2NT | A=2/5 or 5/5, Q(S)=1 | King ask by 5NT | K=1
73    S  4S-S                    Q65.AKJ865.K7.76 K742.QT73.J6.J93 AJT98..A943.AK54 3.942.QT852.QT82 | 1S-P-2H-P-3D-P-4S
74    S  7H-S                    AKQ862.KQ9.J9.A7 T53.T3.K2.QJ9632 J7.AJ8642.AT64.K 94.75.Q8753.T854 | 1H-P-1S-P-2D-P-3C=1=-P-4H-P-4N-P-5H=2=-P-5N=3=-P-6D=4=-P-7H | Fourth suit game force | A=2/5 or 5/5, Q(H)=0 | King ask by 5NT | K=1
75    S  6S-S                    QJT.A863.AJ3.KQJ 62.J954.Q8542.97 AK9854.KT2.T.AT8 73.Q7.K976.65432 | 1S-P-2C-P-2S-P-3S-P-3N-P-4N-P-5C=1=-P-6S | A=0/5 or 3/5
76    S  3N-N                    K63.AQ64.K743.AK 42.932.6.JT65432 AQJ87.875.AQJ5.7 T95.KJT.T982.Q98 | 1S-P-2D-P-3D-P-3N
77    S  5D-N                    KT9.AJ7.Q532.AK5 AJ72.T95.T4.8642 64.Q8642.AKJ8.Q7 Q853.K3.976.JT93 | 1H-P-2D-P-3D-P-4C-P-5D
78    S  6H-S                    AK5.T9873.KJ8.KT JT982..7432.6432 Q4.AKQJ5.T9.AQ98 763.642.AQ65.J75 | 1H-P-2N=1=-P-3H-P-4N-P-5C=2=-P-6H | Jacoby 2NT | A=0/5 or 3/5
79    S  5S-S                    T32.Q32.Q65.AK92 5.A76.9874.T7654 AKQ96.KJT5.KJ3.Q J874.984.AT2.J83 | 1S-P-1N=1=-P-3H-P-3S-P-4N-P-5D=2=-P-5S | Forcing 1NT | A=1/5 or 4/5
80    S  6H-S                    T5.A65.AKQJ9.T83 9763.K3.T84.K972 AK8.QT942.3.AQJ6 QJ42.J87.7652.54 | 1H-P-2D-P-2N-P-3H-P-4N-P-5H=1=-P-6H | A=2/5 or 5/5, Q(H)=0
81    S  4H-S                    84.AK6.AK3.QT865 AT976.97.8642.J2 KJ53.QJT85.Q5.A4 Q2.432.JT97.K973 | 1H-P-2C-P-2N-P-3H-P-3S-P-4D-P-4H
82    S  6H-S                    A82.J87.KJ3.AKQ5 J763.642.AQ75.T6 KQ9.AKQT5.982.72 T54.93.T64.J9843 | 1H-P-2C-P-2N-P-3H-P-3N-P-4N-P-5S=1=-P-6H | A=2/5 or 5/5, Q(H)=1
83    S  6S-S                    A843.AQ832.AJ2.Q 72.J96.KT764.J96 QJ965.7.Q95.AKT2 KT.KT54.83.87543 | 1S-P-4C=1=-P-4S-P-4N-P-5D=2=-P-5H-P-6C=3=-P-6S | Splinter | A=1/5 or 4/5 | !S queen and !C king
84    S  6S-S                    964.Q.AQJ973.QJ5 Q.A97643.K2.T987 AKT87.KJ2.8.AK42 J532.T85.T654.63 | 1S-P-1N=1=-P-3C-P-3S-P-4N-P-5D=2=-P-6S | Forcing 1NT | A=1/5 or 4/5
85    S  4H-S                    KQ97543.KJ7.K3.K J2.Q653.J542.AT6 A.AT842.A98.Q432 T86.9.QT76.J9875 | 1H-P-1S-P-2C-P-2D=1=-P-2N-P-4H | Fourth suit game force
86    S  6H-S                    AK4.A63.J76.KT63 QJT8753..Q93.QJ4 .KQJ9754.AK.A875 962.T82.T8542.92 | 1H-P-2C-3S-4S=1=-P-4N-P-5H=2=-P-6H | Limit raise or better in !C | A=2/5 or 5/5, Q(C)=0
87    S  7H-S                    42.AQ6.AK95.AKT6 Q87653.T.8.97532 AK.KJ7432.JT2.Q4 JT9.985.Q7643.J8 | 1H-P-2C-P-2H-P-3H-P-3N-P-4N-P-5H=1=-P-7H | A=2/5 or 5/5, Q(H)=0
88    S  6S-S                    K985.AQ.AQT.AJ42 T6.T8763.J73.753 AQ743.J92.K54.KT J2.K54.9862.Q986 | 1S-P-2N=1=-P-4S-P-4N-P-5D=2=-P-5H-P-6C=3=-P-6S | Jacoby 2NT | A=1/5 or 4/5 | !S queen and !C king
89    S  6S-S                    K76.AQJ6.A85.AQ8 3.T8743.KT974.73 AJT542.K9.J2.K65 Q98.52.Q63.JT942 | 1S-P-2C-P-2S-P-3S-P-4C-P-4H-P-4N-P-5D=1=-P-5H-P-5S=2=-P-6S | A=1/5 or 4/5 | No !S queen
90    S  4S-S                    962.AKT7.K63.AK6 J7.J2.Q742.QT942 AKQ84.Q84.J9.873 T53.9653.AT85.J5 | 1S-P-2C-P-2N-P-3S-P-4S
91    S  6S-S                    Q74.A.AQ94.AJT86 A92.9742.KJ8532. KJ863.KQ65..K743 T5.JT83.T76.Q952 | 1S-P-2C-P-4D=1=-P-4H-P-5C-P-6S | Splinter
92    S  7S-N                    Q864.JT9.AK83.Q3 JT.K8.JT6.K98764 AK53.AQ7543.Q.AT 972.62.97542.J52 | 1H-P-1S-P-4D=1=-P-4H-P-4N-P-5D=2=-P-5H-P-6D=3=-P-7S | Splinter | A=1/5 or 4/5 | !S queen and !D king
93    S  6H-S                    AT72.K53.AQ984.3 954..J532.KQJ942 KQ8.AT9864.K.AT5 J63.QJ72.T76.876 | 1H-P-2D-P-3H-P-4N-P-5H=1=-P-6H | A=2/5 or 5/5, Q(H)=0
94    S  4H-S                    K94.986.KQJT3.A7 A86.AT42.4.QT942 QJ7.KQJ753.A2.K5 T532..98765.J863 | 1H-P-2D-P-3H-P-4H
95    S  6H-S                    A83.AJ7.KJT743.A K972.T6.962.9754 J6.KQ9852.A.QJ32 QT54.43.Q85.KT86 | 1H-P-2D-P-3H-P-4N-P-5S=1=-P-5N=2=-P-6C=3=-P-6H | A=2/5 or 5/5, Q(H)=1 | King ask by 5NT | K=0
96    S  6S-S                    AQ54.2.KQJ85.AK6 86.AT8654.97.853 K9732.KQ.A42.QT9 JT.J973.T63.J742 | 1S-P-2N=1=-P-3N-P-6S | Jacoby 2NT
97    S  6S-S                    8764.KQT.AK8.J72 93.J84.J942.A985 AKQJT5.A62.T.KQ6 2.9753.Q7653.T43 | 1S-P-2N=1=-P-3D=2=-P-3S-P-4N-P-5D=3=-P-6S | Jacoby 2NT | Shortness  !D | A=1/5 or 4/5
98    S  4H-S                    KT4.KJT6.A7.AQ32 98732.94.KT3.J54 AQ.AQ532.J84.T98 J65.87.Q9652.K76 | 1H-P-2N=1=-P-4H | Jacoby 2NT
99    S  6S-S                    JT7.96.AKQ6.AK54 .KT742.JT987.J72 AK8532.A853..Q96 Q964.QJ.5432.T83 | 1S-P-2C-P-2H-P-2S-P-3H-P-3N-P-4D-P-4N-P-5C=1=-P-5S-P-6S | A=0/5 or 3/5
100   S  4S-S                    KQT2.AJ.K97.AT74 J4.QT97.QT863.86 A9853.65.A52.KQ9 76.K8432.J4.J532 | 1S-P-2N=1=-P-4S | Jacoby 2NT
101   S  6S-S                    KJT.T7.KQJT8.KQ3 952.Q942.753.JT7 AQ763.AJ6.A4.A54 84.K853.962.9862 | 1S-P-2D-P-3N-P-6S
102   S  4S-S                    T94.AJ93.KQ954.4 32.Q85.J832.KJ83 AKJ8765.KT.A.A72 Q.7642.T76.QT965 | 1S-P-1N=1=-P-4S | Forcing 1NT
103   S  3N-S                    KT6.KT8.T75.KQJ6 Q52.J73.J6432.93 A9874.Q54.AK8.A2 J3.A962.Q9.T8754 | 1N-P-3N
104   S  6S-S                    KQ975.KQ8.Q98.73 T.J632.JT6.QT852 A8643.AT7.K2.AK9 J2.954.A7543.J64 | 1S-P-2N=1=-P-3S-P-4H-P-5S-P-6S | Jacoby 2NT
105   S  5H-S                    AQT6.Q8762.T.AKQ 87.K.A9742.86543 K42.AT953.KQ5.J2 J953.J4.J863.T97 | 1H-P-2N=1=-P-4H-P-4N-P-5D=2=-P-5H | Jacoby 2NT | A=1/5 or 4/5
106   S  6S-S                    A87.A.AT.AQT9653 Q4.Q93.97642.K42 KJT62.KJ64.QJ3.J 953.T8752.K85.87 | 1S-P-2C-P-2H-P-2S-P-3C-P-3D-P-4N-P-5D=1=-P-6S | A=1/5 or 4/5
107   S  6S-S                    K72.A74.KQ62.J74 J.QJT852.T875.K3 AQ943.K3.J9.AQ92 T865.96.A43.T865 | 1S-P-2D-P-2N-P-4S-P-4N-P-5H=1=-P-6S | A=2/5 or 5/5, Q(S)=0
108   S  6S-S                    A95.9832.KJT84.A J.AKJT74.732.865 KQ8643.Q.AQ.KJ93 T72.65.965.QT742 | 1S-P-2D-P-3S-P-4S-P-4N-P-5H=1=-X-6S | A=2/5 or 5/5, Q(S)=0
109   S  6H-S                    KQJ72.986.75.AK8 T53.QT5.AQ32.Q32 A4.AKJ74.KJ84.95 986.32.T96.JT764 | 1H-P-1S-P-2D-P-4H-P-4N-P-5D=1=-P-6H | A=1/5 or 4/5
110   S  6H-S                    A953.Q53.J8.AKJ8 QJ874..QT52.T765 .AKJ9742.AK96.32 KT62.T86.743.Q94 | 1H-P-1S-P-4H-P-4N-P-5C=1=-P-6H | A=0/5 or 3/5
111   S  4S-S                    532.QT.KT8.AKJT2 Q.K7654.J63.8764 AKJ874.AJ93.A9.5 T96.82.Q7542.Q93 | 1S-P-2C-P-2H-P-4S
