../bba/GIB_1M-P-Resp.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
17    N  3S-N                    QT643.K5.AQ76.Q8 85.AJ96.T54.AJT2 972.Q8732.K3.K43 AKJ.T4.J982.9765 | 1S-P-2S-P-P-X-P-3C-3S
18    N  2H-N                    95.AKJ874.KT6.Q4 K643.T65.A84.K83 872.Q.J932.AT976 AQJT.932.Q75.J52 | 1H-P-1N-P-2H
19    N  2H-N                    Q2.AJ432.AQ95.J4 J874.KQ.J762.K32 T93.T87.KT4.A975 AK65.965.83.QT86 | 1H-P-2H
20    N  2S-N                    KQT986.Q.KQT.J64 A42.T732.J53.KQ3 3.K984.762.A9852 J75.AJ65.A984.T7 | 1S-P-1N-P-2S
21    N  4H-N                    KJ.AJT9754.T3.A9 652.83.KJ65.KJ82 QT83.K2.Q98.Q765 A974.Q6.A742.T43 | 1H-P-1S-P-2H-P-3H-P-4H
22    N  2C-N                    AK873.KJ.K3.8542 JT52.AT43.Q96.KT 94.Q62.J875.A973 Q6.9875.AT42.QJ6 | 1S-P-1N-P-2C
23    N  2H-N                    A6.AJ853.J64.A74 QJT9.642.K5.QT82 8754.Q97.QT87.KJ K32.KT.A932.9653 | 1H-P-2H
24    N  4S-N                    AKQ93.Q6.K96.932 JT4.K4.J752.K854 875.AJ9753.T4.A6 62.T82.AQ83.QJT7 | 1S-P-3S-P-4S
25    N  2S-N                    A87653.K3.K6.K85 QJ94.J52.QT54.A9 2.Q764.A87.JT762 KT.AT98.J932.Q43 | 1S-P-1N-P-2S
26    N  4S-N                    AKJ82.AT9.J4.T82 T6.Q83.K652.AJ93 Q97.7652.AQ73.Q7 543.KJ4.T98.K654 | 1S-P-3S-P-4S
27    N  4H-N                    A7.Q9875.A64.AT4 K52.T3.QJT8.J532 QJT9.A42.9752.Q7 8643.KJ6.K3.K986 | 1H-P-3H-P-4H
28    N  2H-N                    K6.Q97432.A2.A95 J972.JT5.KQ86.Q7 854.A.J9754.K842 AQT3.K86.T3.JT63 | 1H-P-1N-P-2H
29    N  2H-N                    932.AK985.K73.K8 KQT.J72.964.AT54 854.T43.AJ5.QJ62 AJ76.Q6.QT82.973 | 1H-P-2H
30    N  2S-N                    A7543.AQ82.Q3.73 T9.9754.AJT.KJT2 Q2.JT3.9874.AQ95 KJ86.K6.K652.864 | 1S-P-1N-P-2H-P-2S
31    N  2S-N                    KQ854.AT.J86.QJ2 A63.863.K742.963 T92.QJ74.AT3.KT5 J7.K952.Q95.A874 | 1S-P-2S
32    N  1N-S                    AT975.AJT.AT.872 KQ8.9642.98.A543 J6.K83.J7532.QJ9 432.Q75.KQ64.KT6 | 1S-P-1N
33    N  4H-N                    A95.KJ9875.4.KJ3 QJ87.A2.J97.9654 K43.643.KT863.A2 T62.QT.AQ52.QT87 | 1H-P-3H-P-4H
34    N  2S-N                    AKJ62.J85.Q62.K9 Q75.9742.T9.AQJ5 983.KT6.A873.742 T4.AQ3.KJ54.T863 | 1S-P-2S
35    N  4H-N                    A84.AK532.JT.Q62 QT32.T8.AK4.J743 K6.9764.Q762.A95 J975.QJ.9853.KT8 | 1H-P-3H-P-4H
36    N  3D-N                    Q8654.K4.KT43.A8 AKT2.JT6.76.QT32 J3.Q873.AJ85.J75 97.A952.Q92.K964 | 1S-P-1N-P-2D-P-3D
37    N  2H-N                    AK972.J765.KT5.Q 854.AKT.Q92.J975 T.Q84.AJ63.86432 QJ63.932.874.AKT | 1S-P-1N-P-2H
38    N  1N-S                    KT632.A2.Q65.KJ6 A75.KJ9.J873.T72 QJ.QT863.KT2.854 984.754.A94.AQ93 | 1S-P-1N
39    N  2C-N                    3.AT876.KJ2.KJ65 J842.K93.AT4.Q87 AK65.J2.986.T932 QT97.Q54.Q753.A4 | 1H-P-1S-P-2C
40    N  1N-S                    63.AKT84.K92.Q84 K954.762.Q3.A753 AQJ.J3.J8654.T62 T872.Q95.AT7.KJ9 | 1H-P-1N
41    N  1N-S                    AQ987.JT.Q54.AJ4 K654.KQ96.763.Q3 3.5432.KT2.KT752 JT2.A87.AJ98.986 | 1S-P-1N
42    N  4H-N                    7.AKT97.JT9.A973 A965.862.Q85.QJ6 JT42.QJ3.K764.KT KQ83.54.A32.8542 | 1H-P-3H-P-4H
43    N  2S-N                    KT986.AJ62.AJ.54 J743.K95.92.AJ63 A2.QT8.T6543.KT9 Q5.743.KQ87.Q872 | 1S-P-1N-P-2H-P-2S
44    N  1N-N                    QJT.AKT53.J63.Q8 K63.QJ6.754.A752 A854.74.KT9.T964 972.982.AQ82.KJ3 | 1H-P-1S-P-1N
45    N  4S-N                    AQJT8.QT86.J3.A4 K62.K975.KT.J986 975.A4.Q754.K532 43.J32.A9862.QT7 | 1S-P-3S-P-4S
46    N  3S-N                    AT762.KJ.KQ94.73 J5.AT62.8632.KJ8 KQ4.854.A5.T6542 983.Q973.JT7.AQ9 | 1S-P-3S
47    N  2S-N                    QJT63.AJ.AT2.J76 K85.Q532.974.KQ2 A94.874.J853.A84 72.KT96.KQ6.T953 | 1S-P-2S
48    N  2S-N                    AT865.Q6.KJ5.AT8 J72.K432.A432.Q5 Q43.AT98.T87.K74 K9.J75.Q96.J9632 | 1S-P-2S
49    N  2H-N                    764.AKQ64.J4.A43 AQT3.52.986.KT82 K82.T93.QT32.Q97 J95.J87.AK75.J65 | 1H-P-2H
50    N  3H-W                    Q9832.A93.J8.AQ8 AK.QT74.653.JT76 T54.K6.AT972.932 J76.J852.KQ4.K54 | 1S-P-2S-P-P-X-P-3H
51    N  2S-N                    K7632.K76.AK3.T7 A9.9832.QJ7.J984 QT8.AJ54.964.K63 J54.QT.T852.AQ52 | 1S-P-2S
52    N  4H-N                    K63.KJ753.A93.K6 AQJT.QT8.J8.9842 94.A96.K652.QT53 8752.42.QT74.AJ7 | 1H-P-3H-P-4H
53    N  2S-N                    KT873.KT.A74.A73 AQJ.QJ86.9832.64 642.A973.Q6.QT95 95.542.KJT5.KJ82 | 1S-P-2S
54    N  2H-N                    A6.AT632.AT94.42 J42.Q95.875.AK83 KQT83.87.Q6.J976 975.KJ4.KJ32.QT5 | 1H-P-1S-P-2D-P-2H
55    N  1N-S                    KQ875.AQ8.762.K8 A962.JT3.T9.AJ73 T3.7654.KQ54.Q65 J4.K92.AJ83.T942 | 1S-P-1N
56    N  4S-N                    AQ873.QT98.K8.Q7 T4.J62.J762.AK42 K65.A7.QT43.T986 J92.K543.A95.J53 | 1S-P-3S-P-4S
57    N  2S-N                    JT754.AQJ.QJ4.K4 K8.9875.K76.A976 A962.642.853.QJ8 Q3.KT3.AT92.T532 | 1S-P-2S
58    N  2H-N                    K83.KJT53.64.AJ3 AT92.96.J852.KT4 Q76.AQ2.T93.Q965 J54.874.AKQ7.872 | 1H-P-2H
59    N  2H-N                    T3.AJ862.KJ4.A63 AJ87.KT3.QT87.T4 K92.974.532.KJ87 Q654.Q5.A96.Q952 | 1H-P-2H
60    N  3H-N                    JT5.AQJT9.A3.Q84 K862.75.KJT2.K32 43.862.Q976.AJ75 AQ97.K43.854.T96 | 1H-P-2H-P-P-X-P-2S-3H
61    N  2S-N                    KT832.A5.AT65.K8 A75.9873.Q743.QJ 964.JT4.KJ.AT752 QJ.KQ62.982.9643 | 1S-P-2S
62    N  2H-N                    KT.AJT632.J7.KJ6 Q876.Q4.Q543.A93 A53.985.K982.T82 J942.K7.AT6.Q754 | 1H-P-2H
63    N  2S-N                    AK842.J76.J.A873 975.Q832.AQ53.Q9 Q63.A95.9764.JT5 JT.KT4.KT82.K642 | 1S-P-2S
64    N  1N-S                    Q93.AKT32.K64.Q4 AK74.J75.T9.7532 J82.94.A8532.KT8 T65.Q86.QJ7.AJ96 | 1H-P-1N
65    N  2S-N                    AKJT2.T95.K8.QJ2 Q65.KJ76.T4.AT76 973.82.AJ7532.K9 84.AQ43.Q96.8543 | 1S-P-2S
66    N  3S-N                    AT765.KJT.86.A42 82.7632.AQ7.KJ98 KJ9.94.KT542.Q65 Q43.AQ85.J93.T73 | 1S-P-3S
67    N  2S-N                    AKQ85.Q96.T8.QT7 T6.KT87.Q52.A543 743.J52.AJ96.KJ9 J92.A43.K743.862 | 1S-P-2S
68    N  3S-N                    AT872.72.J98.AQJ Q6.QJ86.A532.T82 K94.AK54.T76.964 J53.T93.KQ4.K753 | 1S-P-3S
69    N  1N-N                    Q8.KQJ32.KT5.KT8 AJ5.A54.J876.762 T972.97.Q93.AQ53 K643.T86.A42.J94 | 1H-P-1S-P-1N
70    N  1N-N                    K3.AQJ74.Q62.QT5 JT64.T863.AJ5.A9 AQ985.5.983.J873 72.K92.KT74.K642 | 1H-P-1S-P-1N
71    N  1N-S                    AKQ9.J9875.Q.J53 T5.AT2.A974.Q982 432.Q4.J653.AT76 J876.K63.KT82.K4 | 1H-P-1N
72    N  2H-N                    T7.KQJT6.K5.A642 A95.832.Q986.KJ3 J843.A7.T743.Q75 KQ62.954.AJ2.T98 | 1H-P-1S-P-2C-P-2H
73    N  1N-S                    QJ532.A87.KQ6.Q5 T7.KQ62.AJ7.T842 AK.T543.9842.J97 9864.J9.T53.AK63 | 1S-P-1N
74    N  4H-N                    QJ6.QT964.AQ9.K7 T8.KJ8.KJT7.9843 AK75.732.53.QT62 9432.A5.8642.AJ5 | 1H-P-3H-P-4H
75    N  2S-N                    AKQ62.K3.T2.9643 985.T74.QJ6.AKT5 74.A865.K987.J82 JT3.QJ92.A543.Q7 | 1S-P-1N-P-2C-P-2S
76    N  4H-N                    7.AK852.AT976.J8 Q842.763.K3.A943 KJ965.QJT.J5.Q62 AT3.94.Q842.KT75 | 1H-P-3H-P-4H
77    N  1N-S                    AK532.754.K3.AT8 76.K962.J87.KQJ3 QT.QJT8.AT64.975 J984.A3.Q952.642 | 1S-P-1N
78    N  4S-N                    AT984.K83.K8.AT6 K2.J72.A953.Q873 QJ7.Q6.Q764.K942 653.AT954.JT2.J5 | 1S-P-3S-P-4S
79    N  2H-N                    AJT4.QJ982.A5.T7 KQ6.T5.QJ92.6542 752.K63.KT86.KJ9 983.A74.743.AQ83 | 1H-P-2H
80    N  2S-N                    QJT62.T985.AK.A7 984.KQJ7.98.Q632 A3.43.QJ6432.JT9 K75.A62.T75.K854 | 1S-P-1N-P-2H-P-2S
81    N  3D-N                    QJT54.KT.KJ43.K8 K832.AJ85.Q2.T96 A.742.T8765.A754 976.Q963.A9.QJ32 | 1S-P-1N-P-2D-P-3D
82    N  2C-N                    Q9865.A5.QT.AJ76 A42.K632.J84.Q42 J.QJT94.K975.T98 KT73.87.A632.K53 | 1S-P-1N-P-2C
83    N  2H-N                    KQ93.AJ832.J9.Q7 J854.Q4.AQ6.J982 A72.T95.K432.K64 T6.K76.T875.AT53 | 1H-P-2H
84    N  1N-S                    AKT62.A7.T65.K42 Q4.KQ82.9874.JT6 95.JT43.AJ2.Q953 J873.965.KQ3.A87 | 1S-P-1N
85    N  2H-N                    Q2.AK954.T53.AJ4 754.876.AJ2.K853 AJ96.J32.Q74.T96 KT83.QT.K986.Q72 | 1H-P-2H
86    N  4H-N                    2.QJ982.632.AKJ7 KJ95.43.AJ7.T843 AT643.A75.T98.Q6 Q87.KT6.KQ54.952 | 1H-P-3H-P-4H
87    N  2H-N                    A3.QT754.K8.AT92 QJ8.K32.JT2.QJ63 KT972.A6.96543.8 654.J98.AQ7.K754 | 1H-P-1S-P-2C-P-2H
88    N  3H-N                    T94.AKQ95.K.7542 AJ62.T32.872.A63 Q7.876.QJ954.KQ8 K853.J4.AT63.JT9 | 1H-P-3H
89    N  2S-N                    K7643.AQJ72.Q.J7 Q5.8654.T865.AK6 J8.K.KJ9732.T852 AT92.T93.A4.Q943 | 1S-P-1N-P-2H-P-2S
90    N  4H-N                    QJ75.AKJT3.J3.84 AT2.87.K762.QJ75 K8.Q96.Q985.KT93 9643.542.AT4.A62 | 1H-P-3H-P-4H
91    N  4H-N                    KT74.KJT83.Q4.A2 AJ98.Q96.K532.43 Q6.754.AJ98.QJ75 532.A2.T76.KT986 | 1H-P-3H-P-4H
92    N  1N-S                    AJ852.A92.86.A32 T63.KJ83.A753.86 K4.T764.K42.QJ74 Q97.Q5.QJT9.KT95 | 1S-P-1N
93    N  2H-N                    A97.KJ983.K5.QJ7 QT52.A72.T762.K3 K86.T54.984.A985 J43.Q6.AQJ3.T642 | 1H-P-2H
94    N  3S-N                    J6542.AT7.T7.AK3 KQ7.865.A43.JT87 T98.K94.KJ982.Q2 A3.QJ32.Q65.9654 | 1S-P-3S
95    N  3S-N                    AT8632.KJT.4.A43 J54.843.AK96.J85 Q9.A762.T832.K72 K7.Q95.QJ75.QT96 | 1S-P-1N-P-2S-P-3S
96    N  2S-N                    KJ873.A.K975.QT8 54.KJ94.AQ42.532 962.QT62.JT.AJ64 AQT.8753.863.K97 | 1S-P-2S
97    N  4S-N                    AJ732.QJ7.KJ8.QT K96.942.9764.A43 Q54.A63.Q5.J9865 T8.KT85.AT32.K72 | 1S-P-3S-P-4S
98    N  2S-N                    AQ754.J7.A653.J3 KJT.Q864.KT94.65 863.K52.J.KQT987 92.AT93.Q872.A42 | 1S-P-2S
99    N  1N-S                    AJ974.AT9.Q3.QJT 862.K876.752.AK3 T3.Q543.AJ86.985 KQ5.J2.KT94.7642 | 1S-P-1N
100   N  1N-S                    KJ974.J9.T82.AKQ QT3.AK5.653.JT93 A8.T643.KJ4.8742 652.Q872.AQ97.65 | 1S-P-1N
101   N  3H-N                    A65.QJ643.Q3.KQ7 KT93.K2.KJ76.985 Q7.T985.A98.JT63 J842.A7.T542.A42 | 1H-P-2H-P-P-X-P-2S-P-P-3H
102   N  2H-N                    A4.T9853.A93.A95 K32.Q74.KJT6.874 J975.K62.Q74.KT2 QT86.AJ.852.QJ63 | 1H-P-2H
103   N  2S-N                    QJT73.A7.AQ62.82 92.K643.T98.AQ63 K865.J985.KJ.T97 A4.QT2.7543.KJ54 | 1S-P-2S
104   N  3H-N                    J64.KQ972.AQ5.83 AQ53.J83.7432.Q9 T98.AT4.T9.AJ542 K72.65.KJ86.KT76 | 1H-P-3H
105   N  2S-N                    AQ743.KT8.K85.J5 K65.J952.AJ73.63 JT9.Q6.964.KQT97 82.A743.QT2.A842 | 1S-P-2S
106   N  2S-N                    QJT982.T86.AQ.AJ K54.AJ2.T82.QT87 7.Q743.J954.K954 A63.K95.K763.632 | 1S-P-1N-P-2S
107   N  3H-N                    A42.AT743.Q.QJ87 Q97.62.AT95.A643 KT863.QJ9.J72.K5 J5.K85.K8643.T92 | 1H-P-3H
108   N  4H-N                    A52.KJT87.63.AT3 T63.Q2.KQ84.QJ97 KJ8.A94.JT752.54 Q974.653.A9.K862 | 1H-P-3H-P-4H
109   N  2S-N                    AQJT4.Q7.J4.A872 965.A864.K986.T5 K73.T53.AT3.QJ94 82.KJ92.Q752.K63 | 1S-P-2S
110   N  2S-N                    AKQT3.T5.KJT.T72 987.KJ87.Q92.KJ8 J65.Q43.A764.954 42.A962.853.AQ63 | 1S-P-2S
111   N  2S-N                    AJT87.A875.KT9.6 K96.QJ.QJ62.T873 542.KT3.753.AK54 Q3.9642.A84.QJ92 | 1S-P-2S
112   N  2H-N                    AJ4.J9842.KQ85.Q 7652.K6.AJ2.8632 KQ3.QT3.T74.K975 T98.A75.963.AJT4 | 1H-P-2H
113   N  3H-N                    T32.AQ832.AK5.72 Q75.54.9643.AKJT A96.KT7.JT72.Q94 KJ84.J96.Q8.8653 | 1H-P-2H-P-P-X-P-2S-3H
114   N  4S-N                    AJ987.A3.Q432.Q6 43.T975.A95.A743 KT2.KQ62.J8.JT85 Q65.J84.KT76.K92 | 1S-P-3S-P-4S
115   N  3H-N                    Q9743.JT52.AQ9.K T852.A8.K873.QJT K.7643.J4.A87532 AJ6.KQ9.T652.964 | 1S-P-1N-P-2H-P-3H
116   N  1N-S                    KT654.KQ.J98.AT5 A832.753.K32.QJ3 J.J964.AQ654.986 Q97.AT82.T7.K742 | 1S-P-1N
117   N  1N-S                    KJ732.Q5.A93.A76 AT6.AT93.J74.T85 94.K64.K8652.Q43 Q85.J872.QT.KJ92 | 1S-P-1N
118   N  1N-S                    AKQT4.J86.T8.K74 8653.72.KQ72.A96 J2.AK54.J954.852 97.QT93.A63.QJT3 | 1S-P-1N
119   N  1N-N                    AJ4.AJ832.T72.KT Q97.K9.Q854.Q984 K853.T4.A6.J6532 T62.Q765.KJ93.A7 | 1H-P-1S-P-1N
120   N  2H-N                    983.AQJ72.A4.K94 JT74.K86.KQ7.JT6 KQ6.T95.T932.A75 A52.43.J865.Q832 | 1H-P-2H
121   N  1N-S                    J9652.K62.AQ3.A7 874.J753.KJ.KQT5 K.AT.T98654.J943 AQT3.Q984.72.862 | 1S-P-1N
122   N  1N-N                    J6.KQT74.KQ8.QT9 A9.985.JT54.AJ83 K8742.J2.A73.652 QT53.A63.962.K74 | 1H-P-1S-P-1N
123   N  2H-N                    Q4.KJ9872.82.AK3 A82.Q53.KT5.J975 J976.6.A9743.QT8 KT53.AT4.QJ6.642 | 1H-P-1S-P-2H
124   N  1N-S                    AK76.A6532.Q.765 832.KQJ8.J863.K8 QJ9.94.K972.JT93 T54.T7.AT54.AQ42 | 1H-P-1N
125   N  4H-N                    KQ95.KQ986.42.K9 873.A3.AQ95.T754 T62.J542.KT7.AJ3 AJ4.T7.J863.Q862 | 1H-P-3H-P-4H
126   N  4S-N                    QJ874.AT83.75.KQ K53.KQ52.J94.987 AT6.64.KQ83.T632 92.J97.AT62.AJ54 | 1S-P-3S-P-4S
127   N  4S-N                    AKQJ5.Q72.65.T93 T3.T64.QJ74.AK65 864.J953.AK93.Q7 972.AK8.T82.J842 | 1S-P-3S-P-4S
128   N  1N-S                    AKT72.QT.KQ7.432 Q864.AJ72.953.K9 J9.9865.T82.AQJ8 53.K43.AJ64.T765 | 1S-P-1N
129   N  4H-N                    AKT2.JT874..KT62 974.953.QJ53.AQ7 J3.AQ2.K9842.543 Q865.K6.AT76.J98 | 1H-P-3H-P-4H
130   N  2H-N                    64.AQJ42.AJ95.T3 Q985.K9.Q64.Q642 KJ32.T86.KT8.K87 AT7.753.732.AJ95 | 1H-P-2H
131   N  3H-N                    Q5.AKJT2.J95.J63 KJT2.54.T83.KQ74 764.Q863.K42.A85 A983.97.AQ76.T92 | 1H-P-3H
132   N  1N-N                    KQJ.AT863.K53.J4 A6.J952.QJ84.875 T872.Q7.T96.AQ96 9543.K4.A72.KT32 | 1H-P-1S-P-1N
133   N  4H-N                    53.AKQJT.Q94.T32 AT2.752.KT8.Q876 KQ984.863.753.AJ J76.94.AJ62.K954 | 1H-P-3H-P-4H
134   N  3H-N                    K6.987642.AK3.Q9 AJ72.53.9542.AJ8 QT83.AK.876.T762 954.QJT.QJT.K543 | 1H-P-1S-P-2H-P-3H
135   N  2S-N                    T8432.AK.K72.KJ4 Q76.Q32.J983.A73 A95.9764.QT4.QT8 KJ.JT85.A65.9652 | 1S-P-2S
136   N  2C-N                    AJ.J9863.93.AK72 KQ8.Q752.KT62.54 9653.A4.J84.Q983 T742.KT.AQ75.JT6 | 1H-P-1S-P-2C
137   N  4S-N                    AKT875.Q6.QJT3.5 J92.A92.964.KQ63 43.J8753.AK.9874 Q6.KT4.8752.AJT2 | 1S-P-1N-P-2D-P-2S-P-3S-P-4S
138   N  2S-N                    QT986.AQT5.Q97.Q J5.KJ76.T653.AJT AK4.984.J8.75432 732.32.AK42.K986 | 1S-P-2S
139   N  3H-N                    T54.KT532.AK2.KT K98.Q9.QJ74.J542 AQ7.J864.953.Q73 J632.A7.T86.A986 | 1H-P-3H
140   N  2S-N                    KQT95.A5.972.AJ8 J3.K42.KJ63.QT94 A876.J983.QT4.52 42.QT76.A85.K763 | 1S-P-2S
141   N  3C-N                    74.KQT54.A8.K876 KJ95.J76.KJ74.JT A832.32.963.A542 QT6.A98.QT52.Q93 | 1H-P-1S-P-2C-P-3C
142   N  4H-N                    J762.KJ974.A.KJ3 AKT4.65.QT3.T652 Q3.A32.KJ752.984 985.QT8.9864.AQ7 | 1H-P-3H-P-4H
143   N  2S-N                    A7654.KJ4.Q4.QT2 983.Q87.AK53.765 KQ2.A652.JT7.943 JT.T93.9862.AKJ8 | 1S-P-2S
144   N  4H-N                    Q32.AQT74.QJ.K97 T86.2.K632.AT542 AK4.J83.T9754.J3 J975.K965.A8.Q86 | 1H-P-3H-P-4H
145   N  1N-S                    KQT52.Q6.K76.A96 A97.A43.JT5.J832 83.T975.A842.KT4 J64.KJ82.Q93.Q75 | 1S-P-1N
146   N  2S-N                    AT9872.Q6.A53.Q8 J5.KJ94.JT9.A643 Q63.832.K84.KJ97 K4.AT75.Q762.T52 | 1S-P-2S
147   N  1N-S                    743.K9743.KQJ.A6 AJ92.J65.75.K873 QT.T2.AT986.QT42 K865.AQ8.432.J95 | 1H-P-1N
148   N  2S-N                    KQ752.T8.Q85.KQT 93.K974.KJ76.J83 AT6.AQ6.T942.965 J84.J532.A3.A742 | 1S-P-2S
149   N  1N-N                    AK4.AJT74.653.Q8 J9.962.QJ82.AT43 T862.Q8.KT94.K75 Q753.K53.A7.J962 | 1H-P-1S-P-1N
150   N  4S-N                    AK543.K762.3.Q54 J97.54.A872.KJT2 Q62.QT8.KQT94.63 T8.AJ93.J65.A987 | 1S-P-3S-P-4S
151   N  2S-N                    K7652.KJ862.A.Q2 J43.AT5.T97.AT53 Q8.73.KQ654.J864 AT9.Q94.J832.K97 | 1S-P-1N-P-2H-P-2S
152   N  2S-N                    KQ872.76.AJ643.Q 943.KT82.KT.K942 J6.QJ3.852.AJ876 AT5.A954.Q97.T53 | 1S-P-1N-P-2D-P-2S
153   N  2H-N                    A7.K8764.K852.A6 94.JT53.AT43.K32 KJ863.Q9.Q6.JT75 QT52.A2.J97.Q984 | 1H-P-1S-P-2D-P-2H
154   N  2S-N                    K7643.Q863.KJ.A8 A92.T9.864.KT965 QJT.J72.AT72.Q74 85.AK54.Q953.J32 | 1S-P-2S
155   N  4H-N                    KT3.AQ874.QT7.K5 A85.JT93.J8.A642 QJ2.K52.K6543.JT 9764.6.A92.Q9873 | 1H-P-3H-P-4H
156   N  2S-N                    KJ864.KJ.73.AT72 975.A962.KT82.K6 A32.QT87.J64.Q43 QT.543.AQ95.J985 | 1S-P-2S
157   N  2H-N                    QJ853.AJ43.Q9.A6 K97.T75.KJT.QJ75 T2.Q86.A874.T943 A64.K92.6532.K82 | 1S-P-1N-P-2H
158   N  1N-S                    AJ83.KJ876.K9.54 T42.53.AQT6.K973 Q75.Q4.J5432.A82 K96.AT92.87.QJT6 | 1H-P-1N
159   N  2S-S                    A.Q9764.JT32.AQT 762.K32.A84.K542 QJT983.J8.K96.97 K54.AT5.Q75.J863 | 1H-P-1S-P-2D-P-2S
160   N  2H-N                    K72.KJ9872.K8.A8 8543.Q4.AJ2.7532 QJ6.AT5.7653.K94 AT9.63.QT94.QJT6 | 1H-P-2H
161   N  4S-N                    AK543.K7.J765.QJ Q98.J86.Q42.A872 J72.AQT53.KT.953 T6.942.A983.KT64 | 1S-P-3S-P-4S
162   N  2S-N                    AKJ95.96.764.A72 62.KQJ7.QJT.T854 T43.A54.K832.Q93 Q87.T832.A95.KJ6 | 1S-P-2S
163   N  1N-S                    987.AT753.K9.AK4 AKQ5.942.82.9732 J32.K8.QJ543.JT5 T64.QJ6.AT76.Q86 | 1H-P-1N
164   N  2S-N                    AKT53.KT85.92.Q8 984.AQ7.KT76.JT3 J6.J9.AQ543.9652 Q72.6432.J8.AK74 | 1S-P-1N-P-2H-P-2S
165   N  3H-N                    T64.QJT76.AQJ5.K K872.AK4.93.T976 A3.953.KT87.Q432 QJ95.82.642.AJ85 | 1H-P-3H
166   N  2S-N                    KJ932.A6.85.A953 Q65.T92.AQJT.762 AT.Q874.9763.KT8 874.KJ53.K42.QJ4 | 1S-P-1N-P-2C-P-2S
167   N  4S-N                    QT754.AK8.K965.3 A62.74.JT83.AT72 J93.J952.Q2.KQ84 K8.QT63.A74.J965 | 1S-P-3S-P-4S
168   N  2S-N                    AKJ54.Q3.86.Q852 Q82.T85.QJ54.AJ9 T96.AKJ74.932.T3 73.962.AKT7.K764 | 1S-P-2S
169   N  2S-N                    AT983.Q9.J64.AK6 754.763.AQ85.QT4 QJ2.K852.K97.852 K6.AJT4.T32.J973 | 1S-P-2S
170   N  2S-N                    KJT92.AK7.JT5.Q5 Q3.JT6.Q942.A863 A764.542.873.K94 85.Q983.AK6.JT72 | 1S-P-2S
171   N  2S-N                    KT986.K982.Q3.AQ Q42.76.AJT4.K654 A75.J54.K875.J82 J3.AQT3.962.T973 | 1S-P-2S
172   N  1N-S                    K9542.983.A3.AK3 T8.KQ74.KJ7.JT72 AJ.JT2.QT9842.64 Q763.A65.65.Q985 | 1S-P-1N
173   N  1N-S                    T53.KQ954.K9.KQ9 Q97.JT82.AJ62.52 AJ8.A3.8543.T843 K642.76.QT7.AJ76 | 1H-P-1N
