..\bba\Runout_after_1N_X.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
1     S  2H-E      -140          9874.62.Q9642.96 T32.T9874.87.T32 AQJ6.Q3.K53.KQ75 K5.AKJ5.AJT.AJ84 | 1N-X=1=-P-2H | Cappelletti, strong
66    S  2S-E      -110          T65.74.K9642.T95 J974.T96.T8.A864 AK2.AQJ82.53.J32 Q83.K53.AQJ7.KQ7 | 1N-X=1=-P-2S | Cappelletti, strong
67    S  2D-S        90          32.82.8752.KJT72 J984.QT94.JT6.93 AT76.K53.AKQ4.65 KQ5.AJ76.93.AQ84 | 1N-X=1=-P-P-XX=2=-P-2C=3=-P-2D | Cappelletti, strong | SOS | Artificial
68    S  2D-N       110          T7.7632.A7654.53 Q85.JT85.T.T9642 J963.K94.KJ9.AKQ AK42.AQ.Q832.J87 | 1N-X=1=-P-2C-P-P-2D | Cappelletti, strong
69    S  1NX-S     -500          J3.75.T9532.T832 KT5.QT86.76.J975 A984.KJ9.KJ8.K64 Q762.A432.AQ4.AQ | 1N-X=1= | Cappelletti, strong
70    S  1NX-S     -300          732.832.QT542.93 9865.K94.J93.J85 KQJ.AQ65.876.K72 AT4.JT7.AK.AQT64 | 1N-X=1= | Cappelletti, strong
71    S  2S-E      -140          76.K63.T9875.Q96 T98432.JT7..KT84 QJ.A9842.KJ2.A52 AK5.Q5.AQ643.J73 | 1N-X=1=-P-2S | Cappelletti, strong
72    S  2S-E      -140          76.QJ3.J7542.863 J432.64.K83.J954 A8.AKT92.T96.AT2 KQT95.875.AQ.KQ7 | 1N-X=1=-P-2S | Cappelletti, strong
73    S  3D-N       110          AJ8.92.T9732.T76 T7532.QJ65..J842 K9.K83.KQ864.A93 Q64.AT74.AJ5.KQ5 | 1N-X=1=-P-2S-P-P-3D | Cappelletti, strong
74    S  2D-E      -110          86.876.874.K9854 752.Q43.T9653.T2 AT9.AJT2.A2.QJ73 KQJ43.K95.KQJ.A6 | 1N-X=1=-P-2D | Cappelletti, strong
75    S  3D-N       -50          T62.Q.J7632.Q863 93.K9843.T854.74 QJ754.AJ6.K9.KJ9 AK8.T752.AQ.AT52 | 1N-X=1=-P-2H-P-P-3D | Cappelletti, strong
76    S  2H-E      -110          J9.763.Q94.86432 KT87.QT98.T86.75 Q52.K5.AKJ75.KT9 A643.AJ42.32.AQJ | 1N-X=1=-P-2H | Cappelletti, strong
77    S  2H-E      -170          T532.T84.2.KJ984 8.Q97632.QT863.3 AK74.AJ.954.AT72 QJ96.K5.AKJ7.Q65 | 1N-X=1=-P-2H | Cappelletti, strong
78    S  2H-E        50          J9.74.T9832.K764 T863.AJ96.75.953 AK.QT82.KQJ6.T82 Q7542.K53.A4.AQJ | 1N-X=1=-P-2H | Cappelletti, strong
79    S  2D-E      -130          76.54.7532.T9732 T943.T83.KT864.5 J85.AK97.A9.KJ84 AKQ2.QJ62.QJ.AQ6 | 1N-X=1=-P-2D | Cappelletti, strong
80    S  2S-E      -170          Q9.T654.JT643.83 T8752.93.Q7.7654 J43.KQJ82.AK9.Q2 AK6.A7.852.AKJT9 | 1N-X=1=-P-2S | Cappelletti, strong
81    S  2H-E      -110          8643.8.KT543.T53 T.QT9652.J97.Q64 A975.AJ74.AQ.J72 KQJ2.K3.862.AK98 | 1N-X=1=-P-2H | Cappelletti, strong
82    S  2H-E      -170          864.975.T9754.J9 T9.AKJ64.6.T8654 KQJ75.Q82.K2.A72 A32.T3.AQJ83.KQ3 | 1N-X=1=-P-2H | Cappelletti, strong
83    S  2H-S       -50          J6.85.J863.J8432 Q532.KT3.975.T95 K87.QJ764.A4.KQ7 AT94.A92.KQT2.A6 | 1N-X=1=-P-P-2H | Cappelletti, strong
84    S  2H-S       110          743.762.Q9863.T7 QJ96.J4.T74.Q865 52.AT853.KJ2.AK3 AKT8.KQ9.A5.J942 | 1N-X=1=-P-P-2H | Cappelletti, strong
85    S  2D-N       110          J.9643.T7543.K74 T542.KQ2.2.T9653 K987.A85.KQ86.QJ AQ63.JT7.AJ9.A82 | 1N-X=1=-P-2C-P-P-2D | Cappelletti, strong
86    S  2H-E      -170          J62.2.T9853.7654 Q54.KQT765.62.JT T97.AJ3.AJ7.KQ92 AK83.984.KQ4.A83 | 1N-X=1=-P-2H | Cappelletti, strong
87    S  2H-E      -110          62.KT5.97432.Q75 JT.97632.J65.T86 9853.AJ.KT8.AK43 AKQ74.Q84.AQ.J92 | 1N-X=1=-P-2H | Cappelletti, strong
88    S  2S-E      -110          754.A65.T9832.85 KQ9832.T97.5.974 T6.KJ8.Q76.AKQ62 AJ.Q432.AKJ4.JT3 | 1N-X=1=-P-2S | Cappelletti, strong
89    S  2S-S       -50          98763.76.KT862.T QJT5.J982.73.974 A4.AQ3.Q95.A8653 K2.KT54.AJ4.KQJ2 | 1N-X=1=-2H-P-2S | Cappelletti, strong
90    S  3D-S       110          A.76.986432.J976 T9653.9842.J5.85 KQ82.KQT3.A7.K42 J74.AJ5.KQT.AQT3 | 1N-X=1=-3C=2=-P-3D=3= | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
91    S  4D-E      -130          T94.QJ85.3.Q9875 7652.T74.AT642.3 AQJ8.K96.Q9.KT42 K3.A32.KJ875.AJ6 | 1N-X=1=-P-2D-P-P-3C-P-P-3D-P-P-4C-P-P-4D | Cappelletti, strong
92    S  2H-E        50          92.72.Q876.QJ763 T87.QT95.T952.85 AJ63.AJ84.K4.KT9 KQ54.K63.AJ3.A42 | 1N-X=1=-P-2H | Cappelletti, strong
93    S  2D-N        90          J85.864.K8765.83 642.JT92.T9.KT92 KT93.73.AQ4.AQ54 AQ7.AKQ5.J32.J76 | 1N-X=1=-P-P-XX=2=-P-2D | Cappelletti, strong | SOS
94    S  3C-N       -50          T732.J.AT6.T8743 J95.6542.9854.J5 AQ64.K873.KJ3.A6 K8.AQT9.Q72.KQ92 | 1N-X=1=-P-2H-P-P-3C | Cappelletti, strong
95    S  1NX-S     -200          T854.95.95.T8652 A32.T63.QJ86.943 QJ7.KQ42.A42.KQ7 K96.AJ87.KT73.AJ | 1N-X=1= | Cappelletti, strong
96    S  2N-W      -120          942.97.T9432.764 653.JT5.K865.Q82 AJ8.AQ43.QJ.K953 KQT7.K862.A7.AJT | 1N-X=1=-P-P-XX=2=-P-2C=3=-P-2H-P-2S-X-P-2N | Cappelletti, strong | SOS | Artificial
97    S  3N-E        50          654.T96.J9763.52 T972.Q742.KQ8.J4 QJ3.K83.A5.KQT93 AK8.AJ5.T42.A876 | 1N-X=1=-P-2N-P-3N | Cappelletti, strong
98    S  3D-S       110          T95.T53.KJT532.J 763.Q96.9.876432 KQJ82.KJ4.A6.Q95 A4.A872.Q874.AKT | 1N-X=1=-3C=2=-P-3D=3= | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
99    S  2D-N        90          Q983.J8.Q9852.95 T4.QT53.74.J8742 AK52.K76.J3.AT63 J76.A942.AKT6.KQ | 1N-X=1=-P-2C-P-P-2D | Cappelletti, strong
100   S  2H-S       110          86.T83.T75.AT765 Q532.654.J94.J94 A74.AKJ72.K32.82 KJT9.Q9.AQ86.KQ3 | 1N-X=1=-P-P-2H | Cappelletti, strong
101   S  3C-S      -100          T96.63.54.KT8432 J87.K72.JT9762.7 Q54.AJT84.AQ.QJ5 AK32.Q95.K83.A96 | 1N-X=1=-2S=2=-P-3C=3= | Cappelletti, strong | 1N-2S transfer to clubs | Automat
102   S  2S-E      -140          J64.QJ9.T9432.94 T9872.K8765.Q.75 A5.432.AKJ7.KT83 KQ3.AT.865.AQJ62 | 1N-X=1=-P-2S | Cappelletti, strong
103   S  2S-E      -110          42.9863.JT532.J4 QT873.T7.A6.T985 AKJ6.QJ42.K94.Q3 95.AK5.Q87.AK762 | 1N-X=1=-P-P-XX=2=-P-2D-2S | Cappelletti, strong | SOS
104   S  3CX-S     -100          93.T.J752.QT9876 J862.7654.86.542 Q75.KJ32.AK94.A3 AKT4.AQ98.QT3.KJ | 1N-X=1=-2S=2=-P-3C=3=-X | Cappelletti, strong | 1N-2S transfer to clubs | Automat
105   S  2S-E      -170          6.954.9863.T8532 QJ975.T876.K5.K7 A43.KQ2.AJT2.J64 KT82.AJ3.Q74.AQ9 | 1N-X=1=-P-2S | Cappelletti, strong
106   S  2S-N      -100          T32.98.J9764.KT8 Q54.T654.Q82.432 A876.AQ73.K5.QJ7 KJ9.KJ2.AT3.A965 | 1N-X=1=-P-P-XX=2=-P-2C=3=-P-2H-P-2S | Cappelletti, strong | SOS | Artificial
107   S  3D-S       -50          52.J73.K97632.T9 J4.K952.T4.J8642 KT86.AQ84.QJ.K73 AQ973.T6.A85.AQ5 | 1N-X=1=-3C=2=-P-3D=3= | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
108   S  4S-E        50          92.83.T98532.865 QJ7653.T974.Q.Q9 T4.AK62.J7.AKJ32 AK8.QJ5.AK64.T74 | 1C-X-P-2S-P-2N-P-3H-P-4S
109   S  2S-N      -200          53.87.K8754.JT83 J6.JT43.T63.Q942 Q942.KQ52.AJ.A76 AKT87.A96.Q92.K5 | 1N-X=1=-P-P-XX=2=-P-2C=3=-P-2H-P-2S | Cappelletti, strong | SOS | Artificial
110   S  2D-E      -110          Q5.T85.J83.JT976 T943.63.K9762.42 K862.AJ42.Q5.KQ8 AJ7.KQ97.AT4.A53 | 1N-X=1=-P-2D | Cappelletti, strong
111   S  2S-S      -100          J2.652.J53.QT864 K543.J94.T976.73 QT876.KQ.A84.KJ5 A9.AT873.KQ2.A92 | 1N-X=1=-P-P-2S | Cappelletti, strong
112   S  3D-N       110          97.Q3.K6532.8742 T852.542.J9.JT65 KJ63.AT98.Q87.AK AQ4.KJ76.AT4.Q93 | 1N-X=1=-P-2S-P-P-3D | Cappelletti, strong
113   S  2S-S      -100          Q5.T93.743.T7654 J4.J752.J86.K982 A8763.K86.AQ9.Q3 KT92.AQ4.KT52.AJ | 1N-X=1=-P-P-2S | Cappelletti, strong
114   S  2S-E      -110          T64.T94.63.Q8542 Q9532.865.T5.J96 AJ.AQ7.K9874.K73 K87.KJ32.AQJ2.AT | 1N-X=1=-P-2S | Cappelletti, strong
115   S  2D-E      -130          974.9852.4.QJ954 T86.Q4.QJ9863.87 KJ3.KT73.AT75.AT AQ52.AJ6.K2.K632 | 1N-X=1=-P-2D | Cappelletti, strong
116   S  3C-S       110          954.QT9.5.QT9876 6.K764.987432.52 KQT3.J852.AJ6.A4 AJ872.A3.KQT.KJ3 | 1N-X=1=-2S=2=-P-3C=3= | Cappelletti, strong | 1N-2S transfer to clubs | Automat
117   S  2H-E      -140          JT.42.T9852.JT75 964.J8753..A9843 KQ87.AK6.J743.K2 A532.QT9.AKQ6.Q6 | 1N-X=1=-P-2H | Cappelletti, strong
118   S  2S-E      -170          64.J876.43.QT542 AT97532.5.Q98.63 K8.A42.AKT72.J97 QJ.KQT93.J65.AK8 | 1N-X=1=-P-2S | Cappelletti, strong
119   S  3D-E      -110          T5.82.JT5.T87652 Q87.T764.KQ432.J A962.AK95.97.A93 KJ43.QJ3.A86.KQ4 | 1N-X=1=-2S=2=-3D | Cappelletti, strong | 1N-2S transfer to clubs
120   S  3D-S       110          53.9643.A87643.6 T9742.QT52.T.Q73 Q8.A87.J95.AKJ82 AKJ6.KJ.KQ2.T954 | 1N-X=1=-3C=2=-P-3D=3= | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
121   S  3D-N      -100          87.875.Q9763.K86 T653.T643.842.Q5 AKQ2.KQJ2.J5.732 J94.A9.AKT.AJT94 | 1N-X=1=-P-2H-P-P-3D | Cappelletti, strong
122   S  2D-S      -200          KJT7.653.3.T8742 8642.982.T87.AJ6 Q95.QT7.AQ652.KQ A3.AKJ4.KJ94.953 | 1N-X=1=-P-P-2D | Cappelletti, strong
123   S  4CX-E     -510          J654.Q54.98764.7 T9.KT87.3.JT9864 AKQ32.A2.JT2.Q53 87.J963.AKQ5.AK2 | 1N-X=1=-P-2C-P-P-2D-3C-3D-P-P-4C-X | Cappelletti, strong
124   S  2S-E      -140          T43.Q754.J9742.6 K9852.JT9.63.972 76.A863.A85.AKT8 AQJ.K2.KQT.QJ543 | 1N-X=1=-P-2S | Cappelletti, strong
125   S  2S-E      -140          84.62.K9832.Q632 QJT76.74.T65.875 K92.KQT98.QJ.AT9 A53.AJ53.A74.KJ4 | 1N-X=1=-P-2S | Cappelletti, strong
126   S  4C-E        50          T95.KJ876.T7654. J874.Q2.3.Q87542 AQ.AT54.A82.JT93 K632.93.KQJ9.AK6 | 1N-X=1=-2D-4C | Cappelletti, strong
127   S  2H-E        50          QJT6.4.J63.JT865 9854.9652.T5.732 32.KQJ8.AQ42.KQ4 AK7.AT73.K987.A9 | 1N-X=1=-P-2H | Cappelletti, strong
128   S  3H-E      -200          J9.87.J65432.853 Q85.K9542.987.72 T42.A63.KQ.KQJ96 AK763.QJT.AT.AT4 | 1N-X=1=-3C=2=-P-3D=3=-X-P-3H | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
129   S  4S-E        50          9.QT754.JT543.T2 JT874.J62.9.9543 AQ65.K93.86.AQJ8 K32.A8.AKQ72.K76 | 1N-X=1=-2D-2S-X=2=-3H=3=-P-3S-P-4S | Cappelletti, strong | Support | Limit raise or better in !S
130   S  3H-E      -140          K9.43.J97632.873 873.K98765.85.62 AJT42.AT.AQT.T95 Q65.QJ2.K4.AKQJ4 | 1N-X=1=-3C=2=-P-3D=3=-X-P-3H | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
131   S  3CX-S      570          4.42.T863.AT9732 T532.KQ753.97.86 QJ86.J9.AQ42.KQ4 AK97.AT86.KJ5.J5 | 1N-X=1=-2S=2=-P-3C=3=-P-P-X | Cappelletti, strong | 1N-2S transfer to clubs | Automat
132   S  2S-E      -230          52.T6.KJ872.8653 KJT763.987432..J A94.Q5.AQT94.K94 Q8.AKJ.653.AQT72 | 1N-X=1=-P-2S | Cappelletti, strong
