../bba/Play_Top_Tricks_NT.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
120   S  3N-S       460          Q84.JT.AKT65.A64 KJT5.K82.972.T87 A962.A754.QJ3.KQ 73.Q963.84.J9532 | 1N-P-3N
121   S  3N-S       400          J97.976.A84.K854 KQT53.KJT.T92.63 A86.A52.K753.AQ9 42.Q843.QJ6.JT72 | 1N-P-2N-P-3N
122   S  3N-S       600          982.J73.AT83.K85 Q6.864.K972.T642 A74.A95.Q64.AQJ9 KJT53.KQT2.J5.73 | 1N-P-2N-P-3N
123   S  3N-S       400          53.T8.AJ762.AT73 Q9864.QJ7.Q98.62 AT2.A943.KT.KQJ9 KJ7.K652.543.854 | 1N-P-2N-P-3N
124   S  3N-S       600          T52.A4.A9754.865 J4.T965.KQJ2.QT9 A976.KQ32.T8.AKJ KQ83.J87.63.7432 | 1N-P-2N-P-3N
125   S  3N-S       660          T72.T98.AKQT6.76 QJ95.J54.4.KJ943 A43.AKQ2.9753.A5 K86.763.J82.QT82 | 1N-P-3N
126   S  3N-S       430          932.A62.AJ76.AT7 KJ6.T874.852.J86 A54.K93.KQT9.K54 QT87.QJ5.43.Q932 | 1N-P-3N
127   S  3N-S       660          43.73.AT54.AKJ65 QT96.654.Q632.43 A872.AKQJ.J9.Q87 KJ5.T982.K87.T92 | 1N-P-3N
128   S  2N-S       150          T8.62.AJT8.AT762 K653.QJT987.96.9 AQ94.A53.42.KQJ5 J72.K4.KQ753.843 | 1N-P-2N
129   S  3N-S       -50          93.653.AKT53.984 QT.QJT2.QJ92.J62 A542.A87.764.AKQ KJ876.K94.8.T753 | 1N-P-2N-P-3N
130   S  3N-S       600          4.T82.AKQT9.T753 KT765.J93.53.J62 AJ.A754.J64.AQ94 Q9832.KQ6.872.K8 | 1N-P-3N
131   S  1N-S       120          K64.74.A964.8654 9753.J9862.QT.QJ AQ8.AK5.872.AT92 JT2.QT3.KJ53.K73 | 1N
132   S  3N-S       630          T43.764.AQJT9.AQ KJ7.KJ932.542.87 A982.AQ.K73.KT64 Q65.T85.86.J9532 | 1N-P-3N
133   S  2N-S       210          94.2.AKQT8763.64 J3.QT8754..KQ972 A852.AJ6.J2.AJ53 KQT76.K93.954.T8 | 1N-P-2N
134   S  3N-S       460          54.43.AQ873.KT73 KQT762.J98.5.J94 A983.A7.K96.AQ65 J.KQT652.JT42.82 | 1N-P-2N-P-3N
135   S  3N-S       600          T95.K9.A74.Q9643 862.JT5.QJT8.T75 AJ74.A73.963.AKJ KQ3.Q8642.K52.82 | 1N-P-2N-P-3N
136   S  2N-S       150          T3.942.AKJT2.J93 Q874.KJT765.6.T4 A62.A3.Q943.AQ76 KJ95.Q8.875.K852 | 1N-P-2N
137   S  3N-S       460          Q8.95.AKT65.A843 JT97.K876.32.765 AK52.A32.QJ94.QJ 643.QJT4.87.KT92 | 1N-P-3N
138   S  2N-S       150          952.97.AKQ5.T742 KQT6.Q6.T9872.J5 A8.AT32.J63.AK96 J743.KJ854.4.Q83 | 1N-P-2N
139   S  3N-S       400          T93.KJ6.AJ32.964 K765.T5.T76.KQJ2 A42.A942.KQ95.A7 QJ8.Q873.84.T853 | 1N-P-3N
140   S  3H-W        50          765.T.A532.KQ742 QJT8.53.KQT74.93 A943.AQ9.96.AJT5 K2.KJ87642.J8.86 | 1N-3H
141   S  3N-S       600          942.9.AKJT6.JT52 QT5.KJ872.52.643 AJ7.A543.Q9.AQ97 K863.QT6.8743.K8 | 1N-P-3N
142   S  3N-S       400          974.T9.AJ72.A962 Q652.8642.QT.753 A3.AK73.865.KQJ4 KJT8.QJ5.K943.T8 | 1N-P-2N-P-3N
143   S  3N-S       660          94.72.AT542.KQ92 KQJT73.KJ5.98.53 A6.A863.KQ3.AT74 852.QT94.J76.J86 | 1N-P-2N-P-3N
144   S  3N-S       460          754.873.A9.AKQT8 Q983.K6.865432.3 AK6.AT52.KQ7.J76 JT2.QJ94.JT.9542 | 1N-P-3N
145   S  3N-S       430          743.J73.AK.KQJ76 T962.94.JT9432.8 AK.AT52.8765.A43 QJ85.KQ86.Q.T952 | 1N-P-3N
146   S  2H-W       100          JT2.T63.A98.KT84 Q9873.J.KT632.92 A65.A52.Q74.AQJ5 K4.KQ9874.J5.763 | 1N-2H
147   S  3N-S       430          T87.Q8.A74.KQJ83 K2.T7632.JT932.5 A543.A9.KQ6.A764 QJ96.KJ54.85.T92 | 1N-P-3N
148   S  3N-S       600          972.T83.A7.AT962 J543.Q94.Q98532. AKQ8.A7.KJ64.854 T6.KJ652.T.KQJ73 | 1N-P-2N-P-3N
149   S  2S-W        50          T73.953.AQ74.K42 94.KQ8742.9532.T A2.AJT6.KJT6.A97 KQJ865..8.QJ8653 | 1N-2S
150   S  2N-S       150          T52.T97.AJ542.A3 86.KQ.T98763.K94 AK93.A643.KQ.T72 QJ74.J852..QJ865 | 1N-P-2N
151   S  3N-S       660          Q42.Q4.A94.AJ765 J9875.K83.KT32.4 AKT6.A97.J5.KQ83 3.JT652.Q876.T92 | 1N-P-3N
152   S  3N-S       400          T3.Q6.AKT54.T754 QJ865.93.J3.KQ93 A92.AKJ7.872.AJ6 K74.T8542.Q96.82 | 1N-P-2N-P-3N
153   S  4H-S       480          8.A53.AKQT5.8653 5.8742.98632.KQ7 AK42.KQT9.J74.AT QJT9763.J6..J942 | 1N-3S-X-P-4H
154   S  3N-S       600          T95.JT4.AK4.JT76 K3.Q973.T972.942 A7.A852.863.AKQ5 QJ8642.K6.QJ5.83 | 1N-P-2N-P-3N
155   S  3N-S       400          T93.75.A975.A542 KQJ.QJ84.T82.JT9 A72.A962.KJ3.KQ8 8654.KT3.Q64.763 | 1N-P-2N-P-3N
156   S  3N-S       600          532.Q3.AJ653.Q95 QJ87.J52.982.K43 A96.AT96.KQT.A76 KT4.K874.74.JT82 | 1N-P-2N-P-3N
157   S  3N-S       660          94.J73.AK854.KQJ K87632.KQ862.2.7 AJT.A94.QJ3.AT84 Q5.T5.T976.96532 | 1N-P-3N
158   S  3N-S       400          862.92.AT7.AJ543 53.QT6.KQ942.T76 AK74.A7.J865.KQ9 QJT9.KJ8543.3.82 | 1N-P-2N-P-3N
159   S  3N-S       600          764.875.A743.KJ9 KQJT2.KJ.82.6543 A3.AQ63.JT9.AQT8 985.T942.KQ65.72 | 1N-P-3N
160   S  3N-S       400          632.6.AJT97.K982 QJ5.QJ973.K643.4 AK97.A82.52.AQT6 T84.KT54.Q8.J753 | 1N-P-2N-P-3N
161   S  3N-S       400          T2.K73.AT532.Q73 J765.82.KQJ9.T96 A93.AQT6.876.AK5 KQ84.J954.4.J842 | 1N-P-2N-P-3N
162   S  3N-S       690          K52.Q82.AJT5.A53 T98.J96.97432.64 AQJ.AK54.K86.T87 7643.T73.Q.KQJ92 | 1N-P-3N
163   S  3N-S       460          QJ7.3.AT843.AK75 T95.9542.62.QJT8 A32.AQT8.KQJ5.64 K864.KJ76.97.932 | 1N-P-3N
164   S  3N-S       600          T4.AT5.A652.JT43 Q9873.Q86.T94.Q6 AK2.73.KQJ7.A972 J65.KJ942.83.K85 | 1N-P-2N-P-3N
165   S  3N-S       660          K42.74.AK876.QJ4 JT8.KJ.T532.KT87 AQ73.A862.QJ9.A5 965.QT953.4.9632 | 1N-P-3N
166   S  3N-S       400          KT4.74.A764.JT93 J3.JT852.Q52.Q65 AQ86.A96.K93.A84 9752.KQ3.JT8.K72 | 1N-P-2N-P-3N
167   S  3N-S       660          T2.42.AT652.KQ97 QJ963.T985.7.J43 A754.A6.KQ84.A62 K8.KQJ73.J93.T85 | 1N-P-2N-P-3N
168   S  3N-S       400          764.JT3.AQJ83.42 KT2.Q8542.T4.K86 A5.A97.K962.AQT9 QJ983.K6.75.J753 | 1N-P-2N-P-3N
169   S  3N-S       460          QT9.74.AKQJ4.Q86 842.K862.632.K43 AK53.A53.98.AT75 J76.QJT9.T75.J92 | 1N-P-3N
170   S  3N-S       600          4.T85.AT96.AJT96 K763.QJ73.Q4.753 AQ85.A4.J732.KQ2 JT92.K962.K85.84 | 1N-P-3N
171   S  3N-S       460          Q97.942.AJT.KQ43 4.KQ.876432.J875 A65.AT87.KQ95.AT KJT832.J653..962 | 1N-P-3N
172   S  3N-S       630          6.954.AJ84.KQJT7 K9872.Q63.652.65 AQ53.AKT8.73.A84 JT4.J72.KQT9.932 | 1N-P-3N
173   S  5D-N       620          Q.985.AQJ87632.4 K974.QJ762..K952 AT65.A43.KT95.A7 J832.KT.4.QJT863 | 1N-P-5D
174   S  3N-S       430          QJ6.AT8.AJ96.J64 832.532.KQ842.K8 AK94.KQ9.73.AT75 T75.J764.T5.Q932 | 1N-P-3N
175   S  2N-S       150          T74.54.AJ97.A932 Q62.T873.T5.KQJ5 A9.AK92.KQ4.T764 KJ853.QJ6.8632.8 | 1N-P-2N
176   S  3N-S       460          Q8.J86.AT98.AQ85 J7653.KQT.J742.4 AKT2.A93.K6.KT76 94.7542.Q53.J932 | 1N-P-3N
