../bba/Last_Train_GT2.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
15    S  2S-N                    K875.973.AQ72.J9 T9.A642.8643.K53 Q432.KQ5.9.AQT62 AJ6.JT8.KJT5.874 | 1C-P-1S-P-2S
16    S  4D-N                    AJ2.Q53.J743.QT2 Q9843.K987.8.J96 T6.JT.AQ52.AK743 K75.A642.KT96.85 | 1C-P-1D-P-2D-P-3D-P-4D
17    S  3S-S                    Q864.AT8.JT542.A T5.K962.K863.KT5 AKJ7.753.Q.Q8762 932.QJ4.A97.J943 | 1C-P-1D-P-1S-P-3S
18    S  2H-N                    KQT5.K765.J965.4 J2.A84.K872.JT82 A93.QJ93.Q.A9753 8764.T2.AT43.KQ6 | 1C-P-1H-P-2H
19    S  2H-N                    KQ3.8542.A54.Q52 542.T3.K9873.K93 A76.AQJ7.J.JT874 JT98.K96.QT62.A6 | 1C-P-1H-P-2H
20    S  4S-N                    J8643.64.A872.A9 QT.QJ83.KT54.752 K752.KT9.J.KQJT4 A9.A752.Q963.863 | 1C-P-1S-P-2S-P-4S
21    S  2H-N                    T752.KQ95.Q53.K3 J863.A32.A984.54 K9.T864.K6.AQJ62 AQ4.J7.JT72.T987 | 1C-P-1H-P-2H
22    S  4S-N                    AK874.Q632.43.76 5.T985.A7652.K83 JT32.K7.KT.AQJ54 Q96.AJ4.QJ98.T92 | 1C-P-1S-P-3S-P-4S
23    S  4S-N                    Q542.62.AKT6.QT9 A63.QJ87.J754.87 KJT9.T93.8.AKJ43 87.AK54.Q932.652 | 1C-P-1S-P-2S-P-4S
24    S  3H-S                    K84.QT84.KQT93.T J9.652.AJ82.KJ72 Q65.AJ73.4.AQ865 AT732.K9.765.943 | 1C-P-1D-P-1H-P-3H
25    S  4H-N                    K5.J9754.AQT2.92 QT83.Q6.J754.AT7 AJ2.AK32.6.Q8653 9764.T8.K983.KJ4 | 1C-P-1H-P-2H-P-4H
26    S  2S-N                    KQ42.72.AQT9.983 753.JT654.J43.K6 AJ86.K3.72.AQT52 T9.AQ98.K865.J74 | 1C-P-1S-P-2S
27    S  3D-N                    T72.AK9.Q9732.Q8 J654.T832.AJ.542 AQ.J6.T865.AK976 K983.Q754.K4.JT3 | 1C-P-1D-P-2D-P-3D
28    S  4H-N                    AJ43.QJ97.632.K4 Q865.2.AT974.J72 K.K853.Q85.AQT96 T972.AT64.KJ.853 | 1C-P-1H-P-3H-P-3N-P-4H
29    S  4H-N                    Q742.AT84.A86.43 AJ95.752.KQ97.72 8.KQJ3.543.AKJ98 KT63.96.JT2.QT65 | 1C-P-1H-P-3H-P-4H
30    S  2S-N                    A954.Q8.Q93.KT97 J82.KT942.K876.8 KQT7.65.J4.AQ653 63.AJ73.AT52.J42 | 1C-P-1S-P-2S
31    S  4H-N                    JT87.KT875.AJ9.7 Q96.64.Q853.AQ42 A2.AQ32.T4.KT853 K543.J9.K762.J96 | 1C-P-1H-P-2H-P-3H-P-4H
32    S  3N-N                    K72.K63.A942.JT5 A963.Q984.QJ3.83 J5.AJ.T865.AQ974 QT84.T752.K7.K62 | 1C-P-1D-P-2D-P-2N-P-3N
33    S  2S-N                    Q952.A65.KQ72.T4 63.J842.AJ98.K92 A874.KT7.4.AQ873 KJT.Q93.T653.J65 | 1C-P-1S-P-2S
34    S  4S-N                    AQT92.97.AJ942.9 73.JT82.KQ76.QJT KJ86.AQ3.8.K7652 54.K654.T53.A843 | 1C-P-1S-P-2S-P-4S
35    S  4H-N                    872.QT84.Q643.AK K643.J9.AT82.T62 A5.AK32.97.QJ875 QJT9.765.KJ5.943 | 1C-P-1H-P-2H-P-3H-P-4H
36    S  3H-S                    AK7.K753.T8754.6 T865.T4.KJ32.AQ7 QJ3.AQ96.A.J9432 942.J82.Q96.KT85 | 1C-P-1D-P-1H-P-3H
37    S  4S-S                    KQT4.KT4.Q8762.9 J83.Q9852.94.A82 A952.7.AKT.K7653 76.AJ63.J53.QJT4 | 1C-P-1D-P-1S-P-3S-P-4S
38    S  2H-N                    KQT.K954.T976.QJ 9543.JT.432.AT82 A6.AQ76.J8.K7653 J872.832.AKQ5.94 | 1C-P-1H-P-2H
39    S  4H-N                    K963.KQJ83.J93.3 Q75.5.AT752.T765 42.AT42.KQ.AJ982 AJT8.976.864.KQ4 | 1C-P-1H-P-3H-P-3S-P-4C-P-4H
40    S  3S-N                    9873.K94.AQ52.J5 Q5.J32.K764.K984 KJT6.Q65.8.AQ732 A42.AT87.JT93.T6 | 1C-P-1S-P-2S-P-3S
41    S  2H-N                    J842.AT93.AT3.84 K975.72.K762.KT9 Q3.KJ54.QJ.AJ532 AT6.Q86.9854.Q76 | 1C-P-1H-P-2H
42    S  3S-N                    A853.K84.J842.K3 QJ.T653.763.AQJ2 KT42.A7.KQ.T9764 976.QJ92.AT95.85 | 1C-P-1S-P-2S-P-3S
43    S  4S-N                    AQT64.JT95.A875. J9.632.J942.A853 K753.AQ8.T.KQ742 82.K74.KQ63.JT96 | 1C-P-1S-P-3S-P-3N-P-4S
44    S  5S-N                    QJ532.A6.KT987.5 T6.K754.Q642.J86 A987.QJ8.3.AK943 K4.T932.AJ5.QT72 | 1C-P-1S-P-3S-P-4C-P-4D-P-4N-P-5H=1=-P-5S | A=2/5 or 5/5, Q(S)=0
45    S  2H-N                    AK8.KT53.J863.62 T643.84.KT742.A4 Q52.AQ97.Q.QT975 J97.J62.A95.KJ83 | 1C-P-1H-P-2H
46    S  4H-N                    Q732.J974.J52.AK KT9.A62.T7643.96 J6.KQT3.A8.QJT74 A854.85.KQ9.8532 | 1C-P-1H-P-2H-P-3H-P-4H
47    S  4S-N                    QJT83.QJ5.Q964.Q K9.T974.AK82.962 A652.K8.J7.AJ753 74.A632.T53.KT84 | 1C-P-1S-P-2S-P-3S-P-4S
48    S  2S-N                    JT93.AK8.KT92.52 A86.J54.Q876.Q94 KQ54.T72.J.AK863 72.Q963.A543.JT7 | 1C-P-1S-P-2S
49    S  2H-S                    74.A742.KQ654.76 T962.JT.AJ2.A983 A83.K985.3.KQJ54 KQJ5.Q63.T987.T2 | 1C-P-1D-P-1H-P-2H
50    S  3H-S                    K9.KQT2.K8542.42 Q842.A53.JT6.K63 J7.9876.A7.AQJ98 AT653.J4.Q93.T75 | 1C-P-1D-P-1H-P-3H
51    S  4S-N                    8543.A4.QJ62.K42 KQ.T862.KT74.J75 AT97.KJ3.A.QT983 J62.Q975.9853.A6 | 1C-P-1S-P-3S-P-4S
52    S  4H-N                    9874.K975.A98.A6 AT652.J4.JT62.T3 QJ.AT83.74.KQJ82 K3.Q62.KQ53.9754 | 1C-P-1H-P-2H-P-4H
53    S  3S-S                    K632.85.AJT98.QT J5.KQ92.765.K985 AQ98.J43.2.AJ764 T74.AT76.KQ43.32 | 1C-P-1D-P-1S-P-3S
54    S  3S-S                    AQ86.J6.KJT954.7 KT53.8543.A7.K85 J972.AQ.Q8.AJ932 4.KT972.632.QT64 | 1C-P-1D-P-1S-P-3S
55    S  4H-N                    J43.AQT8.Q965.J4 A752.7643.K73.K7 Q86.KJ52.A.A9865 KT9.9.JT842.QT32 | 1C-P-1H-P-3H-P-4H
56    S  3N-N                    K75.942.A976.AT5 QT96.AJT6.Q5.J64 A3.K3.KT32.K8732 J842.Q875.J84.Q9 | 1C-P-1D-P-2D-P-2N-P-3N
57    S  4S-N                    J732.832.AKQ5.J8 KQ85.QJ75.742.Q4 AT96.KT.T9.AKT76 4.A964.J863.9532 | 1C-P-1S-P-3S-P-4S
58    S  2S-N                    Q754.J53.KQJ2.97 J96.QT62.A964.Q5 AKT8.K4.53.K8643 32.A987.T87.AJT2 | 1C-P-1S-P-2S
59    S  3N-N                    A95.KT7.A842.732 KJ73.A863.Q53.65 Q4.Q5.JT96.AKT94 T862.J942.K7.QJ8 | 1C-P-1D-P-2D-P-2N-P-3N
60    S  2S-N                    8642.AJ2.KJ72.98 T75.643.Q963.AQT AKJ3.Q95.T.KJ643 Q9.KT87.A854.752 | 1C-P-1S-P-2S
61    S  2H-N                    AK98.QT97.9632.2 T763.AJ2.J5.Q854 4.K854.K74.AK963 QJ52.63.AQT8.JT7 | 1C-P-1H-P-2H
62    S  3S-N                    8432.962.AQ83.KJ Q96.743.KJ92.A53 AKJT.QT8.6.QT962 75.AKJ5.T754.874 | 1C-P-1S-P-2S-P-3S
63    S  2H-N                    KQ63.AJT5.62.T65 A985.987.A753.Q9 7.KQ32.KJ8.A8742 JT42.64.QT94.KJ3 | 1C-P-1H-P-2H
64    S  3H-N                    J972.AQ76.Q952.Q AKQT.J5.743.8762 3.K943.AJT.KJ943 8654.T82.K86.AT5 | 1C-P-1H-P-2H-P-3H
65    S  2H-N                    T43.AT65.AQ42.74 AQ96.83.JT98.J32 J72.KQJ4.7.AQT96 K85.972.K653.K85 | 1C-P-1H-P-2H
66    S  2H-N                    QJ9.Q875.K754.K9 T87.J42.A986.Q85 K42.AT93.J.AT762 A653.K6.QT32.J43 | 1C-P-1H-P-2H
67    S  4S-N                    QJ98.J6.K543.KJ5 4.QT874.T972.A98 K762.K3.AQ.Q7642 AT53.A952.J86.T3 | 1C-P-1S-P-3S-P-3N-P-4S
68    S  2S-N                    A854.QJ6.952.A76 932.K875.KQJ8.J8 KQJT.T3.A7.KT432 76.A942.T643.Q95 | 1C-P-1S-P-2S
69    S  4S-N                    Q753.Q82.K84.A64 864.T6543.AT6.J2 KJ92.A.J97.KQ753 AT.KJ97.Q532.T98 | 1C-P-1S-P-3S-P-3N-P-4S
70    S  4H-N                    9654.K987.KJ92.A J832.53.Q76.QJ42 A.QT42.A54.KT875 KQT7.AJ6.T83.963 | 1C-P-1H-P-2H-P-3H-P-4H
71    S  4H-N                    A92.J8532.T75.AJ 653.K6.K8642.842 KT7.QT97.A.KQ763 QJ84.A4.QJ93.T95 | 1C-P-1H-P-3H-P-3S-P-4C-P-4H
72    S  3S-S                    KQ64.974.AQT32.4 5.KT83.8765.A982 AJ98.A65.9.KJ765 T732.QJ2.KJ4.QT3 | 1C-P-1D-P-1S-P-3S
73    S  3N-S                    AT9.942.AQT96.73 Q865.QT765.K3.95 J2.K3.8742.AKQJ2 K743.AJ8.J5.T864 | 1C-P-1D-P-2D-P-3D-P-3N
74    S  3H-S                    K3.QT64.AT876.Q4 J974.K87.KJ9.T98 T65.AJ53.2.AK752 AQ82.92.Q543.J63 | 1C-P-1D-P-1H-P-3H
75    S  2H-N                    K954.QJ53.A42.42 J763.AT.K53.J965 Q.K984.J86.AKT73 AT82.762.QT97.Q8 | 1C-P-1H-P-2H
76    S  6H-N                    K87.AK872.T842.5 942.T6.QJ93.A763 A65.QJ53.A.QJ942 QJT3.94.K765.KT8 | 1C-P-1H-P-3H-P-3S-P-4D-P-4N-P-5S=1=-P-6H | A=2/5 or 5/5, Q(H)=1
77    S  4S-N                    AKQ64.64.QT73.53 32.QJT2.A854.K42 J975.K93.K.AJT76 T8.A875.J962.Q98 | 1C-P-1S-P-2S-P-4S
78    S  3D-N                    KJ4.853.AQT86.J3 A9653.J76.J9.T64 Q.Q42.7543.AKQ82 T872.AKT9.K2.975 | 1C-P-1D-P-2D-P-3D
79    S  2S-S                    KJT7.Q6.QJT52.Q7 8.A982.K9763.T94 Q652.KT4.4.AKJ63 A943.J753.A8.852 | 1C-P-1D-P-1S-P-2S
80    S  4H-N                    A94.Q7654.KT84.Q T832.82.A72.KJ93 K6.KJT9.J5.AT864 QJ75.A3.Q963.752 | 1C-P-1H-P-2H-P-4H
81    S  4H-N                    AK.AT762.T764.62 Q754.985.AQJ.JT3 T3.KJ43.52.AKQ95 J9862.Q.K983.874 | 1C-P-1H-P-2H-P-4H
82    S  2H-N                    AQJT.J874.T2.QT6 K743.Q53.Q765.J7 2.AKT9.K93.K9432 9865.62.AJ84.A85 | 1C-P-1H-P-2H
83    S  2S-S                    8753.4.KT864.AQ8 JT6.AT632.Q93.32 AK42.KJ8.2.K9654 Q9.Q975.AJ75.JT7 | 1C-P-1D-P-1S-P-2S
84    S  3S-S                    KQ53.94.AQ975.72 AT8.KT65.K82.984 J962.AJ7.6.KQJT3 74.Q832.JT43.A65 | 1C-P-1D-P-1S-P-3S
85    S  4S-N                    A7652.KT2.A864.6 T4.J975.KT92.K95 KQ83.A86.3.AT873 J9.Q43.QJ75.QJ42 | 1C-P-1S-P-2S-P-4S
86    S  2S-N                    K652.T54.QJ42.A2 T8.AQ6.A653.T864 AQ97.J72.T.KQJ97 J43.K983.K987.53 | 1C-P-1S-P-2S
87    S  2H-N                    KJ75.AJ64.T52.Q9 Q962.K75.AJ64.74 A4.QT83.Q7.A8652 T83.92.K983.KJT3 | 1C-P-1H-P-2H
88    S  3S-N                    KQJ2.T98.QJ.9743 A5.Q763.8653.A62 T743.AJ.K7.KQJT5 986.K542.AT942.8 | 1C-P-1S-P-3S
89    S  4H-N                    QT76.8752.K7.AQ4 A842.QJ9.QT96.J5 K5.AT43.A5.K9876 J93.K6.J8432.T32 | 1C-P-1H-P-3H-P-3N-P-4H
90    S  3S-S                    J986.AJ6.AT8543. AKT.9843.96.QT82 7532.52.KQ.AK765 Q4.KQT7.J72.J943 | 1C-P-1D-P-1S-P-3S
91    S  2H-N                    QJ94.QJT9.AJ43.9 A76.85.9652.QJ87 T8.K764.K7.AKT53 K532.A32.QT8.642 | 1C-P-1H-P-2H
92    S  4H-N                    KJ4.T8532.KQ85.7 A752.Q4.T963.Q63 Q96.AJ76.2.AK952 T83.K9.AJ74.JT84 | 1C-P-1H-P-3H-P-4H
93    S  4H-N                    Q9.87643.KJ76.A7 K8732.J9.QT92.J2 J4.AKQT.85.KT854 AT65.52.A43.Q963 | 1C-P-1H-P-2H-P-3H-P-4H
94    S  4H-N                    AK76.K765.2.T983 J842.42.A9843.J6 3.AQJT.KJ6.K7542 QT95.983.QT75.AQ | 1C-P-1H-P-2H-P-3H-P-4H
95    S  2H-N                    J32.AK42.Q7.JT87 T964.J7.K8432.K6 AQ.T963.96.AQ543 K875.Q85.AJT5.92 | 1C-P-1H-P-2H
96    S  3D-N                    873.A85.AT642.K6 Q952.J9432.Q.Q73 AT6.T.K875.AJT82 KJ4.KQ76.J93.954 | 1C-P-1D-P-2D-P-3D
97    S  3S-S                    K642.J64.AJ542.4 QT3.K873.T97.AT9 AJ98.A92.8.QJ763 75.QT5.KQ63.K852 | 1C-P-1D-P-1S-P-2S-P-P-X-P-3H-P-P-3S
98    S  3DX-W                   AT96.KT98.QJ4.63 KQ43.53.KT96.QT7 J52.AJ72.7.AK985 87.Q64.A8532.J42 | 1C-P-1H-P-2H-P-P-X-XX-3D-X
99    S  3N-N                    KJ5.932.KQ83.Q62 8432.AK85.T42.94 96.Q4.AJ97.AK853 AQT7.JT76.65.JT7 | 1C-P-1D-P-2D-P-2N-P-3N
100   S  4H-S                    K73.QJT3.98432.A J952.A97.JT7.QT6 AQ.8654.A5.KJ532 T864.K2.KQ6.9874 | 1C-P-1D-P-1H-P-3H-P-4H
101   S  2S-N                    J432.Q98.AT9.QT4 T96.K432.KQ52.96 AKQ8.T5.J7.KJ872 75.AJ76.8643.A53 | 1C-P-1S-P-2S
102   S  3D-N                    J92.A94.AJT97.T9 KT84.Q762.K4.764 Q7.J5.Q532.AKJ32 A653.KT83.86.Q85 | 1C-P-1D-P-2D-P-3D
103   S  4S-S                    Q965.QJ5.KQT82.T AJ.9762.543.A954 K832.AK4.J.QJ732 T74.T83.A976.K86 | 1C-P-1D-P-1S-P-3S-P-4S
104   S  2S-N                    Q987.AK2.Q653.43 T54.QJ94.K98.KJ5 AKJ3.76.74.A9876 62.T853.AJT2.QT2 | 1C-P-1S-P-2S
105   S  4H-N                    J83.KQT982.AJ4.8 T9542.5.K752.A42 A.AJ76.T93.KQ975 KQ76.43.Q86.JT63 | 1C-P-1H-P-3H-P-3N-P-4H
106   S  2H-N                    T8.Q972.KQ85.A87 AKJ9.86.9743.Q62 Q64.AKT3.T.KT954 7532.J54.AJ62.J3 | 1C-P-1H-P-2H
107   S  4H-N                    J32.QJ986.KQJ3.J KT74.32.A986.QT5 Q8.AT74.72.AK742 A965.K5.T54.9863 | 1C-P-1H-P-2H-P-3H-P-4H
108   S  4H-N                    AJ6.6532.KQJ2.T5 T9753.K98.A76.98 K.QJT7.543.AK432 Q842.A4.T98.QJ76 | 1C-P-1H-P-2H-P-3H-P-4H
109   S  4H-N                    AK64.K753.JT92.5 J852.Q86.76.QJ84 3.AJT2.Q83.AKT97 QT97.94.AK54.632 | 1C-P-1H-P-3H-P-3N-P-4H
110   S  2S-N                    A632.QJ7.KJ72.73 75.A654.T985.AT9 KQJ8.K98.3.KQ642 T94.T32.AQ64.J85 | 1C-P-1S-P-2S
111   S  4S-N                    KT954.QT9.AQ74.9 2.A872.T953.QT83 Q876.K53.J.AKJ52 AJ3.J64.K862.764 | 1C-P-1S-P-3S-P-3N-P-4S
112   S  3H-S                    K3.6532.AQJ95.T2 QJ84.QT4.T642.K3 765.AKJ8.3.AJ876 AT92.97.K87.Q954 | 1C-P-1D-P-1H-P-3H
113   S  4H-N                    AK87.AT84.874.T2 Q642.Q9.KT2.9863 9.KJ72.QJ6.AQJ75 JT53.653.A953.K4 | 1C-P-1H-P-2H-P-4H
114   S  4S-N                    AT96.K73.KJ52.85 83.QT952.QT86.Q6 KQ72.A64.4.AJ432 J54.J8.A973.KT97 | 1C-P-1S-P-2S-P-3S-P-4S
115   S  3H-S                    AK3.7432.KJT73.6 T865.AT5.95.QT83 J2.KQ86.A8.K9542 Q974.J9.Q642.AJ7 | 1C-P-1D-P-1H-P-3H
116   S  4H-N                    74.KQ972.A632.Q6 AT93.643.KQ4.J83 QJ2.JT85.J.AKT95 K865.A.T9875.742 | 1C-P-1H-P-2H-P-4H
117   S  4S-N                    AJ873.A64.Q64.84 6.QT832.AT75.JT7 KQ42.9.KJ2.K9532 T95.KJ75.983.AQ6 | 1C-P-1S-P-2S-P-4S
118   S  2H-N                    J974.QT42.AJ.JT6 QT62.75.Q984.KQ4 8.AJ86.K76.A9875 AK53.K93.T532.32 | 1C-P-1H-P-2H
119   S  2H-N                    A86.AQJ7.9763.T5 QJ74.8543.QJT.A2 K.KT92.A52.KJ976 T9532.6.K84.Q843 | 1C-P-1H-P-2H
120   S  4S-N                    97542.AJ72.A53.Q A86.K93.Q86.JT93 KQJ3.54.JT.AK876 T.QT86.K9742.542 | 1C-P-1S-P-3S-P-3N-P-4S
121   S  3H-N                    K974.Q983.KQ53.J T632.KT.A42.T982 AJ.J642.76.AQ543 Q85.A75.JT98.K76 | 1C-P-1H-P-2H-P-3H
122   S  4H-N                    J96.AT863.KQ94.J KT85.Q2.J873.Q53 A32.J974.T.AKT84 Q74.K5.A652.9762 | 1C-P-1H-P-2H-P-3H-P-4H
123   S  4H-N                    QJ5.QJ95.J9.QJT7 9732.A3.K8642.86 64.K642.A3.AK954 AKT8.T87.QT75.32 | 1C-P-1H-P-3H-P-4H
124   S  1N-S                    J96.753.QJ97.AQ7 A83.QJ94.KT5.643 K4.K8.A864.KJT98 QT752.AT62.32.52 | 1C-P-1D-P-1N
125   S  4S-S                    A854.62.KQJ832.9 63.AQ93.9654.Q42 QJT7.KT4.7.AKJ86 K92.J875.AT.T753 | 1C-P-1D-P-1S-P-3S-P-4S
126   S  2S-N                    KQT7.Q65.KT42.73 54.J932.AJ93.J82 A963.K8.Q5.KQ954 J82.AT74.876.AT6 | 1C-P-1S-P-2S
127   S  2H-S                    82.AT97.KQT54.53 AK95.J2.9762.642 JT4.KQ64.3.AKJT7 Q763.853.AJ8.Q98 | 1C-P-1D-P-1H-P-2H
128   S  3S-S                    Q854.73.AKQT6.86 T7.AKJ5.8542.QT7 K963.T92.J.AKJ94 AJ2.Q864.973.532 | 1C-P-1D-P-1S-P-3S
129   S  4H-N                    JT96.AQ64.A542.2 K42.J2.KQJ3.9765 A5.T983.87.AKQ83 Q873.K75.T96.JT4 | 1C-P-1H-P-2H-P-3H-P-4H
130   S  2S-N                    9632.KQJ.J96.Q64 Q87.543.AT872.J3 AKJ4.T86.K.KT975 T5.A972.Q543.A82 | 1C-P-1S-P-2S
131   S  4S-N                    T9542.AK6.AT94.3 K6.J872.QJ5.T964 A873.Q3.76.AK872 QJ.T954.K832.QJ5 | 1C-P-1S-P-2S-P-4S
132   S  3S-S                    K943.AT6.KJ982.8 T2.K943.Q75.AJ72 AQ75.Q8.T4.KQT43 J86.J752.A63.965 | 1C-P-1D-P-1S-P-3S
133   S  2H-N                    742.Q532.A876.A5 KJT9.84.JT94.KT8 AQ.KT96.32.QJ642 8653.AJ7.KQ5.973 | 1C-P-1H-P-2H
134   S  2H-N                    Q952.A976.854.AT KJ6.53.KT96.9764 AT.QJT4.Q7.KJ853 8743.K82.AJ32.Q2 | 1C-P-1H-P-2H
135   S  4H-N                    KJ3.AJT93.JT632. 9762.K4.Q4.Q9542 85.Q852.K9.AKJT7 AQT4.76.A875.863 | 1C-P-1H-P-2H-P-4H
136   S  4H-N                    QT42.AJ96.854.A4 K975.Q8.QJT9.973 J.K742.A63.KQT85 A863.T53.K72.J62 | 1C-P-1H-P-2H-P-3H-P-4H
137   S  4H-N                    9852.AKQ64.T72.7 AJT6.T9.KJ95.T54 3.J753.Q84.AKQJ9 KQ74.82.A63.8632 | 1C-P-1H-P-2H-P-4H
138   S  2H-N                    K43.K932.Q72.K63 J952.A6.KT65.Q75 A6.QJT4.83.AJ842 QT87.875.AJ94.T9 | 1C-P-1H-P-2H
139   S  4S-N                    T9542.AQ8.A964.3 63.652.KT32.KQ54 QJ87.KT3.J.AJ862 AK.J974.Q875.T97 | 1C-P-1S-P-2S-P-4S
140   S  2H-N                    754.QT62.AJ97.Q6 A82.54.8432.AJ82 K96.AK73.T.KT973 QJT3.J98.KQ65.54 | 1C-P-1H-P-2H
141   S  4S-N                    KT65.A98.J652.K2 J74.KT752.Q83.T8 Q982.6.AK7.AJ954 A3.QJ43.T94.Q763 | 1C-P-1S-P-3S-P-3N-P-4S
142   S  2H-N                    54.AJ64.AJ96.T92 K863.KT9.QT72.74 A92.Q873.8.AK853 QJT7.52.K543.QJ6 | 1C-P-1H-P-2H
143   S  2H-N                    KT92.A865.Q983.J Q43.K4.JT62.K953 876.QT93.A.AQ642 AJ5.J72.K754.T87 | 1C-P-1H-P-2H
144   S  2H-N                    K864.AQ86.J965.3 732.T52.AK84.865 QJ5.KJ73.Q.KQT42 AT9.94.T732.AJ97 | 1C-P-1H-P-2H
145   S  3H-N                    7643.J982.AJ2.QJ KT92.63.K986.A95 Q5.AK54.75.KT743 AJ8.QT7.QT43.862 | 1C-P-1H-P-2H-P-P-X-P-3D-3H
146   S  4H-N                    K8.QT853.KJT.Q72 J965.J.87643.AT9 Q32.AK92.Q.K6543 AT74.764.A952.J8 | 1C-P-1H-P-2H-P-3H-P-4H
147   S  4S-N                    KQ742.932.QJ54.K 9.T854.K832.A843 AJT8.KQ.T6.QJ972 653.AJ76.A97.T65 | 1C-P-1S-P-2S-P-3S-P-4S
148   S  4S-S                    9542.AK9.Q7532.J J86.843.AK4.8652 AKQ3.J75.T.A9743 T7.QT62.J986.KQT | 1C-P-1D-P-1S-P-3S-P-4S
149   S  2H-S                    Q4.AQ73.Q9864.T3 T652.98.A532.AQ6 KJ.KT54.KJ.K7542 A9873.J62.T7.J98 | 1C-P-1D-P-1H-P-2H
150   S  2S-N                    KJ73.Q62.KQ52.54 AQ2.853.T873.A87 T865.AK9.4.KQJ63 94.JT74.AJ96.T92 | 1C-P-1S-P-2S
151   S  4H-N                    A4.98643.AQ854.3 KJ98.Q7.T92.JT72 Q72.AJ52.3.AK985 T653.KT.KJ76.Q64 | 1C-P-1H-P-3H-P-3S-P-4C-P-4H
152   S  3S-S                    AK53.J8.QJT76.43 T92.AQ73.843.QT2 QJ64.K54.K.K8765 87.T962.A952.AJ9 | 1C-P-1D-P-1S-P-3S
153   S  2H-S                    AKT.QT53.T8732.7 QJ86.876.QJ4.K85 94.AKJ9.A5.Q9642 7532.42.K96.AJT3 | 1C-P-1D-P-1H-P-2H
154   S  4S-S                    QJ32.AT7.A8652.9 K65.Q9543.73.QT8 T874.K2.K4.AK762 A9.J86.QJT9.J543 | 1C-P-1D-P-1S-P-3S-P-4S
155   S  2H-S                    865.AJ84.AT985.T 732.Q52.KJ64.A53 AK4.KT97.2.KJ942 QJT9.63.Q73.Q876 | 1C-P-1D-P-1H-P-2H
156   S  4H-N                    T95.K9763.AK9.J3 J874.84.J7632.K2 K6.QJT5.Q4.AQT97 AQ32.A2.T85.8654 | 1C-P-1H-P-2H-P-4H
157   S  4H-N                    J974.KQ95.A942.2 A32.632.Q85.T864 85.AT84.J3.AKQ75 KQT6.J7.KT76.J93 | 1C-P-1H-P-3H-P-4H
158   S  4H-N                    T6.AQ853.KT98.J3 AJ53.42.Q765.Q94 972.KJ96.J.AKT85 KQ84.T7.A432.762 | 1C-P-1H-P-2H-P-3H-P-4H
