../bba/All_Pass.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
37    W  Pass-?                  32.K764.AQ74.986 J986.85.T98.AKQ3 KQ4.AJ92.62.JT42 AT75.QT3.KJ53.75 | P
38    W  Pass-?                  AQ52.873.A4.T973 9863.AJ62.875.K2 T74.KQ.J632.AJ85 KJ.T954.KQT9.Q64 | P
39    W  1N-W                    KT74.K7.T875.AJ2 A832.QT86.AJ.T84 QJ5.J953.KQ2.753 96.A42.9643.KQ96 | P-P-1C-P-1D-P-1H-P-1N
40    W  Pass-?                  A42.KQT5.9842.JT K83.A863.T3.Q876 T975.97.QJ6.AK94 QJ6.J42.AK75.532 | P
41    W  Pass-?                  A974.J8.KT5.QJT9 Q32.QT72.QJ9.A87 KJT.A965.873.542 865.K43.A642.K63 | P
42    W  2S-W                    95.QT6.Q43.KJ843 Q863.J852.AKJ6.5 AT4.A943.T8.QT96 KJ72.K7.9752.A72 | P-P-1D-P-1S-P-2S
43    W  Pass-?                  Q985.KT4.93.Q964 AT42.QJ9.JT6.K73 K63.852.K874.AJ2 J7.A763.AQ52.T85 | P
44    W  Pass-?                  53.AJT8.Q96.Q843 JT6.742.AJ82.AT2 A982.Q63.74.KJ95 KQ74.K95.KT53.76 | P
45    W  Pass-?                  JT9.A75.AT9.J765 A872.Q93.82.KQ98 KQ65.T82.J654.AT 43.KJ64.KQ73.432 | P
46    W  1S-N                    A842.Q92.KJ6.865 KQT.874.T985.KT4 J76.AJ53.32.AJ97 953.KT6.AQ74.Q32 | P-P-P-1C-P-1S
47    W  Pass-?                  A865.QJ85.7.JT83 KT4.KT4.K532.Q96 J973.A2.QT84.K72 Q2.9763.AJ96.A54 | P
48    W  Pass-?                  AQ43.83.Q86.K542 KJ.KJ4.9732.QJ76 T872.QT75.AKJ4.3 965.A962.T5.AT98 | P
49    W  Pass-?                  Q642.T42.A8.KJ43 AK8.QJ93.J72.852 73.A765.KQT4.QT9 JT95.K8.9653.A76 | P
50    W  Pass-?                  AJ8.754.976.KQT3 Q32.KT83.AQ84.95 KT76.A62.J53.742 954.QJ9.KT2.AJ86 | P
51    W  2H-S                    7642.KJ93.A3.KT6 AKT.Q76.JT72.984 983.AT54.654.AQ7 QJ5.82.KQ98.J532 | P-1C-P-1H-P-2H
52    W  2S-S                    KT84.AT3.J4.K973 A9.K85.Q752.Q842 J7632.Q92.AT83.T Q5.J764.K96.AJ65 | P-1C-P-1S-P-2S
53    W  1N-E                    AQ4.J75.8765.A74 J87.Q63.KJT9.T82 T95.AT2.A432.QJ5 K632.K984.Q.K963 | 1C-P-1D-P-1H-P-1N
54    W  Pass-?                  T83.Q754.AQ4.K63 K4.A63.T653.QJT9 A975.T2.972.A875 QJ62.KJ98.KJ8.42 | P
55    W  2H-W                    Q865.AJ3.982.QT8 AK7.KT98.J743.95 T92.52.AQ65.AJ43 J43.Q764.KT.K762 | P-P-1D-P-1H-P-2H
56    W  Pass-?                  J65.AQ5.K432.T86 KQT4.JT6.JT75.A9 982.K87.A86.KJ73 A73.9432.Q9.Q542 | P
57    W  Pass-?                  65.8743.QJ8.AKJ3 J87.KJ.A653.T964 K932.AQT6.942.87 AQT4.952.KT7.Q52 | P
58    W  Pass-?                  J4.A876.K43.KT94 A952.JT52.Q52.Q7 QT83.94.AT97.A62 K76.KQ3.J86.J853 | P
59    W  Pass-?                  J86.97.J965.AK32 KQ97.AQ65.74.T87 AT4.KT32.T32.Q96 532.J84.AKQ8.J54 | P
60    W  Pass-?                  K732.953.T3.AQ73 A54.K864.QJ76.94 T8.QJT.AK94.JT85 QJ96.A72.852.K62 | P
61    W  2H-S                    AKJ5.J954.3.Q832 72.T63.AJT7.AJ96 Q98.Q872.K865.KT T643.AK.Q942.754 | P-1C-P-1H-P-2H
62    W  1N-E                    KT87.K2.Q83.K975 92.JT6.KT72.A642 AQ64.Q743.J4.JT3 J53.A985.A965.Q8 | 1D-P-1N
63    W  Pass-?                  KT98.876.AJ4.T83 3.AJ42.KQ72.J762 AJ74.Q53.T98.K95 Q652.KT9.653.AQ4 | P
64    W  Pass-?                  A3.Q843.KJT.J764 KQ98.92.Q432.A53 JT42.AKJ5.76.T92 765.T76.A985.KQ8 | P
65    W  Pass-?                  AJ7.Q87.K765.J43 8532.J95.98.AKQ6 KT.K643.AT32.T95 Q964.AT2.QJ4.872 | P
66    W  Pass-?                  K876.A732.Q8.982 QT53.QJ6.AJ9.J63 42.T984.K762.AQ5 AJ9.K5.T543.KT74 | P
67    W  Pass-?                  KQ72.QT.QJ97.J85 J643.A652.4.KQ43 A95.K873.K632.72 T8.J94.AT85.AT96 | P
68    W  Pass-?                  AJ75.K5.QT76.972 QT98.QT94.AJ9.83 K63.7632.K5.KQT4 42.AJ8.8432.AJ65 | P
69    W  1N-E                    KJ9.QT3.JT72.A83 A5.9752.K94.QJ94 Q862.K86.83.KT52 T743.AJ4.AQ65.76 | 1D-P-1H-P-1S-P-1N
70    W  Pass-?                  942.AJ8.AJ76.J76 QT65.732.K543.K3 873.QT54.Q2.AQ52 AKJ.K96.T98.T984 | P
71    W  Pass-?                  K842.QT5.543.AQ6 96.A76.AT76.T872 AT7.K983.J92.K54 QJ53.J42.KQ8.J93 | P
72    W  Pass-?                  963.J7432.AT5.K4 JT82.A6.7642.AQ9 K75.Q985.KQ.J762 AQ4.KT.J983.T853 | P
73    W  Pass-?                  QJ62.J9.AKT9.T86 A543.K742.J4.753 T98.AQT3.865.KQ9 K7.865.Q732.AJ42 | P
74    W  3H-S                    QT76.AQ84.KT53.7 A95.J2.Q862.K932 K84.K973.94.AJT6 J32.T65.AJ7.Q854 | P-1D-P-1H-P-2H-P-3H
75    W  Pass-?                  K3.9532.A743.J53 T854.A6.QT8.A876 Q96.KQT4.J652.K2 AJ72.J87.K9.QT94 | P
76    W  Pass-?                  KJT2.942.A6.Q832 Q86.KJT3.532.AJ7 943.Q87.K9874.K4 A75.A65.QJT.T965 | P
77    W  Pass-?                  T54.AJ42.AT82.98 J983.T73.KQ9.KQ6 AK72.Q5.543.T543 Q6.K986.J76.AJ72 | P
78    W  Pass-?                  KJ863.QT.T73.J42 A2.J982.A95.Q765 T74.K75.J842.AKT Q95.A643.KQ6.983 | P
79    W  Pass-?                  Q98.J875.AQJ6.T8 J2.K64.K853.A974 KT6.AQ9.T42.Q632 A7543.T32.97.KJ5 | P
80    W  Pass-?                  QT7.AK72.984.Q93 K65.T84.AJ5.K875 J843.Q5.Q732.AT4 A92.J963.KT6.J62 | P
81    W  3H-S                    8.A986.8754.AQJ9 KJ962.752.K63.T5 743.QT43.AQ9.K73 AQT5.KJ.JT2.8642 | P-1D-P-1H-P-2H-P-P-X-P-2S-3H
82    W  Pass-?                  AJ92.963.86.K543 T5.JT5.AT72.AQ72 KQ7.KQ82.J954.98 8643.A74.KQ3.JT6 | P
83    W  Pass-?                  QJ2.987.AQ2.QT84 A6.K542.9754.K53 KT74.QJ63.T8.A97 9853.AT.KJ63.J62 | P
84    W  Pass-?                  A54.A92.J965.J96 T63.K65.KQ87.Q43 KJ97.J83.A3.T875 Q82.QT74.T42.AK2 | P
85    W  Pass-?                  K84.T73.K85.K875 J972.K65.943.AQ9 Q5.QJ82.AQ2.T432 AT63.A94.JT76.J6 | P
86    W  Pass-?                  KQ5.KT62.K62.943 962.A54.AQ53.J76 J87.873.9874.AKT AT43.QJ9.JT.Q852 | P
87    W  Pass-?                  Q42.KT9.Q97.A632 JT98.QJ65.AT5.75 K3.A83.K843.T984 A765.742.J62.KQJ | P
88    W  Pass-?                  K953.K84.K532.84 82.AQ53.A94.J532 J764.76.QJT6.AQT AQT.JT92.87.K976 | P
89    W  Pass-?                  T852.KT94.AK2.84 J964.AQ.754.AT72 AQ3.J865.QJ3.965 K7.732.T986.KQJ3 | P
90    W  1SXX-W                  Q643.AT4.AT5.J73 AKT.J872.93.K952 98.K65.K762.QT86 J752.Q93.QJ84.A4 | P-P-1C-P-1S-P-P-X-XX
91    W  Pass-?                  J.A764.KQJ5.T742 AK62.K53.9742.96 98543.Q9.A3.Q853 QT7.JT82.T86.AKJ | P
92    W  Pass-?                  J83.KJT7.K5.QJ86 AKT2.86.T82.K742 Q65.9542.Q964.A3 974.AQ3.AJ73.T95 | P
93    W  Pass-?                  Q97.842.A864.AJ9 K854.K73.KQT3.86 AT.JT95.J52.QT75 J632.AQ6.97.K432 | P
94    W  Pass-?                  AK2.J987.Q85.J93 Q75.AT42.T97.KT5 T983.Q63.J64.AQ2 J64.K5.AK32.8764 | P
95    W  Pass-?                  A62.KQJ4.JT6.982 9853.AT97.92.AQ7 KQT.863.KQ83.653 J74.52.A754.KJT4 | P
96    W  Pass-?                  KQ92.J6.A987.J63 AT8.K97.T32.K972 64.AT8543.Q5.QT4 J753.Q2.KJ64.A85 | P
97    W  Pass-?                  KQ42.A73.J92.T96 J83.Q62.A53.QJ32 A65.JT98.T64.A87 T97.K54.KQ87.K54 | P
98    W  Pass-?                  AT82.A6.JT73.985 965.KJ95.42.KQJ2 KJ43.Q843.A65.74 Q7.T72.KQ98.AT63 | P
99    W  Pass-?                  AQ5.QJ97.76.Q976 KT76.KT4.A532.T5 J83.A83.JT84.A84 942.652.KQ9.KJ32 | P
100   W  2S-W                    QT84.A64.Q52.QJ3 A532.K85.KJT7.72 7.QJT9.A986.A984 KJ96.732.43.KT65 | P-P-1D-P-1S-P-2S
101   W  Pass-?                  A6.432.Q432.KJ53 KT52.KT6.T95.AT2 Q73.J875.A7.Q984 J984.AQ9.KJ86.76 | P
102   W  Pass-?                  7643.AT.K64.KJ32 JT5.K43.J93.AQ65 K9.J952.AT5.T874 AQ82.Q876.Q872.9 | P
103   W  Pass-?                  J943.J73.KJT.A83 AT8.QT8.A83.J765 K52.A652.Q652.QT Q76.K94.974.K942 | P
104   W  3N-N                    Q64.K8.KJ43.QT95 972.AJ74.Q7.A864 AKJT.QT96.T862.7 853.532.A95.KJ32 | P-P-1C-X-P-1D-P-2D-P-3N
105   W  Pass-?                  A963.T6.983.AQT2 T74.QJ74.AKJ4.96 KQ8.K53.Q62.J843 J52.A982.T75.K75 | P
106   W  Pass-?                  KT.J75.KQ73.QT52 Q87.AKT.JT6.J863 95432.643.A842.A AJ6.Q982.95.K974 | P
107   W  2N-S                    KJT4.A32.8432.K3 Q95.QJT8.976.AJ6 A8.K954.KJ5.9842 7632.76.AQT.QT75 | P-1D-P-1H-P-1S-P-2N
108   W  Pass-?                  AQJT.64.982.J862 9652.AJ83.AJ3.T3 873.Q75.KT5.AQ94 K4.KT92.Q764.K75 | P
109   W  Pass-?                  Q3.873.AK96.JT54 KJT9.J64.843.A87 652.AK92.QJT.632 A874.QT5.752.KQ9 | P
110   W  Pass-?                  AJ42.Q63.KT7.JT5 QT86.KT75.AQ.964 K3.A92.J943.K732 975.J84.8652.AQ8 | P
111   W  Pass-?                  J853.62.AKT9.T32 Q742.AK4.87.J985 AK6.QJ97.J543.64 T9.T853.Q62.AKQ7 | P
112   W  Pass-?                  Q52.AJ82.963.KJ5 KT98.963.J852.A8 AJ4.QT54.K4.T763 763.K7.AQT7.Q942 | P
113   W  Pass-?                  A76.JT75.AJ52.74 J984.K82.K8.KT53 K2.Q96.Q763.QJ98 QT53.A43.T94.A62 | P
114   W  Pass-?                  962.Q42.KJ7.AT87 J43.KJT3.A85.J93 K75.A876.643.Q65 AQT8.95.QT92.K42 | P
115   W  4H-W                    6542.AQ2.A743.64 Q93.853.QJT.AQ83 J7.76.K98652.KJ7 AKT8.KJT94..T952 | 1H-P-1N=1=-P-2C-P-3H-P-4H | Forcing 1NT
116   W  Pass-?                  T53.A95.AT5.QT76 KQ97.QJT6.96.K32 AJ4.872.J743.AJ4 862.K43.KQ82.985 | P
117   W  Pass-?                  J643.KQ6.8765.QT 52.9842.AJ9.AJ82 KQT.AT53.Q4.7543 A987.J7.KT32.K96 | P
118   W  Pass-?                  QJT8.Q3.K92.Q543 A65.AJ4.J873.982 K97.KT86.Q654.K7 432.9752.AT.AJT6 | P
119   W  Pass-?                  Q62.853.AJ4.A532 KT54.KJT2.8765.6 J98.A4.K932.QJ98 A73.Q976.QT.KT74 | P
120   W  Pass-?                  A843.T32.J5.K973 J762.KQJ.T983.A8 QT95.A65.A64.T65 K.9874.KQ72.QJ42 | P
121   W  Pass-?                  J973.A5.654.KQJ5 K62.J42.AQJ.T974 A54.QT97.K732.83 QT8.K863.T98.A62 | P
122   W  Pass-?                  A2.Q76.QJ85.QT72 Q963.KT32.AT.J95 J74.A984.K632.63 KT85.J5.974.AK84 | P
123   W  Pass-?                  AQT4.Q654.T2.Q64 753.A983.J73.AJ2 K96.KJ2.9864.K75 J82.T7.AKQ5.T983 | P
124   W  Pass-?                  JT6.KJ52.Q97.AT7 Q42.QT4.KJ64.QJ3 K953.A863.T32.K5 A87.97.A85.98642 | P
125   W  Pass-?                  AK53.K653.953.62 984.82.A864.AQ95 QJ2.974.KQT2.JT4 T76.AQJT.J7.K873 | P
126   W  Pass-?                  K97.K95.J965.A86 6543.A2.K843.QJT QJT.QT86.QT.K953 A82.J743.A72.742 | P
127   W  Pass-?                  AT95.92.J83.K952 8643.A87.Q64.A73 KQ2.QJT4.K75.T64 J7.K653.AT92.QJ8 | P
128   W  Pass-?                  A9.T854.K42.QJ54 JT.AQ32.876.AT86 Q7632.K6.T53.K72 K854.J97.AQJ9.93 | P
129   W  Pass-?                  862.KQ73.Q974.A5 KQJT.JT95.A62.T3 754.42.KJ3.KJ874 A93.A86.T85.Q962 | P
130   W  2C-N                    QJ87.K43.85.KT84 964.AT98.J764.AQ KT.J76.A932.J932 A532.Q52.KQT.765 | P-P-1D-P-1S-P-P-X-XX-2C
131   W  Pass-?                  54.AT876.K3.J742 T876.Q2.AQ82.K93 Q92.KJ.JT96.A865 AKJ3.9543.754.QT | P
132   W  Pass-?                  KQ8.JT6.AT9.9864 765.KQ7.753.AQT3 JT42.A542.KJ42.2 A93.983.Q86.KJ75 | P
133   W  3H-W                    QJ2.T963.KQ8.K82 AK.J82.T542.QJ93 9843.7.A7.AT7654 T765.AKQ54.J963. | 1H-P-1N=1=-P-2D-P-3H | Forcing 1NT
134   W  Pass-?                  52.AJ43.K643.KT3 AK43.KT7.T2.8752 T86.Q92.J85.AQ96 QJ97.865.AQ97.J4 | P
135   W  2H-E                    KQ87.742.J9.A853 J42.QT53.KQ2.KT2 63.K9.A87643.J74 AT95.AJ86.T5.Q96 | 1C-P-1H-P-2H
136   W  Pass-?                  KQ85.JT2.T96.K43 T3.7643.AQJ5.A96 642.AQ98.K82.852 AJ97.K5.743.QJT7 | P
137   W  Pass-?                  J.AJ65.T875.AT64 Q7632.K98.62.K52 T85.T432.AKQ.Q97 AK94.Q7.J943.J83 | P
138   W  Pass-?                  A95.J942.AJ5.843 QJ4.Q3.K872.KT92 KT76.T87.94.AQ75 832.AK65.QT63.J6 | P
139   W  3CX-S                   54.JT3.QJT3.AQ95 AQ76.A842.86.J87 T93.Q76.A95.KT32 KJ82.K95.K742.64 | P-P-1C-P-1S-P-2S-P-P-X-P-3C-X
140   W  Pass-?                  952.Q92.AQJT.Q54 QJ6.AJT8.864.862 T873.K65.K92.A97 AK4.743.753.KJT3 | P
141   W  Pass-?                  74.Q954.KQ64.A64 QJ8.73.A972.K985 9653.AKJ8.J5.T73 AKT2.T62.T83.QJ2 | P
142   W  Pass-?                  8643.AKQ2.J63.T5 QJ9.T984.Q9.A986 752.73.AKT2.K432 AKT.J65.8754.QJ7 | P
143   W  Pass-?                  JT54.KT92.K8.KJ2 92.AQ6.T652.Q974 Q763.854.A93.AT3 AK8.J73.QJ74.865 | P
144   W  Pass-?                  T973.Q75.AK4.J73 AJ52.KJ4.Q2.8642 K.AT32.T973.QT95 Q864.986.J865.AK | P
145   W  Pass-?                  QT95.AT5.A82.865 K42.J742.KQ76.T7 A87.Q986.53.KJ93 J63.K3.JT94.AQ42 | P
146   W  Pass-?                  KT4.AJ52.43.T962 A52.Q983.AT52.75 J83.K76.876.AK43 Q976.T4.KQJ9.QJ8 | P
147   W  Pass-?                  QT43.985.AQ.KT53 AKJ7.T42.J876.86 952.QJ3.T43.AQJ4 86.AK76.K952.972 | P
148   W  2H-E                    A742.A62.62.T953 Q86.K973.KT5.QJ2 K53.Q5.Q873.K764 JT9.JT84.AJ94.A8 | 1D-P-1H-P-2H
149   W  Pass-?                  432.Q865.A2.A974 K75.J3.K764.KT82 A98.K72.J953.J53 QJT6.AT94.QT8.Q6 | P
150   W  Pass-?                  K76.KQ72.T63.K42 Q32.J3.Q982.AT93 9854.AT6.A74.Q85 AJT.9854.KJ5.J76 | P
151   W  Pass-?                  T83.J32.A63.AQ83 965.A8.KJ952.742 QJ2.KQ65.QT74.J6 AK74.T974.8.KT95 | P
152   W  Pass-?                  T854.A3.AT93.T43 K97.QJ84.J6.K865 AJ6.T65.K754.QJ9 Q32.K972.Q82.A72 | P
153   W  Pass-?                  A65.T652.AJ.J762 KT97.QJ94.KQ5.95 42.AK73.T742.KT8 QJ83.8.9863.AQ43 | P
154   W  1N-E                    J95.9873.KQ83.A8 K72.QT4.T65.KQT4 863.AK2.J742.J96 AQT4.J65.A9.7532 | 1C-P-1N
155   W  Pass-?                  QT62.A8.A95.T942 A84.T954.KQ72.J6 953.QJ76.84.AK87 KJ7.K32.JT63.Q53 | P
156   W  Pass-?                  QJ85.KQ87.2.QT84 A74.J4.KQ75.7652 K9.T92.T964.AKJ9 T632.A653.AJ83.3 | P
157   W  3H-E                    K987.97.QT5.KT82 643.JT82.K9.AQJ7 AQ2.K43.J764.954 JT5.AQ65.A832.63 | 1D-P-1H-P-2H-P-3H
158   W  Pass-?                  J752.K8.A64.T982 AK.T643.T83.KJ73 Q83.975.KQ92.A64 T964.AQJ2.J75.Q5 | P
159   W  1N-N                    532.QJT.A643.QJ7 KJ7.A98.872.T954 T94.K542.KJT9.A8 AQ86.763.Q5.K632 | P-P-P-1D-P-1N
160   W  Pass-?                  T94.AT72.KJT.Q75 Q65.KJ98.842.A96 K73.Q63.AQ75.T83 AJ82.54.963.KJ42 | P
161   W  2H-W                    QJ86.42.A742.K62 43.AQT8.QJ93.Q54 K72.J973.K6.A873 AT95.K65.T85.JT9 | P-P-P-1C-P-1S-X-XX-2H
162   W  Pass-?                  JT92.KQ73.KT.J53 KQ3.J954.Q43.K92 754.T8.A976.AQT8 A86.A62.J852.764 | P
163   W  Pass-?                  863.A95.KJ9.K854 J54.7432.AQ72.QJ A72.KJ8.543.9632 KQT9.QT6.T86.AT7 | P
164   W  Pass-?                  A62.KJ6.T964.JT4 J98.T432.KQJ.K76 K54.AQ5.8532.Q92 QT73.987.A7.A853 | P
165   W  2N-W                    9762.KJ8.AT.KT86 J4.Q93.KJ97.A542 KQT5.T764.542.QJ A83.A52.Q863.973 | P-1C-P-1H-P-1S-P-2S-P-P-X-P-2N
166   W  Pass-?                  9764.QT4.J5.KQJ9 AQ83.A65.9874.62 JT.K732.K62.A843 K52.J98.AQT3.T75 | P
167   W  Pass-?                  QJ87.J63.974.A84 AK3.T95.K85.JT96 T94.KQ82.QT63.K5 652.A74.AJ2.Q732 | P
168   W  Pass-?                  KJT.Q943.K6.QT63 Q43.A862.AT2.J84 8762.KJ7.9843.K2 A95.T5.QJ75.A975 | P
169   W  Pass-?                  965.AJ98.T4.Q753 AT4.T72.K976.KJT K32.Q43.Q53.A984 QJ87.K65.AJ82.62 | P
170   W  1N-E                    K98.K5.J6542.862 T73.A74.AT9.QJT4 Q54.QJ63.Q87.A53 AJ62.T982.K3.K97 | 1C-P-1N
171   W  Pass-?                  752.A72.K43.QJT6 843.KJ4.AQJT.753 KQ9.T83.9872.A82 AJT6.Q965.65.K94 | P
172   W  Pass-?                  92.AQ53.KT76.Q98 Q74.KT7.A532.T32 AT83.98.J94.A654 KJ65.J642.Q8.KJ7 | P
173   W  1S-W                    KQ43.QJ95.72.K96 T.A762.Q653.AJ84 AJ72.843.KT98.32 9865.KT.AJ4.QT75 | P-P-1D-P-1S
174   W  3S-E                    974.A954.A94.J93 AQJ6.T.T873.A742 K8.J632.QJ52.K65 T532.KQ87.K6.QT8 | P-P-1D-P-1H-P-1S-P-3S
175   W  1N-S                    Q953.A984.A4.J97 AKT.T62.KT73.T65 86.QJ5.8652.KQ83 J742.K73.QJ9.A42 | P-1C-P-1D-P-1H-P-1N
176   W  Pass-?                  985.AKQ.9652.Q63 KT73.54.AQJT.JT7 A6.JT976.K3.8542 QJ42.832.874.AK9 | P
177   W  Pass-?                  J2.KJ4.AQT4.T732 AK7.9653.965.K84 T853.A87.K7.QJ96 Q964.QT2.J832.A5 | P
178   W  Pass-?                  K62.K74.KQ4.9753 A84.52.AJ97.J642 Q53.QT83.652.AQ8 JT97.AJ96.T83.KT | P
179   W  Pass-?                  AT84.Q85.T2.A964 62.KJ732.K763.J5 953.A96.AQJ4.872 KQJ7.T4.985.KQT3 | P
180   W  Pass-?                  JT95.QT9.AT86.K9 K84.K75.743.AJ64 763.A42.KJ9.T872 AQ2.J863.Q52.Q53 | P
181   W  Pass-?                  Q95.T86.Q65.AK92 T642.AJ32.J2.Q86 73.KQ94.AT93.JT3 AKJ8.75.K874.754 | P
182   W  3H-S                    AJ87.Q862.T.A854 K96.A53.K42.T762 T32.KJ94.A753.K9 Q54.T7.QJ986.QJ3 | P-1C-P-1H-P-2H-P-3H
183   W  Pass-?                  AJT5.987.QT6.K62 Q74.K64.J54.AJT8 K3.AT52.873.Q954 9862.QJ3.AK92.73 | P
184   W  1N-W                    JT42.KJ9.Q93.K85 8763.AQ76.AT7.J3 AQ9.854.J862.A62 K5.T32.K54.QT974 | P-P-1D-P-1N
185   W  Pass-?                  A43.Q842.943.A73 T86.A93.KQJ5.854 J97.KJ6.AT87.T62 KQ52.T75.62.KQJ9 | P
186   W  1N-S                    JT4.Q954.A8.A984 K862.KJ7.Q732.J2 73.A83.KJ96.QT63 AQ95.T62.T54.K75 | P-1C-P-1D-P-1H-P-1N
187   W  Pass-?                  74.K42.AKT7.8732 985.J86.Q86.AKJ6 AK63.QT73.J9.954 QJT2.A95.5432.QT | P
