../bba/Scrambling_2NT.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
42    W  5C-N                    53.83.7.AQT95432 KQT4.T97.T8532.J 76.A642.AQJ6.K86 AJ982.KQJ5.K94.7 | 1S-4C-P-5C
43    W  2H-W                    T85.AJ86.T8.9764 AJ62.954.753.K83 K974.Q.AJ64.AJ52 Q3.KT732.KQ92.QT | 1H-P-2H
44    W  3H-W                    T64.JT9.875.9543 Q93.Q532.63.QJ82 AK87.7.AJ94.AKT6 J52.AK864.KQT2.7 | 1H-P-2H-X-P-3C-3H
45    W  2H-W                    A762.J5.T82.Q753 Q543.9432.A43.82 KJT8.Q.QJ97.AJT6 9.AKT876.K65.K94 | 1H-P-2H
46    W  2H-W                    J2.J6.J92.AJT652 8764.AT97.QT3.98 KQ53.Q8.A654.K43 AT9.K5432.K87.Q7 | 1H-P-2H
47    W  2S-W                    T6.J7.KQ863.J762 AQJ9.T9.T5.T8543 53.6542.AJ94.AKQ K8742.AKQ83.72.9 | 1S-P-2S
48    W  2S-W                    K95.K842.742.T83 742.AJ97.Q9.J752 Q3.QT65.JT8.AKQ6 AJT86.3.AK653.94 | 1S-P-2S
49    W  2S-W                    7.QT8763.JT2.Q43 KT54.4.98763.K85 Q6.AKJ5.AQ5.T976 AJ9832.92.K4.AJ2 | 1S-P-2S
50    W  2H-W                    Q872.72.Q765.Q86 AJ5.J865.J32.532 KT64.A4.A984.A94 93.KQT93.KT.KJT7 | 1H-P-2H
51    W  2S-W                    432.KJ864.5.Q863 JT76.QT2.J42.KT9 K.A973.KT87.AJ75 AQ985.5.AQ963.42 | 1S-P-2S
52    W  2S-W                    JT93.JT862.75.JT K54.K3.86432.K64 8.A974.AQT9.A972 AQ762.Q5.KJ.Q853 | 1S-P-2S
53    W  3DX-S                   QT532.8653.T8.94 J87.K92.KQ94.T73 .AJT4.A7632.KQJ6 AK964.Q7.J5.A852 | 1S-P-2S-3D-X
54    W  3H-W                    8543.K876.T3.T43 Q97.AJ4.Q642.987 KJT2.2.A875.AK65 A6.QT953.KJ9.QJ2 | 1H-P-2H-X-P-2S-3H
55    W  3S-W                    QJ5.Q987.8532.32 9432.AJT2.9.JT98 A.K654.JT76.AKQ4 KT876.3.AKQ4.765 | 1S-P-2S-X-P-3H-3S
56    W  2S-W                    94.QT6.QT9843.T7 7652.K4.52.A5432 83.AJ92.AJ7.KQ98 AKQJT.8753.K6.J6 | 1S-P-2S
57    W  2H-W                    98643.2.QJ72.A96 T.AT86.T953.K853 AKJ5.K9.864.QJT7 Q72.QJ7543.AK.42 | 1H-P-2H
58    W  3S-W                    987.AJ2.76.Q8654 JT42.K65.K985.T2 .QT73.AT432.AKJ3 AKQ653.984.QJ.97 | 1S-P-2S-3D-3S
59    W  2S-W                    J74.975.A83.T432 AQ9.JT32.QT97.85 5.AKQ8.J654.QJ76 KT8632.64.K2.AK9 | 1S-P-2S
60    W  4H-W                    J95.J2.T8732.J74 8432.AT9.J6.K986 AKT7.65.A54.AT32 Q6.KQ8743.KQ9.Q5 | 1H-P-2H-P-4H
61    W  2H-W                    J532.Q53.9543.J5 T94.J864.AT2.Q63 AQ86.K.QJ87.KT42 K7.AT972.K6.A987 | 1H-P-2H
62    W  4S-W                    T2.J82.T76.QJ873 J954.7654.Q92.A4 Q.AQT9.KJ53.KT96 AK8763.K3.A84.52 | 1S-P-2S-P-3S-P-4S
63    W  2S-W                    85.QT42.A82.5432 KT63.9.7643.KJ87 A7.AKJ6.KT95.T96 QJ942.8753.QJ.AQ | 1S-P-2S
64    W  2S-W                    95.92.KQJ.T86542 KQT2.Q8653.T43.7 3.KJT7.A972.KQJ9 AJ8764.A4.865.A3 | 1S-P-2S
65    W  3S-W                    Q54.32.T54.T8765 J83.J97.K763.QJ3 T7.AKT6.A98.AK94 AK962.Q854.QJ2.2 | 1S-P-2S-X-P-3C-P-P-3S
66    W  4S-W                    2.T63.AT8752.Q82 A85.K9842.3.J964 Q4.AQ75.Q964.AT3 KJT9763.J.KJ.K75 | 1S-P-2S-P-4S
67    W  2S-W                    965.T9852.6.J743 Q74.Q7.KQ98542.2 K3.AKJ4.AT3.QT86 AJT82.63.J7.AK95 | 1S-P-2S
68    W  3S-W                    5.J832.T8543.KT6 QJ92.QT6.Q76.753 KT.A754.KJ9.A984 A87643.K9.A2.QJ2 | 1S-P-2S-P-3S
69    W  2S-W                    T63.K5.QJT65.843 854.A643.A9432.T K7.JT82.K87.AK62 AQJ92.Q97..QJ975 | 1S-P-2S
70    W  2S-W                    43.QJT874.QT9.96 9865.K5.J4.K8732 Q7.A962.AK86.JT5 AKJT2.3.7532.AQ4 | 1S-P-2S
71    W  2H-W                    J43.7642.865.KT8 Q872.KJ8.Q32.742 AT96.Q.AK94.QJ96 K5.AT953.JT7.A53 | 1H-P-2H
72    W  2S-W                    952.J5.J8762.T62 K43.Q8.953.A9874 A6.7632.AQ4.KQJ5 QJT87.AKT94.KT.3 | 1S-P-2S
73    W  2S-W                    8.T74.QJ8752.K64 KJ64.K53.T3.8752 Q7.A982.AK64.Q93 AT9532.QJ6.9.AJT | 1S-P-2S
74    W  4S-W                    T.AQJ865.J84.T85 J763.T74.73.AJ76 K9.K932.AQ65.Q42 AQ8542..KT92.K93 | 1S-P-2S-P-4S
75    W  3H-W                    J32.T653.Q843.Q2 T98.KQ2.T72.K653 KQ74..AKJ65.JT94 A65.AJ9874.9.A87 | 1H-P-2H-3D-3H
76    W  2H-W                    AK963.62.54.T963 75.AQJ3.9632.872 QT84.T4.AQT7.AQ4 J2.K9875.KJ8.KJ5 | 1H-P-2H
77    W  4H-W                    J654.7.Q764.J753 QT3.T854.AJ8.964 AK92.32.KT53.KQ8 87.AKQJ96.92.AT2 | 1H-P-2H-P-4H
78    W  3H-W                    QT5.QT92.T976.Q6 982.A54.A43.T982 AJ76..QJ85.AJ543 K43.KJ8763.K2.K7 | 1H-P-2H-3C-3H
79    W  2S-W                    T72.T65.984.K953 J94.73.K65.AT872 Q8.AKJ2.AJ32.Q64 AK653.Q984.QT7.J | 1S-P-2S
80    W  2H-W                    T95.86.KJT972.T8 A82.J952.Q5.7654 KJ74.43.A83.AK92 Q63.AKQT7.64.QJ3 | 1H-P-2H
81    W  3S-W                    65.T9862.532.A65 9873.3.QJ76.K942 A.AQJ4.KT94.QT73 KQJT42.K75.A8.J8 | 1S-P-2S-X-P-3H-3S
82    W  2S-W                    96.Q864.Q532.J62 KQ84.J952.974.43 52.AKT3.AJ6.KQT9 AJT73.7.KT8.A875 | 1S-P-2S
83    W  2H-W                    KQ854.43.JT8.T52 2.KT65.64.QJ9863 AT76.72.AK95.A74 J93.AQJ98.Q732.K | 1H-P-2H
84    W  2H-W                    5.843.A974.QT987 JT842.JT2.Q62.A6 Q976.AK.KJ5.J532 AK3.Q9765.T83.K4 | 1H-P-2H
85    W  4HX-W                   7653.J542.52.Q52 A92.QT86.J983.98 QJT4..AKQ76.AJ64 K8.AK973.T4.KT73 | 1H-P-2H-X-P-2S-3H-3S-4H-X
86    W  2H-W                    974.62.42.AQJ652 Q82.JT43.KT75.97 AKJ5.A8.QJ93.T84 T63.KQ975.A86.K3 | 1H-P-2H
87    W  2H-W                    T76.2.T7643.KT86 J54.754.J2.AQ532 AK93.93.AKQ9.J94 Q82.AKQJT86.85.7 | 1H-P-2H
88    W  2S-W                    K763.4.854.Q7652 J82.AJT976.KT62. 9.KQ85.AJ93.KJT4 AQT54.32.Q7.A983 | 1S-P-2S
89    W  4H-W                    72.J2.T76532.752 KQJT94.653.J8.J3 A865.QT.AQ9.KQ98 3.AK9874.K4.AT64 | 1H-P-2H-P-4H
90    W  2H-W                    843.42.AQ8.J9632 J65.JT75.732.A87 AQT7.A6.K954.QT5 K92.KQ983.JT6.K4 | 1H-P-2H
91    W  4H-W                    .K7.Q987543.9743 AQJ6532.J52.2.65 T984.4.AKJ6.AQ82 K7.AQT9863.T.KJT | 1H-P-2H-P-4H
92    W  2H-W                    T984.53.KT86.K42 KJ6.8742.3.Q8763 Q752.A6.AQJ4.JT9 A3.KQJT9.9752.A5 | 1H-P-2H
93    W  2H-W                    Q973.A72.9.Q9754 A86.QT64.875.T83 KJ42.J.A432.AJ62 T5.K9853.KQJT6.K | 1H-P-2H
94    W  2S-W                    542.954.AJ4.8754 J93.Q2.KT952.QJ6 KQ.KJ87.Q876.KT2 AT876.AT63.3.A93 | 1S-P-2S
95    W  2H-W                    JT52.T5.AT96.986 Q73.7632.542.A54 K864.K.KQJ8.KQ72 A9.AQJ984.73.JT3 | 1H-P-2H
96    W  2H-W                    AK93.642.T652.T2 42.JT53.A93.J943 Q875.7.QJ84.AKQ5 JT6.AKQ98.K7.876 | 1H-P-2H
97    W  2S-W                    983.86543.7.QT86 JT5.T.JT9865.AK9 K7.KQ72.AKQ4.532 AQ642.AJ9.32.J74 | 1S-P-2S
98    W  2S-W                    J98.A7632.T43.62 Q642.85.95.KQT84 A.KQ94.AJ86.J753 KT753.JT.KQ72.A9 | 1S-P-2S
99    W  4S-W                    75.JT832.743.974 KT6.Q54.KJ962.52 J.A976.AQT5.AQJ3 AQ98432.K.8.KT86 | 1S-P-2S-X-4S
100   W  3S-W                    J5.84.QJ92.T8743 Q32.T765.KT8.QJ6 97.AQ92.A764.A52 AKT864.KJ3.53.K9 | 1S-P-2S-P-3S
101   W  2H-W                    982.92.AT.QT8732 JT.KT84.Q632.J94 AQ64.53.J974.AK6 K753.AQJ76.K85.5 | 1H-P-2H
102   W  2HX-W                   KJT4.J642.54.654 862.QT97.T873.A3 AQ73..AK96.QJ972 95.AK853.QJ2.KT8 | 1H-P-2H-X
103   W  2H-W                    J965.53.K865.752 QT2.A84.T972.KT9 A743.K2.AQ3.Q863 K8.QJT976.J4.AJ4 | 1H-P-2H
104   W  4S-W                    J.T95.KJ3.987643 K874.73.A98652.5 Q2.QJ86.QT7.AKQ2 AT9653.AK42.4.JT | 1S-P-4S
105   W  2S-W                    T986.Q43.AT854.9 Q43.975.KJ2.QT87 5.AT82.Q763.AK53 AKJ72.KJ6.9.J642 | 1S-P-2S
106   W  2S-W                    K.953.AT73.T9872 Q963.876.K64.Q63 J5.AQ42.QJ92.KJ4 AT8742.KJT.85.A5 | 1S-P-2S
107   W  2H-W                    932.872.954.A642 A87.JT6.QT63.J73 KQ54.A3.AK72.985 JT6.KQ954.J8.KQT | 1H-P-2H
108   W  2S-W                    9765.983.AK62.65 JT2.KJ754.87.KT4 4.AQ62.9543.AQJ2 AKQ83.T.QJT.9873 | 1S-P-2S
109   W  3C-N                    AT2.74.7542.T763 Q764.T983.QJ3.J4 5.AKQJ.A986.A982 KJ983.652.KT.KQ5 | 1S-P-2S-X-P-3C
110   W  4S-W                    J8.J9543.5.A8542 K532.2.Q9863.JT9 Q.AQT6.KJ74.Q763 AT9764.K87.AT2.K | 1S-P-2S-P-3S-P-4S
111   W  2H-W                    Q743.T96.632.Q52 JT2.Q73.AJ75.T76 A965.KJ.K94.AJ43 K8.A8542.QT8.K98 | 1H-P-2H
112   W  4S-N                    QJ9765.754.QT.72 K8.K62.J9873.J63 AT32.AJ.K64.Q954 4.QT983.A52.AKT8 | 1H-2S-P-4S
113   W  2S-W                    T76.752.KJ83.KT8 9532.AT94.T95.Q2 8.KQ83.A742.A954 AKQJ4.J6.Q6.J763 | 1S-P-2S
114   W  2H-W                    J952.873.T.QT762 QT.J42.Q6542.K98 AK63.KQ.AJ93.543 874.AT965.K87.AJ | 1H-P-2H
115   W  2H-W                    KT6.J982.K.T9763 J43.Q43.QJ86.Q82 AQ95.K.9752.KJ54 872.AT765.AT43.A | 1H-P-2H
116   W  2S-W                    43.K765.Q8.87532 J972.A2.954.QT64 AT.QJT4.JT72.AK9 KQ865.983.AK63.J | 1S-P-2S
117   W  5S-N                    KQ98542..J732.76 T6.A764.QT85.954 AJ73.98.A94.AK83 .KQJT532.K6.QJT2 | 1H-3S-P-4H=1=-X-4S-5H-5S | Limit raise or better in !S
118   W  3CX-S                   J75.87542.Q5.QJ4 K84.QJT.KT764.T7 Q962..A932.AK932 AT3.AK963.J8.865 | 1H-P-2H-3C-P-P-X
119   W  3H-W                    J9.K987.T95.Q985 T8752.654.K3.AJT KQ64..AQ87.K7432 A3.AQJT32.J642.6 | 1H-P-2H-3C-3H
120   W  2H-W                    Q854.Q8.J8763.Q7 J7.J974.K5.JT942 A932.K2.A942.A83 KT6.AT653.QT.K65 | 1H-P-2H
121   W  5DX-N                   AT2.9.987632.J54 7653.QT64.AT.T93 J984.A2.KQJ5.AQ7 KQ.KJ8753.4.K862 | 1H-P-2H-X-P-3D-3H-P-4H-5D-X
122   W  2H-W                    T862.QT8.QT.JT82 93.K52.AJ732.754 AJ74.AJ.K985.Q63 KQ5.97643.64.AK9 | 1H-P-2H
123   W  2S-W                    Q3.KJ98.972.QT64 T642.75.AJ83.J82 A7.AT42.KT64.K75 KJ985.Q63.Q5.A93 | 1S-P-2S
124   W  3S-N                    8754.KT3.9752.Q4 JT9.J765.KJ.9852 AK62.8.Q643.AKJ6 Q3.AQ942.AT8.T73 | 1H-P-2H-X-P-2S-3H-3S
125   W  2H-W                    87543.J52.Q5.765 K6.874.A43.Q9432 QJ92.QT.KJ92.AKT AT.AK963.T876.J8 | 1H-P-2H
126   W  4S-W                    Q8.QT87654.T92.J 7653..K873.KT742 9.KJ93.AQJ4.AQ93 AKJT42.A2.65.865 | 1S-P-4S
127   W  4H-W                    JT76.T6.873.T982 Q92.743.AT962.Q6 AK43.J5.KQJ4.K74 85.AKQ982.5.AJ53 | 1H-P-2H-P-4H
128   W  2S-W                    T2.Q865.T9.QJT74 Q976.JT.J7543.K2 A8.9743.AQ2.A653 KJ543.AK2.K86.98 | 1S-P-2S
129   W  2H-W                    943.K6.K98543.T6 62.T832.Q2.A9753 AQT7.J9.JT7.KQJ4 KJ85.AQ754.A6.82 | 1H-P-2H
130   W  4H-W                    J96.43.JT9643.K4 Q54.K65.Q72.QT87 KT72.87.AK85.A93 A83.AQJT92..J652 | 1H-P-2H-P-4H
131   W  4S-W                    63.95.732.Q98632 854.KQ86.QT98.J5 AT.T732.AKJ5.AT4 KQJ972.AJ4.64.K7 | 1S-P-2S-P-4S
132   W  2S-W                    AK.643.T743.9864 T975.T8.Q96.KQ32 J8.AJ97.KJ82.AT7 Q6432.KQ52.A5.J5 | 1S-P-2S
133   W  4S-N                    JT9764.953.5.J65 Q.A84.QT9832.974 AK83.T6.AJ76.AQ3 52.KQJ72.K4.KT82 | 1H-P-2H-X-P-2S-3H-3S-4H-4S
134   W  3S-W                    J7.Q752.T986.JT3 K642.3.QJ42.9864 93.AK84.AK75.K52 AQT85.JT96.3.AQ7 | 1S-P-2S-X-P-3H-3S
135   W  4C-N                    962.52.973.T8743 8743.A97.84.Q962 Q.KQJ4.KQJ2.AKJ5 AKJT5.T863.AT65. | 1S-P-2S-X-P-3C-3S-4C
136   W  2S-W                    AJ3.9653.QT9.872 T962.AQT42.3.653 K.KJ87.A854.AT94 Q8754..KJ762.KQJ | 1S-P-2S
137   W  2S-W                    54.AQT.T96432.95 J873.J8.Q85.K873 A6.9432.KJ7.AQJT KQT92.K765.A.642 | 1S-P-2S
138   W  2H-W                    53.J32.KT983.987 AKT82.QT9.642.32 QJ64.7.AJ75.AKT4 97.AK8654.Q.QJ65 | 1H-P-2H
139   W  4S-W                    Q.QJT4.3.J987542 J52.983.KJ976.KT K8.K652.AT42.A63 AT97643.A7.Q85.Q | 1S-P-2S-P-4S
140   W  5HX-W                   A8653.T.AJ.76542 QT4.8432.632.KJT KJ97.6.KT74.AQ98 2.AKQJ975.Q985.3 | 1H-1S-2H-3H=1=-X-P-P-3S-4H-4S-5H-X | Limit raise or better in !S
141   W  2S-W                    84.KT92.Q6543.32 Q763.Q873.J7.J84 K9.AJ54.AKT8.765 AJT52.6.92.AKQT9 | 1S-P-2S
142   W  2S-W                    T74.8765.82.QJ74 QJ9.T94.AQT6.632 62.AKQJ.974.A985 AK853.32.KJ53.KT | 1S-P-2S
143   W  2S-W                    J74.3.J4.JT98764 AT8.KQT764.9852. 93.AJ85.AK76.K53 KQ652.92.QT3.AQ2 | 1S-P-2S
144   W  2S-W                    62.K96.KT42.T974 AT83.83.Q986.J82 Q9.QJ75.J753.AKQ KJ754.AT42.A.653 | 1S-P-2S
145   W  3H-W                    J963.53.K65.Q972 752.Q742.984.A64 AQ84.9.AQT3.KJT5 KT.AKJT86.J72.83 | 1H-P-2H-X-P-2S-3H
146   W  2S-W                    QT73.83.7642.K93 J82.KJ7.Q9853.J5 K.T542.AKJT.A742 A9654.AQ96..QT86 | 1S-P-2S
147   W  4H-W                    9654.J42.JT85.75 J73.Q973.73.K964 AQT8.T.AKQ9.QJ83 K2.AK865.642.AT2 | 1H-P-2H-X-XX-2S-3H-3S-P-P-4H
148   W  2S-W                    JT73.632.J2.QT94 Q94.95.AQT97.872 8.KQT4.K853.AK63 AK652.AJ87.64.J5 | 1S-P-2S
149   W  4H-W                    984.832.JT95.T74 AJ5.975.K4.J6532 KQT3.K.Q876.AQ98 762.AQJT64.A32.K | 1H-P-2H-P-3H-P-4H
150   W  2S-W                    K8.943.98643.T82 T974.AT762.J2.Q5 AJ.KQJ5.KQT.J973 Q6532.8.A75.AK64 | 1S-P-2S
151   W  2H-W                    J93.J973.T7.KJ62 K87.T42.K6543.Q5 A654.6.AJ98.AT73 QT2.AKQ85.Q2.984 | 1H-P-2H
152   W  2S-W                    K7.T9742.J864.J3 JT62.Q.T92.AT962 95.AK83.KQ75.Q84 AQ843.J65.A3.K75 | 1S-P-2S
153   W  2S-W                    J84.9862.752.J98 A92.QJT5.643.Q53 K7.AK73.QJ9.K764 QT653.4.AKT8.AT2 | 1S-P-2S
154   W  2H-W                    J962.3.T8752.Q54 QT43.K85.93.KJ62 A875.92.AKJ.AT87 K.AQJT764.Q64.93 | 1H-P-2H
155   W  2H-W                    7652.32.752.QJ72 KQ83.QT4.J864.T9 AJ94.K8.AKQ.8654 T.AJ9765.T93.AK3 | 1H-P-2H
156   W  2H-W                    Q53.94.98742.A95 J4.7652.AJ6.J432 AT96.QJ.KQT5.Q87 K872.AKT83.3.KT6 | 1H-P-2H
157   W  4H-W                    AT863.985.T973.J 52.Q76.KQJ6.9752 QJ74.K.A842.AT43 K9.AJT432.5.KQ86 | 1H-P-2H-P-4H
158   W  4HX-W                   KT852.762.T952.5 43.Q98.QJ76.K874 AJ76.A5.A84.AT62 Q9.KJT43.K3.QJ93 | 1H-P-2H-X-P-2S-3H-3S-4H-X
159   W  3S-W                    874.Q9842.983.Q7 JT63.K6.JT4.JT32 5.AJ53.AQ65.AK86 AKQ92.T7.K72.954 | 1S-P-2S-X-P-3H-3S
160   W  4H-W                    T9643.KJ.432.962 K85.T653.JT97.K4 AQJ7.8.Q865.AQ85 2.AQ9742.AK.JT73 | 1H-P-2H-X-4H
161   W  2S-W                    J762.72.Q973.Q98 984.QT93.A6.K542 T.AK84.J854.AJT6 AKQ53.J65.KT2.73 | 1S-P-2S
162   W  2S-W                    3.T875.QJ64.KJ93 T874.KJ96.K52.85 KJ.A432.AT93.Q64 AQ9652.Q.87.AT72 | 1S-P-2S
163   W  2H-W                    86.J962.T32.QT93 AJ94.A84.874.865 KQ53.3.AKJ9.J742 T72.KQT75.Q65.AK | 1H-P-2H
164   W  2H-W                    JT4.72.K7643.A85 K7532.JT95.Q8.96 AQ98.84.AJ92.QJ3 6.AKQ63.T5.KT742 | 1H-P-2H
165   W  3S-W                    Q85.98543.KT5.54 J974.A.832.J9872 3.KQT6.AQJ6.KQT3 AKT62.J72.974.A6 | 1S-P-2S-X-P-3H-3S
166   W  2S-W                    T975.864.K94.K64 KQ8.KT5.T752.973 J.QJ73.QJ63.AQT8 A6432.A92.A8.J52 | 1S-P-2S
167   W  2S-W                    JT.9.J76542.K652 7652.KQ865.T.Q74 Q9.AJ32.AKQ9.T98 AK843.T74.83.AJ3 | 1S-P-2S
168   W  2H-W                    T95.T3.AQ96.J753 KJ2.Q964.J43.T92 A764.75.K872.AK4 Q83.AKJ82.T5.Q86 | 1H-P-2H
169   W  2S-W                    AK4.9652.T8.T852 T986.J8.J753.KQ4 3.A743.AQ96.A973 QJ752.KQT.K42.J6 | 1S-P-2S
170   W  4S-W                    K.T8632.Q83.T652 Q52.KJ97.T7.Q987 64.AQ54.K95.AJ43 AJT9873..AJ642.K | 1S-P-2S-P-4H=1=-P-4S | Splinter
171   W  2S-W                    J8.Q653.742.QT96 9542.A9.J863.J74 KT.T742.AQ95.AK8 AQ763.KJ8.KT.532 | 1S-P-2S
172   W  2S-W                    J76.954.QT84.J86 983.AT.J52.K7543 42.KJ82.AK96.AT9 AKQT5.Q763.73.Q2 | 1S-P-2S
173   W  2H-W                    JT98.T6.9763.A97 43.Q543.QT2.K543 KQ62.92.AK85.QJT A75.AKJ87.J4.862 | 1H-P-2H
