../bba/Hold_Up_3N.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
16    S  3H-W       200          985.73.Q63.AKQ92 QJ32.T8.KJ942.JT AK6.A5.AT75.8653 T74.KQJ9642.8.74 | 1N-3H
17    S  3N-S       400          AJ.T32.852.KQ643 K654.98.A76.JT52 QT32.A4.KQ4.A987 987.KQJ765.JT93. | 1N-P-3N
18    S  3N-S       630          QJ8.T5.AJ8.KJT75 T943.J76.QT9.A98 AK5.A92.K53.Q643 762.KQ843.7642.2 | 1N-P-3N
19    S  3N-S       400          KJ.J42.KT83.Q854 QT6432.7.A.JT732 A97.AT5.J962.AK6 85.KQ9863.Q754.9 | 1N-P-3N
20    S  3N-S       630          AT9.72.754.AK653 J7654.T86.AQJ2.8 KQ82.A95.KT.QJ97 3.KQJ43.9863.T42 | 1N-P-3N
21    S  3N-S       600          J2.983.K74.AQ876 KQ765.72.QJ9.J32 A84.AT5.AT52.KT4 T93.KQJ64.863.95 | 1N-P-3N
22    S  3N-S       430          QJ3.J3.AQ2.T8432 K9865.T5.843.KJ7 AT42.A96.KT9.AQ9 7.KQ8742.J765.65 | 1N-P-2N-P-3N
23    S  3N-S       600          A73.832.KQJ65.Q3 QT982.JT9.A73.84 KJ54.A4.T942.AKT 6.KQ765.8.J97652 | 1N-P-3N
24    S  3N-S       400          A76.974.AQT92.62 K984.T53.6.AJ753 QJ3.A8.K7543.KQT T52.KQJ62.J8.984 | 1N-P-3N
25    S  3N-S       400          A93.J83.AJ6.J875 J42.T94.K832.QT3 KT6.A2.Q975.AK94 Q875.KQ765.T4.62 | 1N-P-3N
26    S  3N-S       630          QT9.J6.A95.AJ964 J742.T32.632.K53 AK86.A85.KQJT.82 53.KQ974.874.QT7 | 1N-P-3N
27    S  3N-S       400          Q53.J74.K982.A63 KJ764.T83.J6.Q42 A82.A2.AQ753.KT9 T9.KQ965.T4.J875 | 1N-P-3N
28    S  2H-W        50          A95.43.Q965.A943 T2.952.KJT4.QJ82 KQ843.A7.A32.K76 J76.KQJT86.87.T5 | 1N-2H
29    S  3N-S       600          K97.J73.AT.KJ942 T62.64.KQ765.Q75 AQJ4.A52.84.A863 853.KQT98.J932.T | 1N-P-3N
30    S  3N-S       430          K65.T6.AT98.QJT4 84.J42.Q32.K8762 AJ9.A73.KJ7.A953 QT732.KQ985.654. | 1N-P-2N-P-3N
31    S  3N-S       630          Q2.743.AQ86.A542 A764.J6.932.JT87 KJT3.A8.K75.KQ93 985.KQT952.JT4.6 | 1N-P-3N
32    S  3N-S       430          Q73.T43.KQ52.AJ5 AJ654.J5.T76.Q43 K8.A98.AJ3.KT962 T92.KQ762.984.87 | 1N-P-3N
33    S  3N-S       400          K87.JT6.A8743.Q2 AT632.8.KQ9.9543 QJ5.A95.J52.AKT6 94.KQ7432.T6.J87 | 1N-P-3N
34    S  3N-S       660          76.J86.AQJ86.KT8 KQJ432.95.54.J97 AT85.A7.KT7.AQ32 9.KQT432.932.654 | 1N-P-3N
35    S  3N-S       430          863.J7.A853.AK95 Q2.T54.QJT4.Q873 AKJ7.A82.K62.JT2 T954.KQ963.97.64 | 1N-P-3N
36    S  3N-S       600          K4.742.K864.AT97 AJ7653.T6.5.QJ42 Q82.AJ3.AJT73.K6 T9.KQ985.Q92.853 | 1N-P-3N
37    S  3N-S       630          K74.987.KQ5.QJ83 Q653.J43.A94.974 AJT.A2.T8763.AK2 982.KQT65.J2.T65 | 1N-P-3N
38    S  3N-S       400          J63.653.QJ84.AK9 AQ.J42.97652.T52 K852.A9.AKT3.Q83 T974.KQT87..J764 | 1N-P-3N
39    S  3N-S       600          AT9.J4.Q5432.A62 K62.982.T976.KJ8 QJ83.A75.AKJ.973 754.KQT63.8.QT54 | 1N-P-3N
40    S  3N-S       430          J76.T92.AJ764.KQ A9532.85.Q8.T863 KQ8.A74.KT52.AJ4 T4.KQJ63.93.9752 | 1N-P-3N
41    S  3N-S       430          JT7.J84.AK4.K843 AQ4.T2.9653.T952 K86.A7.Q87.AQJ76 9532.KQ9653.JT2. | 1N-P-3N
42    S  3N-S       600          J82.653.AKJ63.QT A97.84.T984.K863 KQT63.A72.Q5.A54 54.KQJT9.72.J972 | 1N-P-3N
43    S  3N-S       430          J5.842.K43.AKJT5 AT9832.T65.Q862. KQ6.AJ.AJT9.Q876 74.KQ973.75.9432 | 1N-P-3N
44    S  3N-S       600          A64.976.AQ73.T73 QJT.53.JT84.A654 K9853.AT2.K5.KQ9 72.KQJ84.962.J82 | 1N-P-3N
45    S  3N-S       600          J95.T96.96.AKQ83 Q82.3.AJ8432.T42 AKT4.AJ2.K7.J965 763.KQ8754.QT5.7 | 1N-P-3N
46    S  3N-S       430          Q7.J62.A62.AJ853 T543.985.KQT7.QT AK6.A4.J98.K9764 J982.KQT73.543.2 | 1N-P-3N
47    S  3N-S       630          KQ7.J5.T874.KQ42 J.93.Q6532.A8653 AT832.A42.AKJ.97 9654.KQT876.9.JT | 1N-P-3N
48    S  3N-S       430          QT9.J75.KQ62.K72 K43.9.975.QJT985 AJ65.A42.A843.A3 872.KQT863.JT.64 | 1N-P-3N
49    S  3S-S       170          Q6.953.AJ9.KT742 JT732.6.Q75.AQ98 AK854.A42.KT.J63 9.KQJT87.86432.5 | 1N-2H-3C-P-3S
50    S  2N-S       150          KQ.J32.QT32.Q865 865432.9.K97.AT3 A97.A54.AJ.K9742 JT.KQT876.8654.J | 1N-P-2N
51    S  3N-S       430          T9.J72.AT6.AQ853 QJ6.64.KJ98.J642 AK85.AT.Q742.K97 7432.KQ9853.53.T | 1N-P-3N
52    S  3N-S       600          AQ9.T85.T86.KJ52 JT65..AQ975.QT64 K742.AJ7.KJ32.A8 83.KQ96432.4.973 | 1N-3H-3N
53    S  3N-S       630          86.J82.KQ5.KQT72 QJT542.43.A2.954 AK9.AT.J8743.A83 73.KQ9765.T96.J6 | 1N-P-3N
54    S  3N-S       400          KJ4.JT9.A74.J842 A652.52.J982.K53 QT97.A43.KQT6.A7 83.KQ876.53.QT96 | 1N-P-3N
55    S  3N-S       600          987.93.AJ8.AKT63 Q543.JT2.K3.Q952 AKJ2.A65.Q62.J74 T6.KQ874.T9754.8 | 1N-P-3N
56    S  3N-S       430          T95.753.AQ2.AQ75 J63.J2.KJ4.T9842 AKQ4.A94.T976.K3 872.KQT86.853.J6 | 1N-P-3N
57    S  3N-S       430          K63.T73.AT.QJT62 QT95.92.Q74.A853 AJ42.AJ8.KJ6.K94 87.KQ654.98532.7 | 1N-P-3N
58    S  2N-S       150          98.854.AQJ3.KT32 AQJT.T.875.QJ976 K7642.AJ2.K94.A5 53.KQ9763.T62.84 | 1N-P-2N
59    S  3N-S       400          J95.732.AQT.K965 Q876.JT5.96.AT74 AK2.A8.KJ875.Q32 T43.KQ964.432.J8 | 1N-P-3N
60    S  3N-S       630          J9.874.KJ632.AQ6 K764.52.T9.KJ852 AQT85.A63.AQ5.T4 32.KQJT9.874.973 | 1N-P-3N
61    S  3N-S       600          976.T4.A8742.AQ3 Q54.J6.QT963.K54 AK832.A32.K5.J62 JT.KQ9875.J.T987 | 1N-P-3N
62    S  3N-S       400          K6.543.AQ85.K852 AJ854.2.942.J973 Q72.AJ8.KJT63.A4 T93.KQT976.7.QT6 | 1N-P-3N
63    S  3N-S       600          AK2.J94.Q54.T732 J5.T82.A763.K965 T863.A6.KJT9.AQJ Q974.KQ753.82.84 | 1N-P-3N
64    S  3N-S       430          K53.J83.KQ982.K2 J4.72.AT7654.964 AQ872.A64.J3.AJ5 T96.KQT95..QT873 | 1N-P-3N
65    S  3N-S       400          KJ4.83.QJ2.A9652 Q963.954.A9876.8 A75.A72.KT4.KQ43 T82.KQJT6.53.JT7 | 1N-P-3N
66    S  5C-S       620          A6.982.KQ943.K65 KQJT9.3.T875.T94 843.A74.AJ.AQ873 752.KQJT65.62.J2 | 1N-2H-3D-P-4C-P-5C
67    S  3N-S       400          QJ8.T53.K52.KJT6 T652.2.AQJ43.987 AK97.AJ4.87.A542 43.KQ9876.T96.Q3 | 1N-P-3N
68    S  2N-S       150          A94.JT6.K93.Q732 KJ863.93.AJ7.965 Q75.A8.QT65.AKJ8 T2.KQ7542.842.T4 | 1N-P-2N
69    S  3N-S       630          K6.T63.KT984.A52 AJ975432.J8.J.76 QT.A52.AQ763.KQ8 8.KQ974.52.JT943 | 1N-P-3N
70    S  3N-S       400          QT7.T94.A2.AT863 J43.J5.K7543.KJ9 AK85.A62.QT98.Q4 962.KQ873.J6.752 | 1N-P-3N
71    S  3N-S       600          762.643.AK82.KJ3 KT983.85.QT.QT72 AQJ.AJT.95.A9854 54.KQ972.J7643.6 | 1N-P-3N
72    S  3N-S       400          AQ7.J87.K9653.T5 JT62.T4.QJ74.AQ7 K83.A93.AT8.KJ96 954.KQ652.2.8432 | 1N-P-3N
73    S  3N-S       400          QJ4.JT8.AK95.762 K9752.54.832.KT4 A63.A2.J64.AQJ93 T8.KQ9763.QT7.85 | 1N-P-3N
74    S  2N-S       210          QT4.82.Q64.AQ932 AK752.J97.873.87 J9.A63.AKT92.KT6 863.KQT54.J5.J54 | 1N-P-2N
75    S  3N-S       430          A96.65.K86.AJT85 KQT.832.T753.Q92 J42.AT.AQJ94.K64 8753.KQJ974.2.73 | 1N-P-3N
76    S  3N-S       600          92.JT2.KQ5.KQT32 AT64.85.8642.A76 KQ85.A43.AJ73.J9 J73.KQ976.T9.854 | 1N-P-3N
77    S  3N-S       630          AJ.J64.Q64.Q8765 T9765.5.AKJT7.J4 KQ43.A83.32.AK32 82.KQT972.985.T9 | 1N-P-3N
78    S  3H-W       100          A82.84.KQT2.K874 QT76.J9.J987.J96 KJ5.A2.A6543.AT5 943.KQT7653..Q32 | 1N-3H
79    S  2N-S       150          Q97.643.Q76.KQJ7 JT632.T97.AK93.3 AK5.A5.J52.AT985 84.KQJ82.T84.642 | 1N-P-2N
80    S  3H-W       100          QJ3.T5.KT865.KJ7 KT65.9.J9743.A63 A98.A82.AQ2.Q985 742.KQJ7643..T42 | 1N-3H
81    S  3N-S       400          Q8.764.KQ743.KT2 K9753.9.AJ96.J53 AJ62.A83.T5.AQ86 T4.KQJT52.82.974 | 1N-P-3N
82    S  3N-S       630          K65.92.KQ97.KJ95 AJ42.J4.8654.QT7 QT7.AT5.AJT32.A6 983.KQ8763..8432 | 1N-P-3N
83    S  3N-S       400          853.T2.AJ32.AK52 QJ62.873.KQT5.T9 AK97.AJ4.9864.QJ T4.KQ965.7.87643 | 1N-P-3N
84    S  3N-S       630          A2.T84.AQ42.Q654 KT987654..K3.873 QJ3.A73.T5.AKJT9 .KQJ9652.J9876.2 | 1N-3H-3N
85    S  3N-S       630          AJ6.92.KT8.A9765 KQ9843.J75.754.T T72.A3.AJ32.KQJ4 5.KQT864.Q96.832 | 1N-P-3N
86    S  3H-W       100          K98.J85.95.AK985 T3.9.AJT8743.Q73 AJ72.AT.KQ62.J62 Q654.KQ76432..T4 | 1N-3H
87    S  4S-S       650          632.94.QJ5.AKT92 QJ97.5.KT984.764 AKT54.A3.A32.Q85 8.KQJT8762.76.J3 | 1N-4H-X-P-4S
88    S  3N-S       430          AT7.943.AQJT3.76 J943..K86.KJ9852 KQ62.AT7.74.AQT3 85.KQJ8652.952.4 | 1N-3H-3N
89    S  3N-S       400          J4.T32.AK932.QJ3 A987652.4.T5.K86 KQ.A87.Q874.AT72 T3.KQJ965.J6.954 | 1N-P-3N
90    S  3N-S       630          T7.952.AQJ97.QJ8 Q95.73.T42.AT532 AK8.A64.K863.K97 J6432.KQJT8.5.64 | 1N-P-3D-P-3N
91    S  3N-S       400          QT8.973.AKT85.J3 K7653.854.76.KT9 AJ942.A6.Q43.AQ7 .KQJT2.J92.86542 | 1N-P-3N
92    S  3N-S       600          52.982.KQ753.KQ5 KQJ943.6.A84.643 AT76.AJ4.JT.AJ97 8.KQT753.962.T82 | 1N-P-3N
93    S  3N-S       600          873.82.AQ83.AQ54 K65.J9.KT64.9632 AQJ.A74.J952.KT7 T942.KQT653.7.J8 | 1N-P-3N
94    S  3N-S       430          Q96.J42.KQ5.KJ52 AJ.T5.JT962.T876 K874.A83.A74.AQ9 T532.KQ976.83.43 | 1N-P-3N
95    S  3H-W        50          952.J8.AQ32.KT83 QT7.T9.T96.AQ542 AKJ3.A5.K875.976 864.KQ76432.J4.J | 1N-3H
96    S  3N-S       400          74.J72.AK74.Q753 Q65.5.QJ5.AT9864 AK32.A4.T862.KJ2 JT98.KQT9863.93. | 1N-3H-3N
97    S  3N-S       430          K65.T8.AQ74.QJ75 QT987.J93.K6.986 A42.A54.JT8.AK42 J3.KQ762.9532.T3 | 1N-P-3N
98    S  3N-S       600          K72.J7.QJ32.A863 QJ865.864.K54.J4 AT93.A92.AT9.K92 4.KQT53.876.QT75 | 1N-P-3N
99    S  3N-S       430          985.J92.AKJ86.K8 AT72.765.75.Q653 KJ4.AT.QT4.AJT92 Q63.KQ843.932.74 | 1N-P-3N
100   S  3N-S       600          QJ.T85.KT5.KJ953 T542.J6.A9762.Q4 AK96.A72.Q3.AT82 873.KQ943.J84.76 | 1N-P-3N
101   S  3N-S       630          KT.T76.QJ854.KQ7 Q9842.9.AT.JT542 AJ765.AJ3.K3.A98 3.KQ8542.9762.63 | 1N-P-3N
102   S  3N-S       430          KQT.632.AJT32.62 32.J9.Q9654.KT87 A54.A84.K7.AQ943 J9876.KQT75.8.J5 | 1N-P-3N
103   S  3N-S       630          86.JT8.KQT2.KQJ6 AQ97.7.J954.8732 KT43.A62.A7.AT94 J52.KQ9543.863.5 | 1N-P-3N
104   S  3N-S       400          AT6.J86.A8765.J6 K82.93.K2.QT8743 QJ5.A7.QT93.AK52 9743.KQT542.J4.9 | 1N-P-3N
105   S  3H-W       200          AJ4.94.K9654.A62 KT8732.2.T2.Q973 65.AJ5.AQJ.KJT54 Q9.KQT8763.873.8 | 1N-3H
106   S  3N-S       600          QT7.43.A87.KQJ52 K9853.972.KJT.86 AJ642.A5.Q92.A97 .KQJT86.6543.T43 | 1N-P-3N
107   S  4S-S       450          Q82.54.965.AKQ92 963.96.AJ842.J83 AKT54.A83.KQ7.T6 J7.KQJT72.T3.754 | 1N-2H-3C-P-3S-P-4H=1=-P-4S | Limit raise or better in !S
108   S  3N-S       630          AQT.J4.J8632.AT2 J987654.87.K75.3 K32.A63.A9.KQJ97 .KQT952.QT4.8654 | 1N-P-3N
109   S  3N-S       600          AT4.853.AK96.864 Q52.J64.T7.AJ753 KJ97.A9.QJ42.KQ2 863.KQT72.853.T9 | 1N-P-3N
110   S  3N-S       400          K92.JT5.952.AQ42 8763.3.AJT6.K953 AJ5.A6.KQ874.JT8 QT4.KQ98742.3.76 | 1N-3H-3N
111   S  3N-S       630          AQT.96.KQ73.8752 8765.842.T84.AQ6 KJ943.AJT.A6.KJ4 2.KQ753.J952.T93 | 1N-P-3N
112   S  3N-S       460          KQ5.J53.63.AJ732 96.842.KQT8.T864 A872.A7.A94.KQ95 JT43.KQT96.J752. | 1N-P-3N
113   S  3N-S       430          Q8.J93.K842.KJ76 K963.T7.JT.Q9843 AJT75.A52.A75.AT 42.KQ864.Q963.52 | 1N-P-3N
114   S  3N-S       600          Q6.J65.QT95.AQJ7 K954.83.4.KT9843 A873.A72.AK76.65 JT2.KQT94.J832.2 | 1N-P-3N
115   S  3N-S       400          A97.T53.K96.K874 KQ63.4.T32.QJ952 JT84.AJ8.AQ85.A6 52.KQ9762.J74.T3 | 1N-P-3N
116   S  3N-S       630          KQJ.964.Q95.KJ64 6542.32.A72.Q973 AT.AJ5.KJT8.AT82 9873.KQT87.643.5 | 1N-P-3N
117   S  3N-S       630          KT8.T4.AKQ52.965 73.532.T976.AJT3 AJ62.AJ8.J8.KQ42 Q954.KQ976.43.87 | 1N-P-3N
118   S  3N-S       400          K53.643.K754.A65 JT9742.T2.Q6.QJ4 A86.AJ5.AJ82.K98 Q.KQ987.T93.T732 | 1N-P-3N
119   S  3N-S       630          T75.985.Q864.AKQ KQ63.763.52.J962 A42.AT.AKJT3.753 J98.KQJ42.97.T84 | 1N-P-3N
120   S  3N-S       400          A52.J43.J942.KQ4 KQJ986.8.765.J72 T4.A62.AKT3.A865 73.KQT975.Q8.T93 | 1N-P-3N
121   S  3N-S       400          A82.54.Q963.KJT2 QT943.873.AT7.96 K65.AJ2.K854.AQ4 J7.KQT96.J2.8753 | 1N-P-3N
122   S  3N-S       600          Q3.754.J62.AK975 AJT872.J.84.J632 K95.A92.AKQ97.84 64.KQT863.T53.QT | 1N-P-2N-P-3N
123   S  2N-S       150          K94.J5.8732.AQ97 AQT5.T32.AT6.T82 J76.A87.KQJ.KJ64 832.KQ964.954.53 | 1N-P-2N
124   S  3N-S       600          AK7.J98.K9.98765 985.T32.QJ7.KJT3 JT42.A5.A854.AQ2 Q63.KQ764.T632.4 | 1N-P-3N
125   S  3N-S       690          Q82.73.AQ654.AT8 T95.94.JT98.KQ94 AK763.AJ5.K32.32 J4.KQT862.7.J765 | 1N-P-3N
126   S  3N-S       400          J2.JT3.AKJ8.9753 83.9.Q943.AJT862 AK654.A65.T5.KQ4 QT97.KQ8742.762. | 1N-P-3N
127   S  3N-S       600          A7.J62.K654.Q983 QJ642.T8.J8.KJ54 K985.A7.AQ93.AT7 T3.KQ9543.T72.62 | 1N-P-3N
128   S  2N-S       150          T87.92.A975.KQJT A643.J64.K432.97 KQ5.AT5.Q86.A854 J92.KQ873.JT.632 | 1N-P-2N
129   S  2N-S       150          KJ9.J43.J4.KJ954 A8732.65.A75.T72 654.A8.KQ82.AQ63 QT.KQT972.T963.8 | 1N-P-2N
130   S  3N-S       600          AK7.T5.J7643.QT4 Q983.962.QT2.A76 T62.A73.AK5.KJ93 J54.KQJ84.98.852 | 1N-P-3N
131   S  3N-S       400          A64.J9.KQ7.JT982 J85.T43.852.KQ53 K97.A75.AJ94.A76 QT32.KQ862.T63.4 | 1N-P-3N
132   S  3N-S       600          J73.653.K74.AQ87 QT96.4.AQ952.T65 AK54.AT7.J63.K93 82.KQJ982.T8.J42 | 1N-P-3N
133   S  3N-S       630          962.73.Q85.AKJT5 AK7543.954.T3.32 QJT8.A86.AK96.Q4 .KQJT2.J742.9876 | 1N-P-3N
134   S  3N-S       430          JT7.J42.QJ6.AK32 82.965.KT75.Q654 AK543.A7.A42.J97 Q96.KQT83.983.T8 | 1N-P-3N
135   S  3N-S       600          983.54.AKT8.K762 Q754.JT.QJ6.QT95 AK.A32.975.AJ843 JT62.KQ9876.432. | 1N-P-3N
136   S  3N-S       400          J6.852.A9542.AJ5 QT43.96.KQ83.T87 AK52.A73.T6.KQ92 987.KQJT4.J7.643 | 1N-P-3D-P-3N
137   S  2N-S       150          Q98.75.AT2.AT865 AJT763.84.J86.Q4 K42.AT6.KQ95.K97 5.KQJ932.743.J32 | 1N-P-2N
138   S  3N-S       630          KT4.T32.AKT83.Q7 QJ85.J5.Q7.T9432 A972.A74.J4.AKJ6 63.KQ986.9652.85 | 1N-P-3N
139   S  3N-S       430          QJ.T65.KJ83.KQ86 K7542.72.642.AT2 AT986.A93.AQ5.J4 3.KQJ84.T97.9753 | 1N-P-3N
140   S  3N-S       660          986.873.KT4.AKQ5 KQJ743.J4.962.83 A5.A96.AQ873.J62 T2.KQT52.J5.T974 | 1N-P-3N
141   S  3N-S       600          A72.J42.KJ952.Q2 QJ64.763.Q7.AT53 KT83.AT.AT8.KJ97 95.KQ985.643.864 | 1N-P-3N
142   S  3D-S       110          74.983.QT5.AKQ96 K8653.6.KJ3.T852 AQJ2.A74.A964.73 T9.KQJT52.872.J4 | 1N-2H-3C-P-3D
143   S  3H-W        50          863.32.A874.AQ32 K754.87.JT92.KJ8 AQ9.A6.KQ53.T976 JT2.KQJT954.6.54 | 1N-3H
144   S  3N-S       430          Q75.97.AJT6.KJ92 94.J83.K42.QT863 AK82.A2.Q987.A74 JT63.KQT654.53.5 | 1N-P-3N
145   S  3N-S       400          KQJ.95.K765.QT92 AT8652.432.JT.K7 943.AJ.AQ942.A84 7.KQT876.83.J653 | 1N-P-3N
146   S  3N-S       630          K7.J97.QT73.A763 AT52.T6.J52.Q982 Q94.A52.AK94.KJT J863.KQ843.86.54 | 1N-P-3N
147   S  3N-S       430          KT7.86.KQJ3.QJ95 AQ865.92.9875.42 J432.AJ.A42.AK87 9.KQT7543.T6.T63 | 1N-3H-3N
148   S  3N-S       630          T76.J2.AJ985.AT6 K982.74.KT762.53 AQ5.A85.Q3.KQ982 J43.KQT963.4.J74 | 1N-P-3N
149   S  3N-S       630          KJ2.965.A43.Q974 T9864.J73.KJ.J82 AQ5.A4.T98.AKT53 73.KQT82.Q7652.6 | 1N-P-3N
150   S  3N-S       400          KQ8.862.K74.QJ84 432.75.A86.KT953 A965.AT3.QJ52.A2 JT7.KQJ94.T93.76 | 1N-P-3N
151   S  3N-S       630          K96.JT8.KT5.A954 QJ854.3.A862.732 AT72.A75.Q9.KQJ8 3.KQ9642.J743.T6 | 1N-P-3N
152   S  3N-S       400          T84.93.AKJ95.K75 QJ72.654..AJT842 AK5.AT.Q864.Q963 963.KQJ872.T732. | 1N-P-3N
153   S  3N-S       430          A97.J3.KQ8.QT965 QJ2.765.97532.K8 K853.AT4.AJ.AJ73 T64.KQ982.T64.42 | 1N-P-3N
154   S  2N-S       150          95.JT5.AJ43.AT85 AKJ762.876.Q72.7 Q83.A4.K986.KQJ3 T4.KQ932.T5.9642 | 1N-P-2N
155   S  3N-S       430          AQT.J93.KJ2.J874 K643.T6.97543.K3 J97.A72.AQT86.A9 852.KQ854..QT652 | 1N-P-3N
156   S  3N-S       600          AK4.863.96.QJT62 32.J2.T8754.AK83 QJ76.AT7.AKQ.754 T985.KQ954.J32.9 | 1N-P-3N
157   S  3N-S       630          QT8.J72.Q862.AQ2 K96532.54.K7.JT3 AJ.A83.AJ53.K984 74.KQT96.T94.765 | 1N-P-3N
158   S  3N-S       400          KJ.T32.AQ86.JT97 QT.86.KJT973.Q62 A42.A94.52.AK853 987653.KQJ75.4.4 | 1N-P-3N
159   S  3N-S       630          A85.943.AT95.K53 KT973.J5.42.QJ84 Q642.AT.KQJ6.AT9 J.KQ8762.873.762 | 1N-P-3N
160   S  3N-S       430          873.J9.AKQ86.J97 QJ652.74.974.A43 AKT.A52.JT5.KT62 94.KQT863.32.Q85 | 1N-P-3N
161   S  3N-S       400          K9.652.AQ98.QT72 QJT843.J74.J72.A A52.A3.K654.KJ53 76.KQT98.T3.9864 | 1N-P-3N
162   S  3N-S       630          J8.J84.AT8.KJ642 QT642.65.KJ7.Q93 AK75.A92.Q52.AT5 93.KQT73.9643.87 | 1N-P-3N
163   S  3N-S       430          A94.854.Q93.AJ73 T5.9.KJ8762.QT85 KQ7.AJ2.AT54.K42 J8632.KQT763..96 | 1N-P-3N
164   S  3N-S       660          J54.J75.KT.AKT96 AK872.432.6432.7 QT3.A6.AQJ75.Q84 96.KQT98.98.J532 | 1N-P-3N
165   S  3N-S       600          QT5.J3.Q86.KQ842 AK2.964.KT7.7653 J64.A52.AJ532.AJ 9873.KQT87.94.T9 | 1N-P-3N
166   S  3N-S       430          AT2.J63.KJ76.K74 743.5.A98532.Q53 KQ85.A42.Q4.AJ62 J96.KQT987.T.T98 | 1N-P-3N
167   S  3N-S       630          QJ5.532.JT6.AKJ6 KT3.J64.A43.9875 A92.A9.KQ98.QT43 8764.KQT87.752.2 | 1N-P-3N
168   S  3N-S       400          K75.654.42.AKJ86 AQJT92.9.T8763.T 84.A83.AKQ5.Q742 63.KQJT72.J9.953 | 1N-2H-3C-P-3N
169   S  3N-S       430          A53.J7.A82.QJ832 KQT.843.QJ643.95 J9.A95.KT9.AKT74 87642.KQT62.75.6 | 1N-P-3N
170   S  3N-S       630          A87.T75.K7532.K4 QT6.J4.JT.QJ9762 K954.A62.AQ94.A3 J32.KQ983.86.T85 | 1N-P-3N
171   S  3N-S       430          A98.97.A973.QJ92 54.J63.KQ85.7653 KQT3.AT2.T4.AK84 J762.KQ854.J62.T | 1N-P-3N
172   S  3N-S       630          AQ9.87.QJ98.Q976 KT3.65.K6432.T53 J65.AT4.AT75.AK8 8742.KQJ932..J42 | 1N-P-3N
173   S  3H-W       200          QT.975.AJT97.KJ7 K8764.6.Q53.QT64 A932.A4.K42.A532 J5.KQJT832.86.98 | 1N-3H
174   S  3N-S       400          KT3.JT2.75.KQJ42 A985.875.932.AT9 J42.A9.AKQJ6.873 Q76.KQ643.T84.65 | 1N-P-3N
175   S  3N-S       630          KQ3.J84.T98.A976 JT82.9.KJ732.QJT A74.AT7.AQ5.K843 965.KQ6532.64.52 | 1N-P-3N
176   S  3N-S       430          AK9.52.QJ7.QT932 J874.T9.T9843.KJ T32.AJ3.AK652.A8 Q65.KQ8764..7654 | 1N-P-3N
177   S  3N-S       400          AK.J92.8543.KT32 JT8.T3.AKT96.975 Q76.A84.QJ2.AQJ4 95432.KQ765.7.86 | 1N-P-3N
178   S  3N-S       630          QT.976.A975.AQ62 AJ63.54.6432.953 K84.AJT.KJT8.KJT 9752.KQ832.Q.874 | 1N-P-3N
