../bba/Minor_Suit_Opener_Mixed_Raise.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
94    S  3C-S                    A64.Q73.K3.T9863 983.T654.AQT5.A4 KJ5.AJ9.J94.KJ52 QT72.K82.8762.Q7 | 1C-P-3C
95    S  1D-S                    732.9.AT874.Q742 J95.QT642.96.KT6 AKT.AJ3.KQ53.J93 Q864.K875.J2.A85 | 1D
96    S  3N-N                    A4.QT2.Q85.JT963 K92.843.JT972.74 JT63.KJ76.K.AKQ2 Q875.A95.A643.85 | 1C-P-3C-P-3H-P-3N
97    S  3D-S                    KT2.Q5.AT743.842 J874.643.Q6.AT75 AQ.KJT2.J982.K63 9653.A987.K5.QJ9 | 1D-P-3D
98    S  3D-S                    43.QT.AJ9873.QT3 QJ95.9862.K5.KJ2 AK62.AK54.T62.75 T87.J73.Q4.A9864 | 1D-P-3D
99    S  3N-S                    873.754.AKJ42.97 KT642.JT3.9.Q863 AQJ.AQ6.Q763.KJT 95.K982.T85.A542 | 1D-P-3D-P-3N
100   S  3N-S                    QT9.A86.T5.QJ952 J872.Q5432.632.7 K3.K9.AJ74.AK843 A654.JT7.KQ98.T6 | 1C-P-3C-P-3N
101   S  3D-S                    764.QT.T9753.A63 J952.K965.8.J987 Q3.AJ32.AKQ6.KT4 AKT8.874.J42.Q52 | 1D-P-1N-P-2N-P-3D
102   S  4D-S                    83.A9.QT9863.J93 K64.7643.4.Q8742 AQJT.QJT8.J75.AK 9752.K52.AK2.T65 | 1D-P-4D
103   S  3N-S                    876.Q5.Q73.KQT64 AJT5.J943.T85.87 K94.AKT.A92.A953 Q32.8762.KJ64.J2 | 1C-P-3C-P-3N
104   S  3D-S                    974.Q63.AQJ96.42 JT32.T97.83.AQJ5 A6.K842.KT52.KT7 KQ85.AJ5.74.9863 | 1D-P-3D
105   S  3D-S                    Q3.532.KT853.876 J762.KQ84.42.A32 K854.AJ.AQJ6.KT4 AT9.T976.97.QJ95 | 1D-P-P-X-XX-1H-3D
106   S  3C-S                    75.T53.KJ5.KQ753 JT98.Q8.QT74.A96 AKQ3.A974.32.T84 642.KJ62.A986.J2 | 1C-P-3C
107   S  4C-S                    62.A3.K76.987532 T97.QT987.T983.Q KJ85.KJ6.QJ.AKJ6 AQ43.542.A542.T4 | 1C-P-4C
108   S  3D-S                    4.QJT.QJ753.K876 AQ98.K643.642.T5 K652.A.KT98.AQ94 JT73.98752.A.J32 | 1D-P-3D
109   S  3N-S                    T54.AQ9.T8532.J8 QJ97.KJ42.Q4.T42 A6.8753.AKJ6.AQ7 K832.T6.97.K9653 | 1D-P-3D-P-3N
110   S  3N-S                    K97.942.KQ942.85 T532.A7.863.KQ43 AQ6.KQJ.AJ75.J72 J84.T8653.T.AT96 | 1D-P-3D-P-3N
111   S  3N-S                    QJ8.96.432.AT876 964.AQ82.JT5.K95 AK7.KJ5.KQ9.QJ32 T532.T743.A876.4 | 1C-P-3C-P-3N
112   S  3N-S                    Q9.T73.AK752.642 J8754.K6.96.J987 AK62.AJ84.Q43.AT T3.Q952.JT8.KQ53 | 1D-P-3D-P-3N
113   S  3N-S                    Q6.J82.K54.JT754 KT943.K975.862.8 AJ.Q64.AJ9.AK962 8752.AT3.QT73.Q3 | 1C-P-3C-P-3N
114   S  3C-S                    93.J43.987.A9853 A542.T72.J652.K4 KQJ7.AQ86.AT.Q72 T86.K95.KQ43.JT6 | 1C-P-P-X-XX-1D-3C
115   S  3D-S                    JT.J73.AQ762.T54 KQ84.A954.95.J83 763.K82.KJT3.AQ2 A952.QT6.84.K976 | 1D-P-3D
116   S  3N-S                    T9.Q64.K64.QT863 J32.J973.AQ53.J5 A864.AK2.72.AK94 KQ75.T85.JT98.72 | 1C-P-3C-P-3N
117   S  3N-S                    Q84.965.Q8642.K7 K532.T43.K3.AT62 A.AKJ8.AT95.J985 JT976.Q72.J7.Q43 | 1D-P-3D-P-3N
118   S  3N-S                    J5.643.KT865.AT8 T92.QJ95.43.K965 AKQ3.KT82.AJ2.Q3 8764.A7.Q97.J742 | 1D-P-3D-P-3N
119   S  3N-S                    Q3.JT2.K53.QJ753 J984.87.J9742.K4 AK62.AQ95.Q6.AT2 T75.K643.AT8.986 | 1C-P-3C-P-3N
120   S  5D-S                    5.QT9.QJ742.KJ52 Q32.J874.KT6.974 KJ96.AK.A983.A63 AT874.6532.5.QT8 | 1D-P-3D-P-3N-P-4D-P-4H-P-4S-P-5D
121   S  3D-S                    53.72.Q9732.AQ82 Q982.A54.T5.KT97 AK64.JT98.AJ64.5 JT7.KQ63.K8.J643 | 1D-P-3D
122   S  5D-S                    J82.2.KJT865.A97 T743.QJ4.74.QT65 AKQ9.AK96.Q32.J3 65.T8753.A9.K842 | 1D-P-3D-P-3N-P-4D-P-4H-P-5D
123   S  3N-S                    Q53.T5.Q9762.K87 KJ94.Q92.J5.JT64 A72.AK73.AK83.93 T86.J864.T4.AQ52 | 1D-P-3D-P-3N
124   S  3N-S                    975.T5.QJT.KQJ62 T4.Q982.87543.A9 AK63.AKJ7.K2.T73 QJ82.643.A96.854 | 1C-P-3C-P-3N
125   S  3N-N                    QT8.Q93.J9.JT743 J63.542.QT864.K8 AK97.KT8.K2.AQ52 542.AJ76.A753.96 | 1C-P-1N-P-2N-P-3C-P-3N
126   S  3N-S                    543.K3.QJ5.QJ983 QT76.J84.A974.K5 AKJ9.AQ6.T6.A642 82.T9752.K832.T7 | 1C-P-3C-P-3N
127   S  3C-S                    Q93.876.65.KT962 JT52.J54.KQJ3.85 K84.AQ9.AT9.AQ74 A76.KT32.8742.J3 | 1C-P-P-X-XX-1H-3C
128   S  3D-S                    6.AJ4.QJ532.9752 9853.Q83.K9.KJ64 AKQ7.K752.AT74.Q JT42.T96.86.AT83 | 1D-P-3D
129   S  3D-S                    KQ.T73.J9765.K52 J875.A9864.T.T43 AT62.Q.AK832.QJ8 943.KJ52.Q4.A976 | 1D-P-3D
130   S  3N-S                    K8.JT4.964.K8743 J642.863.QJ75.Q6 AT73.AKQ2.A3.J95 Q95.975.KT82.AT2 | 1C-P-3C-P-3N
131   S  3N-N                    62.AT2.K84.JT765 K93.943.AQ52.842 AQ54.K875.T9.AKQ JT87.QJ6.J763.93 | 1C-P-3C-P-3H-P-3N
132   S  3N-S                    Q5.JT2.T86.KQ763 AT874.8743.973.T K6.AK96.K42.AJ98 J932.Q5.AQJ5.542 | 1C-P-3C-P-3N
133   S  5D-S                    73.J3.J6543.AQJ5 A82.9654.T7.K942 KQJ.AQ8.AQ92.T86 T9654.KT72.K8.73 | 1D-P-3D-P-3N-P-4D-P-4H-P-5D
134   S  3N-S                    A86.KJ9.97652.87 K92.Q42.T4.J9654 QJT3.AT87.AJ3.AQ 754.653.KQ8.KT32 | 1D-P-3D-P-3N
135   S  3N-S                    J52.98.QJ854.KT9 QT6.KQ42.T3.J854 AK7.JT3.AK72.A76 9843.A765.96.Q32 | 1D-P-3D-P-3N
136   S  3N-S                    A63.54.QJT98.Q63 J42.AKJ2.764.J82 Q875.Q7.AK32.AK5 KT9.T9863.5.T974 | 1D-P-3D-P-3N
137   S  3N-N                    T84.842.KQ.J5432 A62.Q76.T973.A76 KQ5.AK9.A42.KT98 J973.JT53.J865.Q | 1C-P-1N-P-2N-P-3C-P-3N
138   S  2C-S                    J7.643.T93.QT983 Q984.Q95.KQ84.J2 K52.KJT7.AJ.AK76 AT63.A82.7652.54 | 1C-P-P-X-XX-1S-2C
139   S  3C-S                    J75.AT5.87.KJT84 943.KJ63.QT52.A7 KQT2.Q8.AJ4.9632 A86.9742.K963.Q5 | 1C-P-3C
140   S  3N-S                    32.876.AQT97.J94 J986.KJT3.J5.Q63 AK54.A4.K862.A82 QT7.Q952.43.KT75 | 1D-P-3D-P-3N
141   S  3D-S                    AT5.T3.QT952.985 K864.76542.J8.Q6 J3.AKJ.K763.AK43 Q972.Q98.A4.JT72 | 1D-P-1N-P-2N-P-3D
142   S  3C-S                    J32.765.J7.AK753 Q96.JT32.KQT2.94 KT75.K4.A83.QJ62 A84.AQ98.9654.T8 | 1C-P-3C
143   S  3C-S                    T87.J42.K2.K7632 K53.A985.T9643.8 A642.K3.QJ.AQ954 QJ9.QT76.A875.JT | 1C-P-3C
144   S  3N-N                    J32.83.AQ862.Q87 A87.AJT4.T94.964 KQ95.Q6.KJ73.AK2 T64.K9752.5.JT53 | 1D-P-3D-P-3S-P-3N
145   S  3D-S                    A7.986.A8754.J94 KJ32.K43.62.K862 T9.AQT7.KJT93.A7 Q8654.J52.Q.QT53 | 1D-P-3D
146   S  3N-S                    64.92.KJT65.AT98 852.J8653.A9.742 KQJT.AKT7.Q87.K5 A973.Q4.432.QJ63 | 1D-P-3D-P-3N
147   S  3N-S                    J7.96.J65.AQ8743 T863.J753.KT872. KQ9.AKQ.94.KJ652 A542.T842.AQ3.T9 | 1C-P-3C-P-3N
148   S  3N-S                    J5.953.T85.AQ643 8632.T84.AQ62.T8 AKQ4.AQ72.K4.952 T97.KJ6.J973.KJ7 | 1C-P-3C-P-3N
149   S  3C-S                    82.Q98.JT2.KQT65 JT97.K632.A85.97 AQ5.JT5.Q63.AJ84 K643.A74.K974.32 | 1C-P-3C
150   S  3C-S                    K4.KQ8.J65.98542 QT97.953.K987.Q7 J85.AT72.AQ.AKT3 A632.J64.T432.J6 | 1C-P-3C
151   S  2C-S                    75.J72.J73.K9642 J632.QT5.KT65.A8 AKT4.AK8.A2.JT53 Q98.9643.Q984.Q7 | 1C-P-P-X-XX-1H-2C
152   S  4C-S                    74.JT7.A8.Q87653 A863.Q64.JT63.J4 KQT5.A953.Q4.AK9 J92.K82.K9752.T2 | 1C-P-4C
153   S  3D-S                    842.J3.J7432.K86 QJT6.K865.A9.T54 AK5.AQ9.KT85.QJ7 973.T742.Q6.A932 | 1D-P-P-X-XX-1H-3D
154   S  3N-S                    3.765.KQT52.QJ53 Q854.KQ8.963.872 AK97.A932.J84.AK JT62.JT4.A7.T964 | 1D-P-3D-P-3N
155   S  3N-N                    85.J63.A74.KJ865 AJ96.752.J953.Q2 K2.AKT9.KT.AT743 QT743.Q84.Q862.9 | 1C-P-3C-P-3H-P-3N
156   S  3N-N                    Q43.K95.96.J9832 AT52.J42.J842.T4 KJ6.A76.KQT.AQ76 987.QT83.A753.K5 | 1C-P-1N-P-2N-P-3C-P-3N
157   S  3D-S                    T3.JT8.KJT62.982 K876.K92.87.Q764 AJ9.AQ6.AQ43.JT5 Q542.7543.95.AK3 | 1D-P-P-X-XX-1H-3D
158   S  3N-S                    K3.632.T9872.A62 Q8752.T95.J4.KT8 AJ9.KQ4.AKQ6.975 T64.AJ87.53.QJ43 | 1D-P-3D-P-3N
159   S  3D-S                    T62.Q5.K8542.KJ3 KJ87.A832.73.T92 AQ9.KT7.AJT6.764 543.J964.Q9.AQ85 | 1D-P-3D
160   S  3D-S                    JT3.Q.A8753.Q832 AQ84.T764.K2.J76 K972.AK83.J94.K5 65.J952.QT6.AT94 | 1D-P-3D
161   S  3N-S                    A97.T85.A8753.T8 KT8.9762.62.K543 QJ43.KJ.KQJT.AJ6 652.AQ43.94.Q972 | 1D-P-3D-P-3N
162   S  3N-N                    9.KJ5.QJ963.QT72 A864.87642.8.863 KQ32.QT.AKT75.K5 JT75.A93.42.AJ94 | 1D-P-3D-P-3S-P-3N
163   S  3N-S                    J6.J9.AJ862.JT84 QT2.AT84.73.A965 AK93.Q53.KQT4.KQ 8754.K762.95.732 | 1D-P-3D-P-3N
164   S  5C-S                    T62.A.932.QT7532 J95.KT987.JT64.J KQ84.QJ5.AK.K984 A73.6432.Q875.A6 | 1C-P-3C-P-3N-P-5C
165   S  3N-S                    K.653.T84.QJT985 QJ94.K72.KJ92.63 A652.AQ84.AQ.K72 T873.JT9.7653.A4 | 1C-P-3C-P-3N
166   S  3D-S                    J75.K8.JT976.Q43 AT2.Q962.K2.J872 KQ86.T543.AQ3.K5 943.AJ7.854.AT96 | 1D-P-3D
167   S  3D-S                    K65.87.AJ982.J65 JT832.QT5.4.AT92 A4.AK93.KT763.83 Q97.J642.Q5.KQ74 | 1D-P-3D
168   S  4D-S                    Q43.94.KJ872.J53 J762.8632.5.AT64 T9.AKQT.AT963.KQ AK85.J75.Q4.9872 | 1D-P-3D-P-3H-P-4D
169   S  3D-S                    J8.QJ5.AJ542.T76 K764.K974.63.K53 AQT9.T3.KQ98.J42 532.A862.T7.AQ98 | 1D-P-3D
