/Users/adavidbailey/Practice-Bidding-Scenarios/BBA/rule16.pbn
board declarer contract score | notes
 258     N        3N     600  | 
 259     N        2N     120  | Stayman
 260     N        3N     400  | 
 261     N        2N     120  | Stayman
 262     N        2N     150  | Stayman
 263     N        2N     120  | Stayman
 264     N        3N     -50  | 
 265     N        3N     400  | 
 266     N        3N     400  | 
 267     N        2N     120  | Stayman
 268     N       3NX     750  | Stayman
 269     N        1N     120  | 
 270     N        2N     120  | Stayman
 271     N        2N     120  | Stayman
 272     N        2N     120  | Stayman
 273     N        3N     -50  | 
 274     N        2N     120  | Stayman
 275     N        3N     -150 | Stayman
 276     N        1N     -50  | 
 277     N        2N     150  | Stayman
 278     N        3N     -100 | 
 279     N        3N     400  | Stayman
 280     N        2N     150  | Stayman
 281     W       2HX     -670 | Stayman
 282     N        4H     -50  | Stayman
 283     N        2N     120  | Stayman
 284     N        3N     -100 | Stayman
 285     W        4H     -420 | Cappelletti, any 6+suit
 286     N        4D     -50  | Stayman
 287     N        1N     120  | 
 288     N        3N     -100 | 
 289     N        1N     120  | 
 290     N        3N     -100 | 
 291     N        3S     140  | Stayman
 292     N        3N     400  | 
 293     N        2N     120  | Stayman
 294     N        3N     -50  | 
 295     N        1N     120  | 
 296     N        3N     400  | Stayman
 297     N        3N     -50  | 
 298     N        2N     150  | Stayman
 299     N        3N     -50  | 
 300     N        2N     120  | Stayman
 301     N        2N     120  | Stayman
 302     N        3N     -50  | 
 303     N        3N     600  | 
 304     N        3N     400  | Stayman
 305     N        4H     420  | Stayman
 306     N        2N     120  | Stayman
 307     N        2N     150  | Stayman
 308     W        3H     100  | Stayman
 309     N        2N     150  | Stayman
 310     N        3N     400  | 
 311     N        1N     120  | 
 312     N        3N     400  | Stayman
 313     N        1N     120  | 
 314     N        3S     140  | Stayman
 315     N        2N     120  | Stayman
 316     N        3N     -100 | Stayman
 317     N        2N     120  | Stayman
 318     N        3N     -150 | Stayman
 319     N        2N     120  | Stayman
 320     N        1N     120  | 
 321     N        2N     150  | Stayman
 322     N        2N     -100 | Stayman
 323     N        2N     120  | Stayman
 324     S        3C     130  | Cappelletti, both majors
 325     N        4H     620  | Stayman
 326     N        3N     400  | 
 327     N        4H     -50  | Stayman
 328     W       4SX     300  | 
 329     N        2N     150  | Stayman
 330     N        2N     120  | Stayman
 331     N        3N     -50  | 
 332     N        3N     600  | 
 333     N        4H     620  | Stayman
 334     N        3N     400  | 
 335     N        1N     120  | 
 336     N        3N     400  | 
 337     N        3N     -50  | 
 338     N        4S     -100 | Stayman
 339     N        2N     120  | Stayman
 340     N        3N     400  | 
 341     N        3N     -100 | Stayman
 342     N        4S     420  | Stayman
 343     N        2N     120  | Stayman
 344     N        3N     400  | 
 345     N        3N     -50  | 
 346     N        4S     -50  | Stayman
 347     N        3N     -50  | 
 348     N        3N     600  | 
 349     N        3N     600  | 
 350     N        3N     400  | 
 351     N        3S     140  | Stayman
 352     N        1N     120  | 
 353     N        1N     120  | 
 354     N        3N     600  | Stayman
 355     N        2N     150  | Stayman
 356     N        2N     120  | Stayman
 357     N        2N     -100 | Cappelletti, any 6+suit | automat
 358     N        1N     120  | 
 359     N        4S     -50  | Stayman | strength cue bid
 360     N        2N     120  | Stayman
 361     N        2N     120  | Stayman
 362     N        3N     400  | 
 363     N        2N     -200 | Stayman
 364     N        2N     120  | Stayman
 365     N        2N     120  | Stayman
 366     N        3N     400  | 
 367     N        2N     120  | Stayman
 368     N        1N     120  | 
 369     N        2N     120  | Stayman
 370     N        3N     600  | 
 371     N        2N     150  | Stayman
 372     N        3N     -150 | 
 373     N        2N     120  | Cappelletti, any 6+suit | automat
 374     N        2N     120  | Stayman
 375     N        1N      90  | 
 376     N        3N     -50  | Stayman
 377     N        1N     120  | 
 378     N        3N     -100 | 
 379     N        3N     400  | 
 380     N        1N     120  | 
 381     N        3S     140  | Stayman
 382     N        2N     150  | Stayman
 383     N        2N     -100 | Stayman
 384     N        3N     -50  | 
 385     N        3N     -50  | 
 386     N        3N     -100 | 
 387     N        3N     400  | 
 388     N        3N     400  | 
 389     N        3H     140  | Stayman
 390     N       1NX     280  | Cappelletti, strong
 391     N        3N     -50  | 
 392     N        2N     120  | Stayman
 393     N        3N     400  | 
 394     N        2N     120  | Stayman
 395     N        3N     -50  | 
 396     S        4S     620  | Stayman | Unusual 2NT | both majors
 397     N        1N     120  | 
 398     N        2N     120  | Stayman
 399     N        3H     -100 | Cappelletti, 5M-4m
 400     N        3N     400  | 
 401     N        3N     400  | 
 402     W        3H      50  | Stayman
 403     N        3N     400  | 
 404     N        1N     120  | 
 405     N        3N     -100 | 
 406     N        3N     -50  | 
 407     N        2N     120  | Stayman
 408     N        2N     120  | Stayman
 409     N        3N     -50  | 
 410     N        3N     -50  | Stayman
 411     N        2N     150  | Stayman
 412     N        2N     120  | Stayman
 413     N        3N     600  | 
 414     N        1N     120  | 
 415     N        2N     150  | Stayman
 416     N        2N     120  | Stayman
 417     N        2N     150  | Stayman
 418     N        3N     600  | 
 419     N        3S     140  | Stayman
 420     N        3N     -50  | 
 421     N        2N     120  | Stayman
 422     N        2N     150  | Stayman
 423     N        3N     -50  | 
 424     N        4H     420  | Stayman
 425     N        2N     120  | Stayman
 426     N        3N     -50  | Stayman
 427     N        4S     420  | Stayman
 428     N        2N     150  | Stayman
 429     N        3N     -100 | Stayman
 430     N        3N     -50  | 
 431     N        3N     600  | 
 432     N        2N     120  | Stayman
 433     N        3N     -50  | Stayman
 434     N        3H     140  | Stayman
 435     N        3S     140  | Stayman
 436     N        3N     400  | 
 437     N        2N     150  | Stayman
 438     N        3H     140  | Stayman
 439     N        2H     110  | Stayman
 440     N        2N     120  | Stayman
 441     N        3N     400  | 
 442     N        3S     140  | Stayman
 443     N        2N     -50  | Stayman
 444     N        3N     600  | 
 445     N        3H     140  | Stayman
 446     N        3H     140  | Stayman
 447     N        2N     120  | Stayman
 448     N        3H     140  | Stayman
 449     N        3H     -50  | Stayman
 450     N        1N     120  | 
 451     N        3N     -50  | 
 452     N        2N     120  | Stayman
 453     N        4H     -100 | Stayman
 454     N        3N     -50  | Stayman
 455     N        3N     -50  | Stayman
 456     N        3N     -50  | 
 457     N        3N     400  | 
 458     N        2H     110  | Stayman
 459     N        3N     400  | 
 460     N        3S     170  | Stayman
 461     N        4S     620  | Stayman
 462     N        2N     120  | Stayman
 463     N        2N     120  | Stayman
 464     N        1N     120  | 
 465     N        2N     120  | Stayman
 466     N        4H     620  | Stayman
 467     N        1N     120  | 
 468     N        3N     -50  | 
 469     N        3H     140  | Stayman
 470     N        1N     120  | 
 471     N        2N     120  | Stayman
 472     N        1N     120  | 
 473     S        3D     130  | Cappelletti, both majors
 474     N        2N     150  | Stayman
 475     N        3H     140  | Stayman
 476     N        2N     120  | Stayman
 477     N        4S     620  | Stayman
 478     N        2N     120  | Stayman
 479     W       4SX     500  | Stayman
 480     N        3N     400  | 
 481     N        3H     -50  | Stayman
 482     N        3N     -100 | 
 483     N        3N     -50  | Stayman
 484     N        3N     -50  | 
 485     N        3N     -100 | 
 486     N        2N     150  | Stayman
 487     N        3N     400  | Stayman
 488     N        2N     120  | Stayman
 489     N        3H     170  | Stayman
 490     N        2N     120  | Stayman
 491     N        1N     120  | 
 492     N        2N     120  | Stayman
 493     N        4H     -100 | Stayman
 494     N        1N     120  | 
 495     N        3N     -100 | 
 496     N        3N     -50  | 
 497     N        3N     400  | 
 498     N        4S     620  | Stayman
 499     S        4H     420  | Stayman | strength cue bid
 500     N        2N     150  | Stayman
Statistics for /Users/adavidbailey/Practice-Bidding-Scenarios/BBA/rule16.pbn

nDeals = 490
nGames = 130
%Games = 26.53061224489796%

  284  Stayman
    6  strength cue bid
    3  Cappelletti, both majors
    4  Cappelletti, any 6+suit
    3  automat
    2  Cappelletti, 5M-4m
    3  Cappelletti, strong
    1  Unusual 2NT
    1  both majors
