/Users/adavidbailey/Practice-Bidding-Scenarios/BBA/Minor_Suit_Opener.pbn
board declarer contract score | notes
99 N 4SX 590 | 
100 N 4H -50 | Fourth suit game force
101 W 4H -420 | Support double redouble
102 E 4H 100 | strength cue bid | limit raise or better in !H
103 S 3N 430 | 
104 N 3N 430 | 
105 E 3H -170 | max 2 !S
106 W 2H -170 | 
107 E 4S -420 | max 2 !H
108 S 2D 110 | 
109 W 5D -420 | 
110 W 5D 50 | strength cue bid | limit raise or better in !D
111 N 2S 110 | Support double redouble
112 N 1N 120 | 
113 S 5HX -300 | 
114 E 3N -400 | Michaels Cuebid
115 N 3N -100 | 
116 S 3N 430 | 
117 W 4D -130 | max 2 !H
118 S 3C 130 | 
119 N 3N 430 | 1X-(Y)-2Z forcing | limit raise or better in !C
120 E 2H -170 | 
121 N 3N 430 | 
122 W 5D -620 | 
123 N 3N 400 | 
124 W 3C 100 | Support double redouble
125 S 1N -100 | 
126 S 1D -150 | 
127 N 3H -100 | 
128 W 2HX 200 | 
129 W 4S -420 | 
130 S 3N 600 | 
131 S 2S -50 | 
132 E 2S 100 | 
133 W 4H -450 | limit raise or better in !H
134 E 2D 100 | max 2 !S
135 N 2S 140 | 
136 N 3N 460 | Fourth suit game force
137 N 4H -50 | SOS | Splinter | Cue bid, a !H stopper
138 S 4S -150 | 1m opening allows 5M
139 S 5CX 550 | 1X-(Y)-2Z forcing
140 N 6S 1430 | 
141 N 3D 110 | New Minor Forcing
142 W 2H -140 | 
143 S 5D 600 | 
144 N 3N 430 | 
145 S 3N 460 | 
146 W 5HX -650 | 
147 W 1S -140 | 
148 S 3S -50 | 
149 N 2S 110 | 
150 W 4HX 200 | 
151 S 1N -100 | 
152 W 3C -110 | 
153 S 5D 400 | 
154 E 2C -90 | 
155 N 4S 450 | 
156 S 1C -200 | 
157 N 3N 660 | 
158 E 2HX 500 | max 2 !S
159 S 1H -100 | 
160 E 5DX 500 | strength cue bid | 1m opening allows 5M
161 N 4H 480 | Fourth suit game force
162 N 3H 140 | 
163 N 3S 140 | 
164 N 4S 450 | 
165 N 2S 140 | 
166 W 1N -90 | 
167 N 2N 180 | 
168 W 3HX 300 | 1X-(Y)-2Z forcing
169 S 3N 430 | 
170 S 5N -50 | 1m opening allows 5M
171 E 3D 50 | Support double redouble
172 N 2D 110 | 
173 S 4D 130 | 
174 N 4H 420 | 
175 E 3HX 800 | Unusual 2NT
176 W 5HX 200 | 
177 W 4H -420 | Cue bid, a !S stopper
178 E 1SX 300 | 
179 S 3N 430 | 
180 N 4S 450 | Unusual 1NT | artificial
181 N 1N 120 | 
182 W 4SX 200 | limit raise or better in !S | Support double redouble
183 N 4S 450 | 
184 N 4S -50 | 
185 N 4H 450 | New Minor Forcing | 3 !H
186 W 1N -90 | 
187 S 3N 430 | 
188 N 4H 620 | 
189 S 4DX 910 | Michaels Cuebid | limit raise or better in !D
190 S 2N 120 | 
191 W 3H 50 | 
192 S 3C -100 | 
193 E 4S -450 | 
194 W 6H -980 | limit raise or better in !H | Blackwood 0314, for !H
195 N 4H -50 | 
196 N 2H 170 | 
197 N 3S 140 | Unusual 2NT
198 S 2N 150 | 
199 N 3N 400 | 
200 S 1C -50 | 
201 N 3N 400 | 
202 S 6C 920 | Inverted minors
203 N 3N -150 | 
204 N 4H -100 | 
205 S 3N 630 | 
206 W 2D -130 | max 2 !S
207 W 4H -420 | limit raise or better in !H
208 N 2H -100 | Support double redouble
209 W 3H -140 | 
210 W 4D 50 | Unusual 1NT | Support double redouble
211 S 3N 430 | 
212 S 4D -50 | 
213 N 3N 660 | Fourth suit game force
214 W 2H -110 | 
215 N 6H 980 | Fourth suit game force | Blackwood 0314, for N
216 E 2D -110 | 
217 S 6C 920 | 
218 W 1N -90 | 
219 E 2HX 100 | Support double redouble
220 N 3H 140 | 
221 N 4S -100 | 
222 S 3N 400 | 
223 S 3C 110 | 
224 S 1S 110 | 
225 S 3CX 570 | 
226 N 1N 90 | 
227 W 1N 100 | 
228 N 5H 450 | Blackwood 0314, for !H
229 N 2H -100 | Support double redouble
230 E 2S -140 | Support double redouble
231 S 4H 450 | 1m opening allows 5M
232 S 1N -100 | 
233 S 4C 130 | 
234 N 3H 140 | 
235 N 3N 430 | Fourth suit game force
236 S 6D 1390 | Blackwood 0314, for !D
237 N 3N 600 | Inverted minors
238 S 2D 110 | 
239 N 2H 140 | 
240 W 2D -90 | 
241 N 2H 110 | 
242 N 4H 620 | 
243 N 4S 420 | 
244 W 3S -170 | 
245 S 6SX 1660 | Blackwood 0314, for !S | King ask by 5NT
246 S 2C 90 | 
247 N 4SX 590 | 
248 E 5H -480 | 
249 S 3H 170 | 
250 N 4S 450 | 
251 N 1N 150 | 
252 W 4S -450 | Stayman | limit raise or better in !S
253 N 4S 620 | 
254 W 2S -140 | 
255 W 3D -130 | limit raise or better in !D
256 N 4H 450 | 
257 E 3H -140 | 
258 E 2S -110 | 
259 S 1N 90 | 
260 W 3H -140 | 
261 S 3C 110 | 
262 N 2D 90 | 
263 N 3N -50 | 
264 N 1N 120 | 
265 N 4SX -300 | Support double redouble
266 S 4S 450 | 
267 N 4H -100 | 
268 S 2C -100 | 
269 S 2S 110 | 
270 S 3N 430 | Unusual 1NT | strength cue bid | limit raise or better in !D
271 W 4H -420 | 
272 N 3N 400 | strength cue bid
273 S 3N 400 | 
274 N 2S -100 | 
275 W 4S -650 | limit raise or better in !S
276 E 4H -650 | 
277 N 3N 600 | 
278 S 4D -50 | Michaels Cuebid
279 S 3C -50 | 
280 S 4HX -300 | 
281 N 2S 200 | 
282 W 4H -620 | limit raise or better in !H
283 S 4C 150 | Inverted minors
284 W 3S -140 | limit raise or better in !S
285 S 4S -200 | 
286 S 3N 430 | 
287 W 3S -200 | limit raise or better in !S | artificial
288 S 3C -50 | max 2 !S
289 N 3N 400 | strength cue bid
290 N 5H -100 | 1X-(Y)-2Z forcing
291 N 2H -50 | 
292 E 1N -90 | max 2 !S
293 N 3N 600 | 
294 S 2S 140 | 
295 N 4S 420 | 
296 N 3N 430 | 
297 W 4N -630 | strength cue bid | Quantitative 4NT
298 E 3N -630 | 
299 N 1N -50 | 
300 S 5HX 850 | 
301 W 2H 50 | 
302 S 3N 430 | 
303 N 6H 1430 | Blackwood 0314, for N
304 W 2CX 800 | 
305 E 3S 100 | 
306 N 4S 650 | 
307 W 2H -170 | 
308 S 4H 480 | 1m opening allows 5M
309 N 4H 620 | Splinter
310 S 1N -50 | 
311 N 3D -50 | 
312 W 4S -420 | limit raise or better in !S | Cue bid, a !D stopper | Cue bid, a !H stopper
313 N 4S 450 | New Minor Forcing | 3 !S | Cue bid, a !D stopper
314 N 1N 90 | 
315 E 2N 50 | 
316 S 5H 650 | Blackwood 0314, for !H
317 N 4H 620 | 
318 W 5DX 300 | 
319 S 6C -100 | 
320 N 3N 430 | 
321 S 3N 430 | Fourth suit game force
322 N 6DX -200 | limit raise or better in !D | Blackwood 0314, for !D
323 S 2C 90 | 
324 S 3N -100 | limit raise or better in !D
325 S 2S 110 | 
326 W 2C -110 | 
327 E 3S -140 | Michaels Cuebid | limit raise or better in !C
328 W 4SX 100 | Michaels Cuebid
329 S 3C 130 | 
330 E 4S -650 | 
331 N 3N 430 | Fourth suit game force
332 N 4S 650 | 
333 W 3C -110 | 
334 W 4SX -690 | Splinter
335 N 2S 140 | 
336 S 6C -100 | Fourth suit game force
337 N 2S 140 | 
338 S 1S 80 | 
339 S 1N -50 | 
340 S 1N 120 | 
341 E 3C -110 | max 2 !S
342 N 2H 110 | 
343 N 2S -50 | 
344 S 6D 920 | Blackwood 0314, for !D | King ask by 5NT
345 W 4H -620 | 
346 N 4S -50 | 
347 N 4H 420 | 
348 W 3S -140 | 
349 S 5D 620 | 
350 N 3N 400 | strength cue bid
351 E 1HX -160 | 
352 S 6D 940 | Splinter | Cue bid, a !H stopper
353 S 2CX 180 | 
354 E 3H -140 | 
355 N 4HX -500 | 
356 N 4H -50 | Unusual 1NT | Support double redouble
357 W 3H -170 | limit raise or better in !H
358 S 3N 400 | Fourth suit game force
359 S 1N 90 | 
360 N 4S 420 | 
361 N 4S -50 | 
362 S 3N 430 | New Minor Forcing
363 N 3N 400 | 
364 W 2S -110 | 
365 S 1C -200 | 
366 W 4SX -590 | 1X-(Y)-2Z forcing
367 S 3C -100 | Michaels Cuebid
368 N 5D 400 | 
369 S 3N 400 | Fourth suit game force
370 N 4H -200 | max 2 !H | Splinter
371 S 3D 130 | 
372 N 4S 420 | Unusual 1NT | max 2 !S
373 E 4S -420 | 
374 N 3N 430 | 
375 S 3D -50 | 
376 S 5DX -300 | Unusual 1NT
377 W 4H -620 | Responsive double
378 S 3D 130 | 
379 N 2H 140 | 
380 E 3H 150 | Unusual 2NT
381 S 3D 110 | 
382 W 4SX 300 | 
383 W 4H -420 | 
384 S 3C 130 | 
385 N 3N 430 | 
386 N 4H 620 | artificial
387 S 3C -50 | 
388 N 5HX -800 | 
389 W 4S -450 | limit raise or better in !S | Support double redouble
390 E 1S -80 | max 2 !H
391 S 3C 110 | 
392 N 3S 140 | 
393 S 3D 130 | 
394 S 5C -50 | strength cue bid
395 S 7CX -100 | Fourth suit game force | limit raise or better in !C
396 N 2H 110 | 
397 W 3N -430 | 
398 S 6D -100 | 
399 S 3D 110 | 
400 N 4S 420 | 
401 S 1C 90 | 
402 S 3N 660 | 
403 N 2N 120 | 
404 N 2D 90 | 
405 N 2D 110 | 
406 S 3N 400 | 
407 S 4S 420 | 
408 S 1N 90 | 
409 N 2S -50 | 
410 S 3D 130 | 
411 N 4S 420 | New Minor Forcing | 3 !S
412 N 3H 140 | Support double redouble
413 S 3N 630 | 
414 N 4S 420 | 
415 S 5DX 750 | Michaels Cuebid | limit raise or better in !C
416 S 4S -100 | 1X-(Y)-2Z forcing | 1m opening allows 5M
417 E 3D -110 | max 2 !S
418 W 2S -170 | 
419 S 3C -50 | 
420 S 6C 920 | Soloway Jump Shifts | artificial
421 S 3N 660 | 
422 W 3H -140 | limit raise or better in !H
423 N 2S -50 | 
424 N 4S -50 | Unusual 1NT | Cue bid, a !D stopper
425 N 6N -50 | Blackwood 0314, for N
426 E 3D -130 | Support double redouble
427 S 4C 130 | 
428 S 6C 1370 | Blackwood 0314, for !D
429 S 3N 660 | Inverted minors
430 N 3H -50 | 
431 E 2D -110 | 
432 W 4S -650 | limit raise or better in !S
433 N 2S -50 | 
434 S 5C 600 | 
435 N 6HX -100 | Splinter | Blackwood 0314, for !H
436 S 2C 130 | 
437 S 2N -100 | Inverted minors
438 N 3N -50 | Inverted minors
439 S 3D 130 | Inverted minors
440 S 1C 70 | 
441 S 1D 70 | 
442 S 1N 150 | Fourth suit game force
443 S 2D 110 | 
444 E 5HX 300 | Michaels Cuebid | limit raise or better in !D
445 S 5D -100 | 
446 S 4S -50 | Fourth suit game force
447 N 3N 630 | 
448 N 3N 400 | 1X-(1Y)-2Z strong
449 N 4S -50 | 
450 N 1N -100 | 
451 N 2S 140 | Support double redouble
452 E 3H -140 | 
453 S 3C -100 | 
454 W 4SX 200 | limit raise or better in !S | Cue bid, a !H stopper | Cue bid, a !D stopper | Cue bid, surplus
455 N 3N 400 | strength cue bid | artificial
456 S 3C 130 | 
457 N 3H 140 | 
458 N 3N -50 | 
459 E 3H 100 | 1m opening allows 5M
460 N 2S 110 | Unusual 1NT
461 E 5S -450 | Support double redouble
462 S 4S 420 | 
463 S 3N 600 | 
464 N 4H -50 | 
465 N 2S 110 | Support double redouble
466 S 3N 660 | 
467 S 3N 460 | 
468 N 3N 430 | 
469 S 1N -100 | 
470 N 4H -50 | 
471 W 4H -620 | max 2 !S
472 S 4C 130 | Support double redouble
473 W 2C -110 | 
474 E 4H 100 | 
475 S 2C 130 | max 2 !H
476 W 5D 150 | 
477 S 3C 130 | 
478 S 1N 90 | 
479 S 3N -200 | strength cue bid
480 N 4H -100 | 
481 N 3N 430 | 
482 S 3C 130 | 
483 S 6C 920 | Blackwood 0314, for N
484 S 2C 110 | 
485 W 3S -170 | 
486 N 3S 170 | 
487 N 3N 430 | 
488 N 2N -50 | 
489 N 2H -150 | 
490 N 4N -50 | Quantitative 4NT
491 S 1C -100 | 
492 N 5H 650 | Blackwood 0314, for !H
493 E 1S -140 | 
494 N 4S 420 | New Minor Forcing
495 N 3N 630 | 
496 E 2H -170 | Michaels Cuebid
497 N 4H 420 | New Minor Forcing | 3 !H | Cue bid, a !D stopper
498 S 1S 80 | 
499 S 1N 120 | 
500 E 2H -140 | max 2 !S
Statistics for /Users/adavidbailey/Practice-Bidding-Scenarios/BBA/Minor_Suit_Opener.pbn

nDeals = 368
nGames = 157
%Games = 42.66304347826087%
   1
 Mixed raise,  !S  10
 Inverted minors  12
 New Minor Forcing   4
 3 !S  27
 Support double redouble  14
 limit raise or better in !S   9
 Unusual 1NT   8
 max 2 !H  19
 Fourth suit game force  11
 Michaels Cuebid  14
 strength cue bid   4
 3 !H   2
 Cue bid, a !S stopper   1
 Two suit takeout double   5
 Blackwood 0314, for !D   2
 Cue bid, surplus   1
 Mixed raise,  !D   5
 limit raise or better in !C   2
 Cue bid, a !C stopper   6
 Cue bid, a !H stopper  12
 max 2 !S   7
 1X-(Y)-2Z forcing   2
 Soloway Jump Shifts   1
 bidable suit   8
 limit raise or better in !D   8
 limit raise or better in !H   1
 SOS   6
 Splinter   7
 1m opening allows 5M   3
 Unusual 2NT   5
 artificial   5
 Blackwood 0314, for !H   4
 Blackwood 0314, for N   1
 Blackwood 0314, for !S   2
 King ask by 5NT   1
 Stayman   2
 Quantitative 4NT   5
 Cue bid, a !D stopper   1
 Responsive double   1
 1X-(1Y)-2Z strong
