/Users/adavidbailey/Practice-Bidding-Scenarios/BBA/Jacoby_Transfer.pbn
board declarer contract score  par     | notes
  157     S       4H      620  S H 10 | Texas
  158     S       3N      430  S NT 10| 
  159     S       3N      630  S NT 10| 
  160     S       3S      140  S S 9  | 
  161     S       3N      430  S NT 10| 
  162     S       4S      620  S S 10 | 
  163     S       2S      170  S S 10 | 
  164     S       4H      650  S H 11 | 
  165     S       4S      650  S S 11 | 
  166     S       3S      170  S S 10 | 
  167     S       3H     -100  S H 8  | 
  168     E       2D      150  E D 5  | Max 2 !h
  169     S       4H      450  S H 11 | 
  170     S       4S      650  S S 11 | Texas
  171     S       4H      -50  S H 9  | Texas
  172     N       5H      680  N H 12 | Extended acceptance after nt | Blackwood 0314, for !h
  173     S       3N      630  S NT 10| New minor forcing
  174     S       2S      -50  S S 7  | 
  175     N       3S      140  N S 9  | 
  176     S       2N      150  S NT 9 | 
  177     S       4H      -50  S H 9  | Texas
  178     S       4H      650  S H 11 | 
  179     S       3N     -100  S NT 7 | 
  180     N       2S      170  N S 10 | Weak jump shifts
  181     N       3S     -100  N S 8  | Extended acceptance after nt
  182     S       4S      480  S S 12 | 
  183     E       3H     -140  E H 9  | 
  184     S       4S      420  S S 10 | 
  185     S       3N      430  S NT 10| New minor forcing
  186     S       6S     1460  S S 13 | Blackwood 0314, for !s
  187     S       4H      420  S H 10 | 
  188     S       5D      600  S D 11 | 
  189     E       4S     -650  E S 11 | Strength cue bid
  190     S       4S     -100  S S 8  | Texas
  191     S       4H      620  S H 10 | Texas
  192     N       4S      420  N S 10 | Extended acceptance after nt
  193     S       3N      490  S NT 12| 
  194     S       3N     -100  S NT 8 | 
  195     S       3N      430  S NT 10| 
  196     S       4S      680  S S 12 | 
  197     S       4H     -100  S H 9  | Texas
  198     S       4S      420  S S 10 | 
  199     E       3C      100  E C 8  | 
  200     S       4H      420  S H 10 | 
  201     S       3N      430  S NT 10| Artificial
  202     S       3N      690  S NT 12| 
  203     S       3S      170  S S 10 | 
  204     N       5S      650  N S 11 | Extended acceptance after nt | Blackwood 0314, for !s
  205     S       4S     -200  S S 8  | 
  206     N       6H     -100  N H 10 | Extended acceptance after nt | Exclusion, for !h
  207     S       4S      650  S S 11 | Texas
  208     N       4S      480  N S 12 | 
  209     S       2H      110  S H 8  | New minor forcing
  210     S       1N       90  S NT 7 | 
  211     S       4H      420  S H 10 | Texas
  212     S       4H      650  S H 11 | 
  213     S       4S      650  S S 11 | 
  214     S       3N      460  S NT 11| 
  215     S       3N     -100  S NT 8 | 
  216     N       3S      -50  N S 8  | Weak jump shifts
  217     S       4S      -50  S S 9  | Texas
  218     S       4H      620  S H 10 | 
  219     S       3N     -100  S NT 7 | 
  220     S       3N      630  S NT 10| 
  221     S       4S      620  S S 10 | 
  222     N       5S      480  N S 12 | Blackwood 0314, for !s
  223     S       4H      650  S H 11 | 
  224     S       3S      140  S S 9  | 
  225     S       4H      420  S H 10 | 
  226     N       4H      680  N H 12 | New minor forcing | 3 !h
  227     S       3N      460  S NT 11| 
  228     S       4S      620  S S 10 | 
  229     S       3N      660  S NT 11| 
  230     S       4S      480  S S 12 | Texas
  231     S       3N      600  S NT 9 | 
  232     S       4S      420  S S 10 | Texas
  233     S       4S      450  S S 11 | 
  234     N       4S      650  N S 11 | 
  235     S       3N      490  S NT 12| New minor forcing
  236     S       4S      680  S S 12 | 
  237     S       3S     -100  S S 8  | 
  238     S       3N      430  S NT 10| 
  239     S       4H      650  S H 11 | 
  240     S       4H      450  S H 11 | 
  241     S       3N      400  S NT 9 | 
  242     N       3N     -100  N NT 8 | Forcing 1nt
  243     N       3N      400  N NT 9 | Forcing 1nt
  244     N       6D     1370  N D 12 | Artificial | Exclusion, for !d
  245     S       3N     -200  S NT 7 | 
  246     S       3N      430  S NT 10| 
  247     S       4H      620  S H 10 | Texas
  248     S       3N      490  S NT 12| 
  249     S       3N      400  S NT 9 | 
  250     S       6N     1470  S NT 13| Quantitative 4nt
  251     S       3S      140  S S 9  | 
  252     S       3N      690  S NT 12| Fourth suit game force
  253     S       4H      620  S H 10 | Splinter
  254     S       4S      420  S S 10 | 
  255     N       4S      620  N S 10 | Extended acceptance after nt
  256     N       5S      450  N S 11 | New minor forcing | 3 !s | Cue bid, a !c stopper | Cue bid, a !d stopper
  257     S       4S      -50  S S 9  | Michaels cuebid | Cue bid, a !h stopper
  258     S       4S      620  S S 10 | 
  259     S       3N      400  S NT 9 | Artificial
  260     S       4H      620  S H 10 | 
  261     N       3H      170  N H 10 | 
  262     N       4H      480  N H 12 | Extended acceptance after nt
  263     E       3S      100  E S 8  | 
  264     S       3S      170  S S 10 | 
  265     N       3S      140  N S 9  | Max 2 !s | Limit raise or better in !s
  266     S       4H      650  S H 11 | 
  267     S       4S      420  S S 10 | 
  268     S       4H      650  S H 11 | 
  269     S       4S     -100  S S 9  | 
  270     S       3N      -50  S NT 8 | 
  271     N       4H      650  N H 11 | 
  272     S       3N      460  S NT 11| New minor forcing
  273     S       4H      480  S H 12 | 
  274     N       6C     1390  N C 13 | Artificial | Blackwood 0314, for !c
  275     S       3N      400  S NT 9 | Artificial
  276     S       3N      600  S NT 9 | 
  277     S       4S      620  S S 10 | 
  278     S       4H      -50  S H 9  | Artificial
  279     S       4S      650  S S 11 | 
  280     S       4H      450  S H 11 | 
  281     N       3H      170  N H 10 | 
  282     S       4H      680  S H 12 | Texas
  283     S       3N      490  S NT 12| 
  284     N       5S      650  N S 11 | Texas | Michaels cuebid
  285     S       4S      710  S S 13 | 
  286     S       4S      -50  S S 9  | 
  287     S       4H      620  S H 10 | 
  288     S       4S      420  S S 10 | Texas
  289     N       5H      450  N H 11 | Blackwood 0314, for !h
  290     N       5H     -100  N H 10 | Extended acceptance after nt | Blackwood 0314, for !h
  291     S       4S      450  S S 11 | Texas
  292     S       5H      680  S H 12 | Blackwood 0314, for !h
  293     S       6S     1460  S S 13 | Blackwood 0314, for !s
  294     S       4S      420  S S 10 | Texas
  295     S       4H      620  S H 10 | Unusual 1nt | Max 2 !s
  296     S       4S      510  S S 13 | 
  297     S       3N      460  S NT 11| 
  298     S       6H     -100  S H 11 | Exclusion, for !h
  299     N       5S      450  N S 11 | Extended acceptance after nt | Blackwood 0314, for !s
  300     S       4H      620  S H 10 | 
  301     S       4H     -100  S H 9  | Texas
  302     N       4S      420  N S 10 | New minor forcing | 3 !s | Cue bid, a !c stopper
  303     S       4H     -100  S H 9  | Texas
  304     S       3N      400  S NT 9 | 
  305     E       3S     -140  E S 9  | Limit raise or better in !s
  306     S       6C     1370  S C 12 | Fourth suit game force | Blackwood 0314, for !c
  307     N       4H      450  N H 11 | Extended acceptance after nt
  308     S       4S      620  S S 10 | Texas
  309     S       3S      140  S S 9  | 
  310     S       2H      110  S H 8  | 
  311     S       3N      660  S NT 11| New minor forcing
  312     N       4H      510  N H 13 | New minor forcing | 3 !h
  313     S       2S      140  S S 9  | 
  314     N       6D     1370  N D 12 | 
  315     S       3N      430  S NT 10| 
  316     S       3N      630  S NT 10| Michaels cuebid | To the partner's longer
  317     N       6S     1430  N S 12 | New minor forcing | 3 !s | Cue bid, a !d stopper | Cue bid, a !c stopper | Blackwood 0314, for !s
  318     S       4H      450  S H 11 | Texas
  319     S       3S     -100  S S 8  | Unusual 2nt | Artificial | Show your better suit | Artificial
  320     S       4H      480  S H 12 | 
  321     S       4S      420  S S 10 | 
  322     S       6N     1440  S NT 12| Quantitative 4nt
  323     S       3N      490  S NT 12| 
  324     S       3N      630  S NT 10| 
  325     S       3N      630  S NT 10| 
  326     S       4S      420  S S 10 | 
  327     S       3N      630  S NT 10| 
  328     S       4H      420  S H 10 | 
  329     S       3N      -50  S NT 8 | 
  330     E       2S      200  E S 6  | 
  331     S       4S      -50  S S 9  | 
  332     S       6N     1440  S NT 12| Blackwood 0314, for !h
  333     S       5S      680  S S 12 | Blackwood 0314, for !c
  334     S       3N      490  S NT 12| New minor forcing
  335     S       3N      660  S NT 11| 
  336     S       3N      430  S NT 10| 
  337     S       4H      510  S H 13 | 
  338     S       4S      650  S S 11 | 
  339     S       4H      480  S H 12 | 
  340     S       3N      660  S NT 11| 
  341     S       4H      650  S H 11 | 
  342     S       4H      510  S H 13 | 
  343     N       3H      140  N H 9  | Michaels cuebid
  344     S       6H      980  S H 12 | Gerber, for n | King ask
  345     S       4H      480  S H 12 | 
  346     S       4H      650  S H 11 | 
  347     S       4H      450  S H 11 | 
  348     N       5D      600  N D 11 | 
  349     S       4H      650  S H 11 | 
  350     S       4S      450  S S 11 | 
  351     S       3N      630  S NT 10| New minor forcing
  352     S       3N      490  S NT 12| 
  353     N       4S      480  N S 12 | New minor forcing | 3 !s
  354     N       4S      620  N S 10 | Extended acceptance after nt
  355     S       3N      490  S NT 12| 
  356     S       4S     -100  S S 9  | 
  357     S       4S     -100  S S 9  | 
  358     E      4SX      500  E S 8  | Texas
  359     S       4H      680  S H 12 | 
  360     S       4H      420  S H 10 | 
  361     S       3N      430  S NT 10| 
  362     S       4H      620  S H 10 | 
  363     S       4H      450  S H 11 | Jacoby 2nt
  364     S       3N      660  S NT 11| 
  365     S       4S      620  S S 10 | 
  366     W       5D      100  W D 9  | Weak jump shifts | Limit raise or better in !d
  367     S       3N      660  S NT 11| 
  368     S       4H      480  S H 12 | 
  369     N       4H      450  N H 11 | 
  370     S       4H      710  S H 13 | 
  371     S       4H      450  S H 11 | 
  372     N       6S     1430  N S 12 | Extended acceptance after nt | Exclusion, for !s
  373     E       2S      200  E S 4  | 
  374     S       3N      400  S NT 9 | 
  375     S       2C      130  S C 10 | Forcing 1nt
  376     S       4H      420  S H 10 | 
  377     S       4S      450  S S 11 | 
  378     S       4H      620  S H 10 | 
  379     S       3N      460  S NT 11| 
  380     E       2S     -140  E S 9  | 
  381     S       4H      620  S H 10 | Splinter
  382     S       3N      460  S NT 11| 
  383     S       3H     -100  S H 8  | 
  384     S       4S      420  S S 10 | 
  385     S       4S      -50  S S 9  | 
  386     S       4S      620  S S 10 | 
  387     S       3N      -50  S NT 8 | New minor forcing
  388     S       3N      600  S NT 9 | 
  389     S       4H      620  S H 10 | Texas
  390     N       4H      480  N H 12 | Extended acceptance after nt
  391     N       4H      650  N H 11 | 
  392     N       4S      450  N S 11 | New minor forcing | 3 !s | Cue bid, surplus | Cue bid, a !c stopper
  393     S       4H      480  S H 12 | 
  394     S       4H      650  S H 11 | 
  395     S       1N      150  S NT 9 | 
  396     S       1N      150  S NT 9 | 
  397     S       4H     -100  S H 9  | Texas
  398     S       4S      420  S S 10 | 
  399     N       4H      620  N H 10 | Extended acceptance after nt
  400     S       3N      520  S NT 13| 
  401     N       4S      450  N S 11 | New minor forcing | 3 !s
  402     N       4H      620  N H 10 | Texas | Denies a !d stopper
  403     S       3S      200  S S 11 | 
  404     N       4H      650  N H 11 | Extended acceptance after nt
  405     S       4H      680  S H 12 | 
  406     N       5S      450  N S 11 | Blackwood 0314, for !s
  407     N       4H      650  N H 11 | Extended acceptance after nt
  408     S       4H      420  S H 10 | Texas
  409     S       6H      980  S H 12 | Quantitative 4nt
  410     S       4S      620  S S 10 | 
  411     S       4H      420  S H 10 | 
  412     S       6S     1460  S S 13 | Quantitative 4nt
  413     N       4C     -100  N C 9  | Artificial
  414     S       4S      420  S S 10 | 
  415     S       4H     -100  S H 9  | 
  416     S       3S      200  S S 11 | 
  417     N       4S      420  N S 10 | Extended acceptance after nt
  418     S       3N      630  S NT 10| 
  419     N       5H      480  N H 12 | Exclusion, for !h
  420     S       3N      600  S NT 9 | New minor forcing
  421     N       2S      140  N S 9  | Artificial
  422     S       3N      430  S NT 10| New minor forcing
  423     N       3N      630  N NT 10| Forcing 1nt
  424     S       3N      -50  S NT 8 | New minor forcing
  425     S       3N      400  S NT 9 | 
  426     S       4S      650  S S 11 | 
  427     S       3S      140  S S 9  | 
  428     S       4S      620  S S 10 | 
  429     S       1N       90  S NT 7 | 
  430     S       3N      400  S NT 9 | 
  431     N       4H      620  N H 10 | Extended acceptance after nt
  432     S       4H      510  S H 13 | Splinter
  433     S       4H      450  S H 11 | 
  434     S       3N      600  S NT 9 | Michaels cuebid | To the partner's longer
  435     N       4S      510  N S 13 | New minor forcing | 3 !s | Cue bid, a !d stopper | Cue bid, a !c stopper
  436     S       4S     -100  S S 9  | Texas
  437     S       4S     -100  S S 9  | Artificial | Limit raise or better in !s
  438     S       1N      120  S NT 8 | 
  439     S       4H     -100  S H 9  | Texas
  440     S       4H      450  S H 11 | 
  441     S       6N      990  S NT 12| New minor forcing
  442     S       3N      660  S NT 11| Artificial
  443     S       4S      450  S S 11 | 
  444     N       4S      620  N S 10 | Weak jump shifts
  445     S       6N     1470  S NT 13| 
  446     S       4S      450  S S 11 | 
  447     S       4H      620  S H 10 | 
  448     S       4S      450  S S 11 | 
  449     S       4S      420  S S 10 | 
  450     S       4H      650  S H 11 | Splinter
  451     N       4C      130  N C 10 | Artificial
  452     S       3H      170  S H 10 | 
  453     S       4S     -100  S S 9  | Texas
  454     S       4S      450  S S 11 | Texas
  455     S       4S      680  S S 12 | 
  456     S       4H      450  S H 11 | Michaels cuebid
  457     S       3N      -50  S NT 8 | New minor forcing
  458     S       3N     -100  S NT 8 | 
  459     N       4S      -50  N S 9  | Extended acceptance after nt
  460     N       4S      650  N S 11 | Extended acceptance after nt
  461     S       3N      600  S NT 9 | 
  462     N       5H      450  N H 11 | Blackwood 0314, for !h
  463     E       4C       50  E C 9  | 
  464     S       4S      450  S S 11 | 
  465     S       3N      460  S NT 11| 
  466     W      4HX      100  W H 9  | 1m-3m inviting
  467     S       4S      450  S S 11 | Texas
  468     S       3N      630  S NT 10| 
  469     S       4S      620  S S 10 | Unusual 2nt | Artificial
  470     S       4H      480  S H 12 | 
  471     S       4H      680  S H 12 | Michaels cuebid
  472     N       5S      480  N S 12 | Blackwood 0314, for !s
  473     S       3N      460  S NT 11| 
  474     S       4S      650  S S 11 | 
  475     E       4D      150  E D 7  | Max 2 !s
  476     S       4H     -100  S H 9  | 
  477     S       4S     -100  S S 9  | 
  478     N       4S      -50  N S 9  | Extended acceptance after nt
  479     S       4S      650  S S 11 | 
  480     N       4H      420  N H 10 | Extended acceptance after nt
  481     E       3C      150  E C 6  | 
  482     S       4S      620  S S 10 | 
  483     S       4S      480  S S 12 | 
  484     W       3H     -140  W H 9  | 
  485     N       4H      680  N H 12 | 
  486     S       4H      420  S H 10 | 
  487     S       4S      650  S S 11 | 
  488     S       1N      150  S NT 9 | 
  489     S       3N      460  S NT 11| 
  490     S       3N      600  S NT 9 | New minor forcing
  491     S       6H      980  S H 12 | Blackwood 0314, for !h
  492     S       4S      620  S S 10 | 
  493     S       4S      620  S S 10 | Texas
  494     S       3N      400  S NT 9 | 
  495     S       4S      650  S S 11 | 
  496     S       3N      430  S NT 10| 
  497     S       6H     1010  S H 13 | Quantitative 4nt
  498     S       4H      620  S H 10 | 
  499     N       4H      420  N H 10 | Extended acceptance after nt
  500     S       4H     -100  S H 9  | 
Statistics for /Users/adavidbailey/Practice-Bidding-Scenarios/BBA/Jacoby_Transfer.pbn

nDeals = 478
nGames = 369
%Games = 77.19665271966527%

    1  1m-3m inviting
    4  3 !h
    9  3 !s
   20  Artificial
    3  Blackwood 0314, for !c
   15  Blackwood 0314, for !h
   16  Blackwood 0314, for !s
    9  Cue bid, a !c stopper
    4  Cue bid, a !d stopper
    1  Cue bid, a !h stopper
    2  Cue bid, a !s stopper
    4  Cue bid, surplus
    1  Denies a !d stopper
    1  Exclusion, for !d
    3  Exclusion, for !h
    1  Exclusion, for !s
   40  Extended acceptance after nt
    5  Forcing 1nt
    3  Fourth suit game force
    1  Gerber, for n
    1  Jacoby 2nt
    1  King ask
    1  King ask by 5nt
    1  Limit raise or better in !d
    4  Limit raise or better in !s
    1  Max 2 !h
    3  Max 2 !s
   13  Michaels cuebid
   33  New minor forcing
    6  Quantitative 4nt
    1  Show your better suit
    4  Splinter
    2  Strength cue bid
    2  Support double redouble
   55  Texas
    3  To the partner's longer
    2  Unusual 1nt
    3  Unusual 2nt
    5  Weak jump shifts
